# Track Results
There are 40 result entries compared to 9 annotations in track "042_phrase_rock_simple_slow_rods".
Positives:	5
False positives:	34

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['-2' '0.736' '2.51936507937' '1.78336507937']
 ['0' '2.514' '2.51936507937' '0.005365079370000192']
 ['2' '4.302' '2.55419501134' '1.7478049886599996']
 ['2' '4.302' '2.58902494331' '1.7129750566899995']
 ['0' '4.302' '4.3073015873' '0.005301587299999966']
 ['2' '6.031' '4.34213151927' '1.68886848073']
 ['2' '6.031' '4.37696145125' '1.65403854875']
 ['2' '6.031' '4.41179138322' '1.61920861678']
 ['2' '6.031' '4.44662131519' '1.5843786848099999']
 ['0' '6.031' '6.03718820862' '0.006188208620000246']
 ['2' '7.779' '6.06040816327' '1.71859183673']
 ['2' '7.779' '6.09523809524' '1.6837619047599999']
 ['0' '7.779' '7.77868480726' '0.0003151927399995813']
 ['2' '9.575' '7.8019047619' '1.773095238099999']
 ['2' '9.575' '7.83673469388' '1.7382653061199989']
 ['2' '9.575' '7.87156462585' '1.7034353741499997']
 ['-1' '9.575' '9.58984126984' '0.014841269840001559']
 ['2' '11.368' '9.58984126984' '1.7781587301599995']
 ['2' '11.368' '9.62467120181' '1.7433287981900012']
 ['2' '11.368' '9.65950113379' '1.7084988662100002']
 ['0' '11.368' '11.3777777778' '0.00977777780000011']
 ['2' '13.182' '11.4009977324' '1.7810022676']
 ['2' '13.182' '11.4358276644' '1.7461723356000007']
 ['-1' '13.182' '13.2005442177' '0.01854421769999881']
 ['2' '13.589' '13.2005442177' '0.3884557823000012']
 ['2' '13.589' '13.2353741497' '0.35362585030000027']
 ['2' '13.589' '13.2702040816' '0.3187959184000011']
 ['-1' '13.589' '13.606893424' '0.01789342400000038']
 ['2' '-1' '13.641723356' '-1']
 ['2' '-1' '13.676553288' '-1']
 ['2' '-1' '13.71138322' '-1']
 ['2' '-1' '13.7346031746' '-1']
 ['2' '-1' '13.7694331066' '-1']
 ['2' '-1' '13.8042630385' '-1']
 ['2' '-1' '13.8390929705' '-1']
 ['2' '-1' '13.8623129252' '-1']
 ['2' '-1' '13.8971428571' '-1']
 ['2' '-1' '13.9319727891' '-1']
 ['2' '-1' '13.9668027211' '-1']
 ['2' '-1' '14.0016326531' '-1']]
