# Track Results
There are 60 result entries compared to 13 annotations in track "044_phrase_rock_simple_fast_rods".
Positives:	6
False positives:	51

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['-2' '1.024' '3.42494331066' '2.4009433106599998']
 ['-2' '1.309' '3.42494331066' '2.1159433106599996']
 ['-2' '2.207' '3.42494331066' '1.21794331066']
 ['0' '3.418' '3.42494331066' '0.006943310659999646']
 ['2' '4.579' '3.47138321995' '1.1076167800499999']
 ['0' '4.579' '4.58594104308' '0.00694104308000032']
 ['2' '4.846' '4.62077097506' '0.22522902493999997']
 ['2' '4.846' '4.64399092971' '0.20200907028999993']
 ['2' '4.846' '4.67882086168' '0.16717913831999986']
 ['0' '4.846' '4.85297052154' '0.006970521539999552']
 ['2' '5.721' '4.87619047619' '0.8448095238100004']
 ['2' '5.721' '4.91102040816' '0.8099795918400003']
 ['-1' '5.721' '5.73532879819' '0.014328798190000214']
 ['2' '6.87' '5.73532879819' '1.1346712018099998']
 ['2' '6.87' '5.78176870748' '1.0882312925199997']
 ['2' '6.87' '5.80498866213' '1.0650113378699997']
 ['2' '6.87' '5.8398185941' '1.0301814059000005']
 ['2' '6.87' '5.87464852608' '0.9953514739200005']
 ['2' '6.87' '5.90947845805' '0.9605215419500004']
 ['2' '6.87' '5.96752834467' '0.9024716553300003']
 ['2' '6.87' '6.00235827664' '0.8676417233600002']
 ['0' '6.87' '6.87310657596' '0.0031065759599995246']
 ['2' '7.144' '6.90793650794' '0.23606349206000043']
 ['2' '7.144' '6.93115646259' '0.2128435374100004']
 ['2' '7.144' '6.96598639456' '0.17801360544000033']
 ['2' '7.144' '7.00081632653' '0.14318367347000027']
 ['2' '7.144' '7.0356462585' '0.10835374150000021']
 ['2' '7.144' '7.07047619048' '0.07352380952000015']
 ['-1' '7.144' '7.16335600907' '0.019356009070000013']
 ['2' '8.027' '7.16335600907' '0.8636439909299991']
 ['2' '8.027' '7.18657596372' '0.8404240362799991']
 ['2' '8.027' '7.22140589569' '0.805594104309999']
 ['2' '8.027' '7.25623582766' '0.7707641723399989']
 ['2' '8.027' '7.29106575964' '0.7359342403599989']
 ['2' '8.027' '7.32589569161' '0.7011043083899988']
 ['0' '8.027' '8.02249433107' '0.0045056689299993735']
 ['2' '8.307' '8.05732426304' '0.24967573696000045']
 ['2' '8.307' '8.09215419501' '0.2148458049900004']
 ['2' '8.307' '8.12698412698' '0.18001587302000033']
 ['-1' '8.307' '8.33596371882' '0.02896371882000004']
 ['2' '9.16' '8.33596371882' '0.8240362811799997']
 ['2' '9.16' '8.35918367347' '0.8008163265300006']
 ['2' '9.16' '8.39401360544' '0.7659863945600005']
 ['2' '9.16' '8.42884353741' '0.7311564625900004']
 ['2' '9.16' '8.46367346939' '0.6963265306099995']
 ['0' '9.16' '9.16027210884' '0.00027210883999906343']
 ['2' '9.437' '9.19510204082' '0.24189795917999923']
 ['2' '9.437' '9.22993197279' '0.20706802720999917']
 ['2' '9.437' '9.28798185941' '0.14901814058999996']
 ['2' '9.437' '9.32281179138' '0.1141882086199999']
 ['-1' '9.437' '9.45052154195' '0.013521541950000326']
 ['2' '-1' '9.4737414966' '-1']
 ['2' '-1' '9.50857142857' '-1']
 ['2' '-1' '9.54340136054' '-1']
 ['2' '-1' '9.57823129252' '-1']
 ['2' '-1' '9.60145124717' '-1']
 ['2' '-1' '9.63628117914' '-1']
 ['2' '-1' '9.67111111111' '-1']
 ['2' '-1' '9.70594104308' '-1']
 ['2' '-1' '9.75238095238' '-1']]
