# Track Results
There are 105 result entries compared to 15 annotations in track "045_phrase_rock_complex_slow_rods".
Positives:	4
False positives:	100

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['-1' '0.475' '0.487619047619' '0.012619047619000012']
 ['2' '1.727' '0.487619047619' '1.239380952381']
 ['2' '1.727' '0.522448979592' '1.204551020408']
 ['2' '1.727' '0.557278911565' '1.1697210884350002']
 ['2' '1.727' '0.592108843537' '1.134891156463']
 ['0' '1.727' '1.72988662132' '0.002886621319999838']
 ['2' '2.256' '1.76471655329' '0.4912834467099998']
 ['-1' '2.256' '2.27555555556' '0.019555555560000215']
 ['2' '3.363' '2.27555555556' '1.08744444444']
 ['2' '3.363' '2.31038548753' '1.05261451247']
 ['2' '3.363' '2.3452154195' '1.0177845804999999']
 ['2' '3.363' '2.38004535147' '0.9829546485299998']
 ['2' '3.363' '2.41487528345' '0.9481247165500002']
 ['0' '3.363' '3.36689342404' '0.0038934240400001485']
 ['2' '4.587' '3.40172335601' '1.1852766439899995']
 ['2' '4.587' '3.43655328798' '1.15044671202']
 ['2' '4.587' '3.45977324263' '1.1272267573699999']
 ['2' '4.587' '3.4946031746' '1.0923968253999998']
 ['2' '4.587' '3.52943310658' '1.0575668934199998']
 ['2' '4.587' '3.56426303855' '1.0227369614499997']
 ['2' '4.587' '3.62231292517' '0.9646870748299996']
 ['2' '4.587' '3.65714285714' '0.9298571428599995']
 ['0' '4.587' '4.59755102041' '0.010551020410000334']
 ['-2' '4.879' '6.19972789116' '1.3207278911600007']
 ['-1' '6.185' '6.19972789116' '0.014727891160000617']
 ['2' '7.377' '6.19972789116' '1.1772721088399996']
 ['2' '7.377' '6.2229478458' '1.1540521541999995']
 ['2' '7.377' '6.25777777778' '1.1192222222199995']
 ['2' '7.377' '6.29260770975' '1.0843922902499994']
 ['2' '7.377' '6.3158276644' '1.0611723355999994']
 ['2' '7.377' '6.35065759637' '1.0263424036300002']
 ['2' '7.377' '6.38548752834' '0.9915124716600001']
 ['2' '7.377' '6.42031746032' '0.95668253968']
 ['2' '7.377' '6.45514739229' '0.92185260771']
 ['-1' '7.377' '7.39555555556' '0.01855555555999988']
 ['2' '7.878' '7.39555555556' '0.48244444444000045']
 ['2' '7.878' '7.4187755102' '0.4592244898000004']
 ['2' '7.878' '7.45360544218' '0.42439455782000035']
 ['2' '7.878' '7.48843537415' '0.3895646258500003']
 ['2' '7.878' '7.52326530612' '0.35473469388000023']
 ['2' '7.878' '7.54648526077' '0.3315147392300002']
 ['2' '7.878' '7.58131519274' '0.2966848072600001']
 ['2' '7.878' '7.61614512472' '0.26185487528000007']
 ['2' '7.878' '7.65097505669' '0.22702494331']
 ['2' '7.878' '7.70902494331' '0.1689750566899999']
 ['2' '7.878' '7.74385487528' '0.13414512471999984']
 ['-1' '7.878' '7.90639455782' '0.028394557819999555']
 ['2' '8.069' '7.90639455782' '0.16260544218000117']
 ['2' '8.069' '7.9412244898' '0.1277755102000011']
 ['2' '8.069' '7.97605442177' '0.09294557823000105']
 ['2' '8.069' '7.99927437642' '0.069725623580001']
 ['2' '8.069' '8.03410430839' '0.03489569161000006']
 ['-1' '8.069' '8.10376417234' '0.03476417233999918']
 ['2' '10.97' '8.10376417234' '2.8662358276600006']
 ['2' '10.97' '8.13859410431' '2.8314058956900006']
 ['2' '10.97' '8.16181405896' '2.8081859410400014']
 ['2' '10.97' '8.19664399093' '2.7733560090700013']
 ['2' '10.97' '8.26630385488' '2.7036961451200003']
 ['2' '10.97' '8.30113378685' '2.6688662131500003']
 ['2' '10.97' '8.3243537415' '2.645646258500001']
 ['-1' '10.97' '10.9830385488' '0.013038548799999106']
