# Track Results
There are 104 result entries compared to 18 annotations in track "046_phrase_rock_complex_medium_rods".
Positives:	5
False positives:	95

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['-1' '0.887' '0.905578231293' '0.018578231292999958']
 ['2' '1.955' '0.905578231293' '1.049421768707']
 ['2' '1.955' '0.940408163265' '1.0145918367350002']
 ['2' '1.955' '0.975238095238' '0.9797619047620001']
 ['2' '1.955' '1.01006802721' '0.9449319727900001']
 ['-2' '1.955' '2.36843537415' '0.4134353741500001']
 ['-1' '2.348' '2.36843537415' '0.020435374150000296']
 ['2' '3.176' '2.36843537415' '0.80756462585']
 ['2' '3.176' '2.40326530612' '0.7727346938799999']
 ['2' '3.176' '2.42648526077' '0.7495147392300003']
 ['2' '3.176' '2.46131519274' '0.7146848072600003']
 ['2' '3.176' '2.49614512472' '0.6798548752800002']
 ['2' '3.176' '2.51936507937' '0.6566349206300002']
 ['2' '3.176' '2.55419501134' '0.6218049886600001']
 ['2' '3.176' '2.60063492063' '0.57536507937']
 ['2' '3.176' '2.62385487528' '0.55214512472']
 ['2' '3.176' '2.65868480726' '0.5173151927400004']
 ['2' '3.176' '2.69351473923' '0.4824852607700003']
 ['2' '3.176' '2.7283446712' '0.44765532880000025']
 ['-1' '3.176' '3.19274376417' '0.016743764169999675']
 ['2' '4.53' '3.19274376417' '1.3372562358300004']
 ['2' '4.53' '3.21596371882' '1.3140362811800004']
 ['2' '4.53' '3.30884353741' '1.2211564625900002']
 ['0' '4.53' '4.53950113379' '0.009501133789999727']
 ['2' '5.105' '4.57433106576' '0.5306689342400004']
 ['-1' '5.105' '5.12' '0.01499999999999968']
 ['2' '5.37' '5.12' '0.25']
 ['2' '5.37' '5.15482993197' '0.21517006802999994']
 ['2' '5.37' '5.17804988662' '0.1919501133799999']
 ['2' '5.37' '5.22448979592' '0.14551020407999982']
 ['2' '5.37' '5.24770975057' '0.12229024942999978']
 ['2' '5.37' '5.28253968254' '0.08746031745999971']
 ['2' '5.37' '5.31736961451' '0.05263038549000054']
 ['-1' '5.37' '5.38702947846' '0.01702947845999958']
 ['2' '6.323' '5.38702947846' '0.9359705215400007']
 ['2' '6.323' '5.42185941043' '0.9011405895700006']
 ['2' '6.323' '5.4566893424' '0.8663106576000006']
 ['2' '6.323' '5.47990929705' '0.8430907029500005']
 ['2' '6.323' '5.51473922902' '0.8082607709800005']
 ['2' '6.323' '5.549569161' '0.7734308390000004']
 ['2' '6.323' '5.58439909297' '0.7386009070300004']
 ['2' '6.323' '5.60761904762' '0.7153809523800003']
 ['2' '6.323' '5.64244897959' '0.6805510204100003']
 ['2' '6.323' '5.67727891156' '0.6457210884400002']
 ['2' '6.323' '5.71210884354' '0.6108911564600001']
 ['0' '6.323' '6.32743764172' '0.004437641719999164']
 ['2' '6.763' '6.35065759637' '0.4123424036300003']
 ['2' '6.763' '6.38548752834' '0.37751247166000024']
 ['2' '6.763' '6.42031746032' '0.3426825396800002']
 ['2' '6.763' '6.45514739229' '0.3078526077100001']
 ['-1' '6.763' '6.78022675737' '0.017226757370000456']
 ['2' '7.244' '6.78022675737' '0.4637732426299994']
 ['2' '7.244' '6.80344671202' '0.4405532879799994']
 ['2' '7.244' '6.83827664399' '0.4057233560100002']
 ['2' '7.244' '6.86149659864' '0.38250340136000016']
 ['2' '7.244' '6.89632653061' '0.3476734693900001']
 ['2' '7.244' '6.93115646259' '0.31284353741000004']
 ['2' '7.244' '6.95437641723' '0.28962358277']
 ['2' '7.244' '6.98920634921' '0.25479365078999994']
 ['2' '7.244' '7.02403628118' '0.21996371881999988']
 ['2' '7.244' '7.09369614512' '0.15030385487999975']
 ['2' '7.244' '7.1285260771' '0.11547392289999969']
 ['1' '7.244' '7.16335600907' '0.08064399092999963']
 ['-2' '7.244' '7.61614512472' '0.3721451247200003']
 ['0' '7.607' '7.61614512472' '0.009145124719999842']
 ['2' '8.38' '7.63936507937' '0.7406349206300007']
 ['2' '8.38' '7.66258503401' '0.7174149659900007']
 ['2' '8.38' '7.69741496599' '0.6825850340100006']
 ['2' '8.38' '7.72063492063' '0.6593650793700006']
 ['2' '8.38' '7.75546485261' '0.6245351473900005']
 ['2' '8.38' '7.79029478458' '0.5897052154200004']
 ['2' '8.38' '7.82512471655' '0.5548752834500004']
 ['2' '8.38' '7.85995464853' '0.5200453514700012']
 ['1' '8.38' '7.8947845805' '0.48521541950000113']
 ['-2' '8.38' '9.24154195011' '0.8615419501099986']
 ['-2' '8.918' '9.24154195011' '0.3235419501100001']
 ['-1' '9.227' '9.24154195011' '0.014541950109999036']
 ['2' '9.495' '9.24154195011' '0.25345804988999987']
 ['2' '9.495' '9.27637188209' '0.21862811790999892']
 ['-1' '9.495' '9.50857142857' '0.013571428570001487']
 ['2' '9.77' '9.50857142857' '0.26142857142999887']
 ['2' '9.77' '9.54340136054' '0.2265986394599988']
 ['2' '9.77' '9.57823129252' '0.19176870747999963']
 ['-1' '9.77' '9.79882086168' '0.028820861679999865']
 ['2' '10.721' '9.79882086168' '0.9221791383200006']
 ['2' '10.721' '9.86848072562' '0.8525192743800005']
 ['2' '10.721' '9.89170068027' '0.8292993197299996']
 ['2' '10.721' '9.92653061224' '0.7944693877599995']
 ['2' '10.721' '9.94975056689' '0.7712494331100004']
 ['2' '10.721' '9.98458049887' '0.7364195011299994']
 ['2' '10.721' '10.0194104308' '0.7015895691999994']
 ['2' '10.721' '10.0542403628' '0.6667596372000002']
 ['0' '10.721' '10.7276190476' '0.006619047599999206']
 ['0' '11.173' '11.1687981859' '0.004201814099999979']
 ['2' '-1' '11.2036281179' '-1']
 ['2' '-1' '11.2268480726' '-1']
 ['2' '-1' '11.2616780045' '-1']
 ['2' '-1' '11.2965079365' '-1']
 ['2' '-1' '11.3313378685' '-1']
 ['2' '-1' '11.3545578231' '-1']
 ['2' '-1' '11.3893877551' '-1']
 ['2' '-1' '11.4242176871' '-1']
 ['2' '-1' '11.4706575964' '-1']
 ['2' '-1' '11.493877551' '-1']]
