# Track Results
There are 73 result entries compared to 17 annotations in track "047_phrase_rock_complex_fast_rods".
Positives:	10
False positives:	62

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.749' '0.754648526077' '0.005648526076999949']
 ['2' '0.977' '0.777868480726' '0.19913151927399997']
 ['2' '0.977' '0.812698412698' '0.16430158730199995']
 ['-1' '0.977' '0.998458049887' '0.021458049887000064']
 ['2' '1.917' '0.998458049887' '0.918541950113']
 ['2' '1.917' '1.03328798186' '0.88371201814']
 ['2' '1.917' '1.12616780045' '0.7908321995500001']
 ['2' '1.917' '1.16099773243' '0.75600226757']
 ['1' '1.917' '1.1958276644' '0.7211723355999999']
 ['-2' '1.917' '2.65868480726' '0.7416848072599997']
 ['-1' '2.645' '2.65868480726' '0.013684807259999765']
 ['2' '3.334' '2.65868480726' '0.6753151927400003']
 ['2' '3.334' '2.69351473923' '0.6404852607700002']
 ['2' '3.334' '2.7283446712' '0.6056553288000002']
 ['2' '3.334' '2.76317460317' '0.5708253968300001']
 ['2' '3.334' '2.78639455782' '0.5476054421800001']
 ['2' '3.334' '2.8212244898' '0.5127755102']
 ['2' '3.334' '2.89088435374' '0.4431156462599999']
 ['2' '3.334' '2.92571428571' '0.40828571429000027']
 ['2' '3.334' '2.96054421769' '0.3734557823100002']
 ['-1' '3.334' '3.35528344671' '0.021283446710000042']
 ['2' '3.574' '3.35528344671' '0.21871655328999973']
 ['2' '3.574' '3.37850340136' '0.19549659863999969']
 ['2' '3.574' '3.42494331066' '0.14905668934000005']
 ['0' '3.574' '3.57587301587' '0.0018730158700002164']
 ['2' '4.007' '3.63392290249' '0.3730770975099995']
 ['2' '4.007' '3.65714285714' '0.34985714285999947']
 ['2' '4.007' '3.69197278912' '0.31502721087999985']
 ['2' '4.007' '3.72680272109' '0.2801972789099998']
 ['0' '4.007' '4.0170521542' '0.010052154200000274']
 ['0' '4.227' '4.23764172336' '0.010641723360000022']
 ['0' '4.474' '4.48145124717' '0.007451247169999675']
 ['0' '5.293' '5.29414965986' '0.0011496598600002628']
 ['2' '5.69' '5.31736961451' '0.3726303854900008']
 ['0' '5.69' '5.70049886621' '0.010498866209999846']
 ['2' '6.407' '5.73532879819' '0.6716712018099997']
 ['2' '6.407' '5.75854875283' '0.6484512471699997']
 ['2' '6.407' '5.79337868481' '0.6136213151899996']
 ['2' '6.407' '5.82820861678' '0.5787913832200005']
 ['2' '6.407' '5.86303854875' '0.5439614512500004']
 ['2' '6.407' '5.89786848073' '0.5091315192700003']
 ['2' '6.407' '5.9326984127' '0.47430158730000027']
 ['2' '6.407' '5.96752834467' '0.4394716553300002']
 ['2' '6.407' '6.00235827664' '0.40464172336000015']
 ['-1' '6.407' '6.42031746032' '0.013317460319999697']
 ['2' '6.657' '6.42031746032' '0.2366825396800003']
 ['2' '6.657' '6.46675736961' '0.19024263039000022']
 ['2' '6.657' '6.51319727891' '0.14380272109000014']
 ['2' '6.657' '6.54802721088' '0.10897278912000008']
 ['2' '6.657' '6.58285714286' '0.07414285714000002']
 ['0' '6.657' '6.66412698413' '0.007126984130000125']
 ['2' '7.103' '6.68734693878' '0.41565306121999956']
 ['2' '7.103' '6.72217687075' '0.3808231292499995']
 ['2' '7.103' '6.7453968254' '0.35760317459999946']
 ['2' '7.103' '6.79183673469' '0.3111632653099994']
 ['2' '7.103' '6.81505668934' '0.28794331065999934']
 ['2' '7.103' '6.84988662132' '0.25311337868000017']
 ['0' '7.103' '7.10530612245' '0.002306122450000281']
 ['0' '7.366' '7.37233560091' '0.006335600909999961']
 ['2' '7.589' '7.40716553288' '0.18183446712000073']
 ['2' '7.589' '7.4652154195' '0.12378458050000063']
 ['-1' '7.589' '7.60453514739' '0.015535147389999615']
 ['2' '7.893' '7.60453514739' '0.28846485260999977']
 ['2' '7.893' '7.62775510204' '0.2652448979599997']
 ['2' '7.893' '7.65097505669' '0.24202494330999968']
 ['2' '7.893' '7.68580498866' '0.20719501133999962']
 ['2' '7.893' '7.70902494331' '0.18397505668999958']
 ['2' '7.893' '7.74385487528' '0.14914512471999952']
 ['2' '7.893' '7.76707482993' '0.12592517006999948']
 ['2' '7.893' '7.8019047619' '0.09109523809999942']
 ['2' '7.893' '7.8483446712' '0.04465532880000023']
 ['-1' '7.893' '7.90639455782' '0.013394557819999875']
 ['2' '-1' '7.9412244898' '-1']]
