# Track Results
There are 30 result entries compared to 30 annotations in track "069_phrase_shuffle-blues_complex_slow_brushes".
Positives:	5
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.484' '0.487619047619' '0.0036190476190000043']
 ['-2' '1.639' '3.61070294785' '1.97170294785']
 ['-2' '2.96' '3.61070294785' '0.6507029478500002']
 ['-2' '3.145' '3.61070294785' '0.4657029478500001']
 ['-2' '3.451' '3.61070294785' '0.15970294785000005']
 ['0' '3.61' '3.61070294785' '0.0007029478500002462']
 ['-2' '4.88' '9.68272108844' '4.802721088439999']
 ['-2' '5.058' '9.68272108844' '4.624721088439999']
 ['-2' '5.442' '9.68272108844' '4.240721088439999']
 ['-2' '5.623' '9.68272108844' '4.059721088439999']
 ['-2' '6.908' '9.68272108844' '2.774721088439999']
 ['-2' '7.391' '9.68272108844' '2.291721088439999']
 ['-2' '7.519' '9.68272108844' '2.163721088439999']
 ['-2' '7.822' '9.68272108844' '1.8607210884399992']
 ['-2' '9.242' '9.68272108844' '0.44072108843999835']
 ['-2' '9.359' '9.68272108844' '0.32372108843999925']
 ['0' '9.678' '9.68272108844' '0.004721088439998411']
 ['-2' '11.089' '15.0581405896' '3.9691405896000003']
 ['-2' '11.21' '15.0581405896' '3.8481405896']
 ['-2' '11.503' '15.0581405896' '3.5551405896000006']
 ['-2' '13.292' '15.0581405896' '1.7661405896000009']
 ['-2' '13.449' '15.0581405896' '1.6091405896000008']
 ['-2' '13.75' '15.0581405896' '1.3081405896000007']
 ['-2' '13.881' '15.0581405896' '1.1771405896000005']
 ['-2' '14.188' '15.0581405896' '0.8701405896000001']
 ['-2' '14.341' '15.0581405896' '0.7171405896000014']
 ['-2' '14.636' '15.0581405896' '0.42214058960000145']
 ['-2' '14.795' '15.0581405896' '0.26314058960000075']
 ['0' '15.048' '15.0581405896' '0.010140589600000638']
 ['0' '16.521' '16.5209977324' '2.2675999993282403e-06']]
