# Track Results
There are 60 result entries compared to 57 annotations in track "071_phrase_shuffle-blues_complex_fast_brushes".
Positives:	14
False positives:	3

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.537' '0.534058956916' '0.0029410430840000057']
 ['-2' '1.126' '5.56117913832' '4.4351791383200005']
 ['-2' '1.248' '5.56117913832' '4.31317913832']
 ['-2' '1.463' '5.56117913832' '4.09817913832']
 ['-2' '1.823' '5.56117913832' '3.73817913832']
 ['-2' '1.955' '5.56117913832' '3.60617913832']
 ['-2' '2.184' '5.56117913832' '3.37717913832']
 ['-2' '2.306' '5.56117913832' '3.25517913832']
 ['-2' '2.547' '5.56117913832' '3.01417913832']
 ['-2' '2.675' '5.56117913832' '2.88617913832']
 ['-2' '3.037' '5.56117913832' '2.52417913832']
 ['-2' '3.281' '5.56117913832' '2.28017913832']
 ['-2' '3.651' '5.56117913832' '1.9101791383200002']
 ['-2' '3.783' '5.56117913832' '1.77817913832']
 ['-2' '4.037' '5.56117913832' '1.52417913832']
 ['-2' '4.143' '5.56117913832' '1.4181791383200002']
 ['-2' '4.364' '5.56117913832' '1.1971791383200001']
 ['-2' '4.51' '5.56117913832' '1.0511791383200002']
 ['-2' '4.73' '5.56117913832' '0.8311791383199996']
 ['-2' '4.847' '5.56117913832' '0.7141791383199996']
 ['-2' '5.085' '5.56117913832' '0.47617913832000003']
 ['-2' '5.195' '5.56117913832' '0.3661791383199997']
 ['-2' '5.432' '5.56117913832' '0.1291791383199996']
 ['0' '5.552' '5.56117913832' '0.00917913832000039']
 ['-2' '5.792' '5.90947845805' '0.1174784580499999']
 ['0' '5.906' '5.90947845805' '0.0034784580500000217']
 ['1' '6.158' '5.94430839002' '0.21369160998000059']
 ['-2' '6.158' '7.30267573696' '1.14467573696']
 ['-2' '6.258' '7.30267573696' '1.0446757369600004']
 ['-2' '6.497' '7.30267573696' '0.8056757369600005']
 ['-2' '6.603' '7.30267573696' '0.6996757369600006']
 ['-2' '6.844' '7.30267573696' '0.4586757369600001']
 ['-2' '6.956' '7.30267573696' '0.34667573696']
 ['-2' '7.189' '7.30267573696' '0.11367573696000033']
 ['0' '7.301' '7.30267573696' '0.0016757369600002292']
 ['-2' '7.535' '8.38240362812' '0.8474036281200004']
 ['-2' '7.892' '8.38240362812' '0.49040362812000016']
 ['-2' '8.011' '8.38240362812' '0.3714036281200013']
 ['-2' '8.265' '8.38240362812' '0.11740362811999994']
 ['0' '8.379' '8.38240362812' '0.0034036281200009455']
 ['-2' '8.616' '8.73070294785' '0.11470294785000057']
 ['0' '8.731' '8.73070294785' '0.0002970521499996437']
 ['-2' '8.954' '9.07900226757' '0.12500226757000021']
 ['0' '9.072' '9.07900226757' '0.0070022675700016634']
 ['1' '9.302' '9.10222222222' '0.1997777777799996']
 ['-2' '9.302' '9.79882086168' '0.49682086167999984']
 ['-2' '9.424' '9.79882086168' '0.37482086167999995']
 ['-2' '9.659' '9.79882086168' '0.13982086167999874']
 ['0' '9.793' '9.79882086168' '0.005820861680000178']
 ['-2' '10.029' '10.1471201814' '0.11812018140000013']
 ['0' '10.144' '10.1471201814' '0.0031201813999999217']
 ['2' '10.378' '10.2283900227' '0.1496099773000008']
 ['-2' '10.378' '10.4954195011' '0.11741950110000055']
 ['0' '10.49' '10.4954195011' '0.005419501100000446']
 ['0' '10.726' '10.7276190476' '0.0016190475999984244']
 ['0' '10.845' '10.8437188209' '0.0012811791000011397']
 ['-2' '11.054' '11.4009977324' '0.3469977324000002']
 ['-2' '11.173' '11.4009977324' '0.22799773240000043']
 ['0' '11.395' '11.4009977324' '0.005997732400000899']
 ['0' '11.513' '11.5054875283' '0.007512471700000134']]
