# Track Results
There are 24 result entries compared to 7 annotations in track "078_phrase_reggae_simple_slow_sticks".
Positives:	6
False positives:	17

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '1.616' '1.6253968254' '0.009396825399999864']
 ['2' '3.612' '1.66022675737' '1.95177324263']
 ['2' '3.612' '1.69505668934' '1.91694331066']
 ['2' '3.612' '1.72988662132' '1.8821133786800002']
 ['0' '3.612' '3.62231292517' '0.010312925170000042']
 ['2' '3.949' '3.65714285714' '0.29185714285999964']
 ['2' '3.949' '3.69197278912' '0.25702721088']
 ['2' '3.949' '3.75002267574' '0.19897732425999992']
 ['0' '3.949' '3.95900226757' '0.01000226757']
 ['2' '5.685' '3.98222222222' '1.7027777777799997']
 ['2' '5.685' '4.0170521542' '1.6679478457999997']
 ['2' '5.685' '4.05188208617' '1.6331179138299996']
 ['2' '5.685' '4.08671201814' '1.5982879818599995']
 ['2' '5.685' '4.10993197279' '1.5750680272099995']
 ['0' '5.685' '5.68888888889' '0.003888888890000608']
 ['2' '7.733' '5.72371882086' '2.0092811791399994']
 ['2' '7.733' '5.75854875283' '1.9744512471699993']
 ['2' '7.733' '5.79337868481' '1.9396213151899993']
 ['2' '7.733' '5.82820861678' '1.90479138322']
 ['0' '7.733' '7.74385487528' '0.01085487528000062']
 ['-2' '8.056' '8.54494331066' '0.48894331066000163']
 ['0' '8.539' '8.54494331066' '0.005943310660001089']
 ['2' '-1' '8.57977324263' '-1']
 ['2' '-1' '8.60299319728' '-1']]
