# Track Results
There are 81 result entries compared to 21 annotations in track "081_phrase_reggae_complex_slow_sticks".
Positives:	8
False positives:	67

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['-1' '0.939' '0.95201814059' '0.01301814059000006']
 ['2' '1.38' '0.95201814059' '0.4279818594099999']
 ['2' '1.38' '0.986848072562' '0.39315192743799987']
 ['2' '1.38' '1.02167800454' '0.3583219954599999']
 ['2' '1.38' '1.04489795918' '0.33510204081999984']
 ['2' '1.38' '1.07972789116' '0.30027210884']
 ['2' '1.38' '1.11455782313' '0.26544217686999994']
 ['2' '1.38' '1.1493877551' '0.23061224489999987']
 ['2' '1.38' '1.18421768707' '0.1957823129299998']
 ['0' '1.38' '1.38158730159' '0.0015873015900000897']
 ['-1' '1.841' '1.86920634921' '0.02820634920999998']
 ['2' '3.254' '1.86920634921' '1.38479365079']
 ['2' '3.254' '1.90403628118' '1.34996371882']
 ['2' '3.254' '1.99691609977' '1.25708390023']
 ['-2' '3.254' '3.45977324263' '0.20577324262999985']
 ['-1' '3.442' '3.45977324263' '0.017773242629999686']
 ['2' '3.748' '3.45977324263' '0.28822675737000036']
 ['2' '3.748' '3.4946031746' '0.2533968254000003']
 ['2' '3.748' '3.51782312925' '0.23017687075000026']
 ['2' '3.748' '3.55265306122' '0.1953469387800002']
 ['2' '3.748' '3.5874829932' '0.16051700680000014']
 ['0' '3.748' '3.75002267574' '0.002022675739999702']
 ['2' '5.141' '3.78485260771' '1.35614739229']
 ['2' '5.141' '3.81968253968' '1.32131746032']
 ['-2' '5.141' '5.32897959184' '0.18797959183999957']
 ['0' '5.32' '5.32897959184' '0.008979591839999301']
 ['2' '5.587' '5.36380952381' '0.2231904761900001']
 ['2' '5.587' '5.38702947846' '0.19997052154000006']
 ['2' '5.587' '5.42185941043' '0.16514058957']
 ['2' '5.587' '5.4566893424' '0.13031065759999994']
 ['0' '5.587' '5.58439909297' '0.0026009070299997106']
 ['-2' '6.984' '7.16335600907' '0.17935600907000016']
 ['-1' '7.141' '7.16335600907' '0.022356009070000127']
 ['2' '8.339' '7.16335600907' '1.1756439909300003']
 ['2' '8.339' '7.19818594104' '1.1408140589600002']
 ['2' '8.339' '7.23301587302' '1.1059841269800001']
 ['0' '8.339' '8.34757369615' '0.008573696150000032']
 ['2' '8.711' '8.38240362812' '0.3285963718799998']
 ['2' '8.711' '8.40562358277' '0.30537641723000064']
 ['2' '8.711' '8.44045351474' '0.2705464852600006']
 ['-1' '8.711' '8.73070294785' '0.01970294784999993']
 ['2' '9.73' '8.73070294785' '0.9992970521500002']
 ['2' '9.73' '8.76553287982' '0.9644671201800001']
 ['2' '9.73' '8.80036281179' '0.9296371882100001']
 ['2' '9.73' '8.83519274376' '0.89480725624']
 ['-2' '9.73' '9.9033106576' '0.17331065760000008']
 ['0' '9.897' '9.9033106576' '0.006310657600000269']
 ['2' '10.183' '9.92653061224' '0.2564693877599993']
 ['2' '10.183' '9.96136054422' '0.2216394557800001']
 ['0' '10.183' '10.1935600907' '0.010560090700000302']
 ['2' '11.289' '10.2283900227' '1.0606099773000004']
 ['2' '11.289' '10.2632199546' '1.0257800453999995']
 ['2' '11.289' '10.2864399093' '1.0025600906999994']
 ['2' '11.289' '10.3212698413' '0.9677301587000002']
 ['2' '11.289' '10.3560997732' '0.9329002267999993']
 ['2' '11.289' '10.3909297052' '0.8980702948000001']
 ['2' '11.289' '10.4489795918' '0.8400204081999991']
 ['-2' '11.289' '11.5751473923' '0.2861473923000002']
 ['-1' '11.56' '11.5751473923' '0.015147392299999396']
 ['2' '11.736' '11.5751473923' '0.16085260770000076']
 ['-1' '11.736' '11.7725170068' '0.0365170067999987']
 ['2' '13.391' '11.7725170068' '1.6184829932000007']
 ['2' '13.391' '11.8073469388' '1.5836530611999997']
 ['2' '13.391' '11.8305668934' '1.5604331065999997']
 ['2' '13.391' '11.8653968254' '1.5256031746000005']
 ['2' '13.391' '11.9002267574' '1.4907732425999995']
 ['2' '13.391' '11.923446712' '1.4675532879999995']
 ['2' '13.391' '11.958276644' '1.4327233560000003']
 ['2' '13.391' '11.993106576' '1.3978934239999994']
 ['1' '13.391' '12.0279365079' '1.3630634921000002']
 ['-2' '13.391' '15.2439002268' '1.8529002267999992']
 ['0' '15.234' '15.2439002268' '0.009900226799999245']
 ['2' '-1' '15.2787301587' '-1']
 ['2' '-1' '15.3019501134' '-1']
 ['2' '-1' '15.3367800454' '-1']
 ['2' '-1' '15.3716099773' '-1']
 ['2' '-1' '15.4064399093' '-1']
 ['2' '-1' '15.4296598639' '-1']
 ['2' '-1' '15.4644897959' '-1']
 ['2' '-1' '15.4993197279' '-1']
 ['2' '-1' '15.5341496599' '-1']]
