# Track Results
There are 233 result entries compared to 51 annotations in track "101_solo_jazz-rock_rods".
Positives:	18
False positives:	203

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['-2' '0.176' '1.01006802721' '0.8340680272100001']
 ['-2' '0.478' '1.01006802721' '0.53206802721']
 ['-2' '0.805' '1.01006802721' '0.20506802720999995']
 ['0' '1.007' '1.01006802721' '0.0030680272100001016']
 ['2' '1.796' '1.03328798186' '0.76271201814']
 ['2' '1.796' '1.06811791383' '0.7278820861699999']
 ['2' '1.796' '1.1029478458' '0.6930521542000001']
 ['2' '1.796' '1.13777777778' '0.65822222222']
 ['-1' '1.796' '1.81115646259' '0.01515646259000003']
 ['2' '2.082' '1.81115646259' '0.2708435374099998']
 ['0' '2.082' '2.08979591837' '0.0077959183700002654']
 ['2' '2.371' '2.11301587302' '0.25798412697999984']
 ['2' '2.371' '2.14784580499' '0.22315419500999978']
 ['2' '2.371' '2.20589569161' '0.16510430839000012']
 ['2' '2.371' '2.24072562358' '0.13027437642000006']
 ['2' '2.371' '2.27555555556' '0.09544444444']
 ['-1' '2.371' '2.3916553288' '0.020655328800000206']
 ['2' '2.587' '2.3916553288' '0.1953446712']
 ['2' '2.587' '2.42648526077' '0.16051473923000037']
 ['2' '2.587' '2.44970521542' '0.13729478458000033']
 ['2' '2.587' '2.48453514739' '0.10246485261000027']
 ['2' '2.587' '2.51936507937' '0.0676349206300002']
 ['0' '2.587' '2.57741496599' '0.009585034010000104']
 ['2' '3.352' '2.60063492063' '0.7513650793699997']
 ['2' '3.352' '2.63546485261' '0.7165351473899997']
 ['2' '3.352' '2.69351473923' '0.65848526077']
 ['2' '3.352' '2.7283446712' '0.6236553288']
 ['2' '3.352' '2.76317460317' '0.5888253968299999']
 ['2' '3.352' '2.79800453515' '0.5539954648499998']
 ['2' '3.352' '2.83283446712' '0.5191655328799998']
 ['2' '3.352' '2.86766439909' '0.4843356009099997']
 ['-2' '3.352' '3.57587301587' '0.2238730158700002']
 ['0' '3.569' '3.57587301587' '0.00687301587000011']
 ['2' '4.082' '3.61070294785' '0.47129705214999973']
 ['-1' '4.082' '4.09832199546' '0.016321995460000238']
 ['2' '4.395' '4.09832199546' '0.2966780045399995']
 ['2' '4.395' '4.13315192744' '0.2618480725599994']
 ['2' '4.395' '4.16798185941' '0.22701814058999936']
 ['2' '4.395' '4.19120181406' '0.20379818593999932']
 ['2' '4.395' '4.22603174603' '0.16896825396999926']
 ['2' '4.395' '4.260861678' '0.1341383219999992']
 ['2' '4.395' '4.29569160998' '0.09930839001999914']
 ['2' '4.395' '4.33052154195' '0.06447845804999996']
 ['-1' '4.395' '4.41179138322' '0.016791383220000178']
 ['2' '4.658' '4.41179138322' '0.2462086167800006']
 ['2' '4.658' '4.44662131519' '0.21137868481000055']
 ['2' '4.658' '4.48145124717' '0.1765487528300005']
 ['2' '4.658' '4.50467120181' '0.15332879819000045']
 ['2' '4.658' '4.53950113379' '0.11849886621000039']
 ['2' '4.658' '4.57433106576' '0.08366893424000033']
 ['2' '4.658' '4.60916099773' '0.048839002270000265']
 ['1' '4.658' '4.64399092971' '0.014009070290000203']
 ['-2' '4.658' '6.3622675737' '1.7042675736999993']
 ['0' '6.352' '6.3622675737' '0.01026757369999931']
 ['2' '6.759' '6.39709750567' '0.36190249433000066']
 ['2' '6.759' '6.42031746032' '0.3386825396800006']
 ['2' '6.759' '6.45514739229' '0.30385260771000056']
 ['-1' '6.759' '6.78022675737' '0.021226757370000016']
 ['2' '7.387' '6.78022675737' '0.6067732426299992']
 ['2' '7.387' '6.80344671202' '0.5835532879799992']
 ['2' '7.387' '6.83827664399' '0.54872335601']
 ['2' '7.387' '6.87310657596' '0.5138934240399999']
 ['2' '7.387' '6.89632653061' '0.4906734693899999']
 ['2' '7.387' '6.93115646259' '0.45584353740999983']
 ['2' '7.387' '6.96598639456' '0.42101360543999977']
 ['2' '7.387' '7.01242630385' '0.3745736961499997']
 ['2' '7.387' '7.0356462585' '0.35135374149999965']
 ['2' '7.387' '7.07047619048' '0.3165238095199996']
 ['0' '7.387' '7.39555555556' '0.008555555560000094']
 ['2' '7.619' '7.43038548753' '0.18861451247000005']
 ['1' '7.619' '7.4652154195' '0.1537845805']
 ['-2' '7.619' '8.09215419501' '0.4731541950100002']
 ['-1' '8.073' '8.09215419501' '0.019154195009999597']
 ['2' '8.402' '8.09215419501' '0.30984580498999925']
 ['0' '8.402' '8.40562358277' '0.003623582770000411']
 ['2' '9.615' '8.42884353741' '1.1861564625900005']
 ['2' '9.615' '8.47528344671' '1.1397165532900004']
 ['2' '9.615' '8.49850340136' '1.1164965986399995']
 ['2' '9.615' '8.53333333333' '1.0816666666699994']
 ['-2' '9.615' '9.88009070295' '0.26509070294999937']
 ['0' '9.871' '9.88009070295' '0.009090702949999141']
 ['1' '9.958' '9.91492063492' '0.04307936508000054']
 ['-2' '9.958' '10.6463492063' '0.6883492062999998']
 ['-2' '10.428' '10.6463492063' '0.2183492062999992']
 ['-1' '10.622' '10.6463492063' '0.024349206300000148']
 ['2' '10.839' '10.6463492063' '0.19265079370000038']
 ['0' '10.839' '10.8437188209' '0.004718820899999088']
 ['2' '11.029' '10.8785487528' '0.15045124719999947']
 ['-1' '11.029' '11.0526984127' '0.02369841269999995']
 ['2' '11.265' '11.0526984127' '0.2123015873000007']
 ['0' '11.265' '11.2732879819' '0.008287981899998798']
 ['2' '11.902' '11.3197278912' '0.5822721087999998']
 ['1' '11.902' '11.3429478458' '0.5590521541999998']
 ['-2' '11.902' '12.5039455782' '0.6019455782000005']
 ['-2' '12.312' '12.5039455782' '0.19194557820000036']
 ['0' '12.496' '12.5039455782' '0.007945578199999304']
 ['2' '12.701' '12.5271655329' '0.17383446710000072']
 ['2' '12.701' '12.5852154195' '0.11578458049999973']
 ['2' '12.701' '12.6084353741' '0.0925646258999997']
 ['2' '12.701' '12.6432653061' '0.05773469390000052']
 ['-1' '12.701' '12.7245351474' '0.023535147399998735']
 ['2' '13.264' '12.7245351474' '0.5394648526000001']
 ['2' '13.264' '12.7709750567' '0.4930249433']
 ['2' '13.264' '12.7941950113' '0.4698049887']
 ['2' '13.264' '12.817414966' '0.44658503399999994']
 ['2' '13.264' '12.852244898' '0.411755101999999']
 ['2' '13.264' '12.8870748299' '0.3769251700999998']
 ['-1' '13.264' '13.281814059' '0.01781405900000088']
 ['2' '13.868' '13.281814059' '0.5861859410000001']
 ['2' '13.868' '13.3282539683' '0.5397460317']
 ['2' '13.868' '13.3514739229' '0.5165260771']
 ['2' '13.868' '13.3863038549' '0.4816961451000008']
 ['2' '13.868' '13.4095238095' '0.45847619050000077']
 ['2' '13.868' '13.4443537415' '0.4236462584999998']
 ['0' '13.868' '13.8739229025' '0.005922902500000049']
 ['-1' '14.897' '14.9188208617' '0.021820861700000194']
 ['2' '15.333' '14.9188208617' '0.41417913829999975']
 ['2' '15.333' '14.9536507937' '0.3793492063000006']
 ['2' '15.333' '14.9884807256' '0.34451927439999963']
 ['2' '15.333' '15.0117006803' '0.3212993196999996']
 ['2' '15.333' '15.0465306122' '0.2864693878000004']
 ['2' '15.333' '15.0813605442' '0.25163945579999947']
 ['2' '15.333' '15.1045804989' '0.22841950109999942']
 ['2' '15.333' '15.1394104308' '0.19358956920000026']
 ['2' '15.333' '15.1742403628' '0.1587596371999993']
 ['2' '15.333' '15.2090702948' '0.12392970520000013']
 ['2' '15.333' '15.2671201814' '0.06587981860000092']
 ['2' '15.333' '15.3019501134' '0.031049886599999965']
 ['0' '15.333' '15.325170068' '0.007829931999999928']
 ['0' '15.671' '15.6734693878' '0.002469387800001499']
 ['-1' '16.286' '16.3004081633' '0.014408163299997057']
 ['2' '16.512' '16.3004081633' '0.21159183670000203']
 ['2' '16.512' '16.3352380952' '0.17676190479999931']
 ['-1' '16.512' '16.5326077098' '0.02060770980000015']
 ['2' '16.835' '16.5326077098' '0.30239229020000025']
 ['2' '16.835' '16.5558276644' '0.279172335600002']
 ['2' '16.835' '16.6254875283' '0.20951247170000187']
 ['2' '16.835' '16.6719274376' '0.1630725624']
 ['2' '16.835' '16.7067573696' '0.1282426304000026']
 ['2' '16.835' '16.7415873016' '0.09341269840000166']
 ['2' '16.835' '16.7764172336' '0.05858276640000071']
 ['-1' '16.835' '16.8576870748' '0.022687074800000318']
 ['2' '17.143' '16.8576870748' '0.2853129251999995']
 ['2' '17.143' '16.8925170068' '0.2504829932000021']
 ['2' '17.143' '16.9157369615' '0.22726303850000207']
 ['2' '17.143' '16.9505668934' '0.19243310659999935']
 ['2' '17.143' '16.9853968254' '0.15760317460000195']
 ['2' '17.143' '17.00861678' '0.13438322000000014']
 ['2' '17.143' '17.043446712' '0.09955328799999918']
 ['2' '17.143' '17.078276644' '0.06472335600000179']
 ['2' '17.143' '17.113106576' '0.029893424000000834']
 ['-1' '17.143' '17.1711564626' '0.028156462599998378']
 ['2' '17.461' '17.1711564626' '0.28984353739999946']
 ['2' '17.461' '17.2059863946' '0.2550136053999985']
 ['2' '17.461' '17.2292063492' '0.23179365080000025']
 ['2' '17.461' '17.2640362812' '0.1969637187999993']
 ['2' '17.461' '17.2872562358' '0.17374376419999749']
 ['2' '17.461' '17.3220861678' '0.1389138322000001']
 ['2' '17.461' '17.3685260771' '0.09247392289999823']
 ['2' '17.461' '17.4149659864' '0.04603401359999992']
 ['0' '17.461' '17.4497959184' '0.011204081599998972']
 ['2' '17.772' '17.473015873' '0.2989841269999971']
 ['2' '17.772' '17.5310657596' '0.2409342403999979']
 ['2' '17.772' '17.5658956916' '0.20610430839999694']
 ['2' '17.772' '17.5891156463' '0.1828843536999969']
 ['2' '17.772' '17.6239455782' '0.14805442179999773']
 ['2' '17.772' '17.6587755102' '0.11322448979999677']
 ['2' '17.772' '17.6936054422' '0.07839455779999938']
 ['-1' '17.772' '17.7980952381' '0.026095238100001694']
 ['2' '17.984' '17.7980952381' '0.1859047619000016']
 ['2' '17.984' '17.8213151927' '0.16268480730000334']
 ['2' '17.984' '17.8445351474' '0.1394648526000033']
 ['2' '17.984' '17.8793650794' '0.10463492060000235']
 ['2' '17.984' '17.937414966' '0.046585034000003134']
 ['2' '17.984' '17.972244898' '0.011755102000002182']
 ['0' '17.984' '17.9954648526' '0.011464852599999631']
 ['2' '18.18' '18.0186848073' '0.16131519269999828']
 ['2' '18.18' '18.0767346939' '0.10326530609999907']
 ['2' '18.18' '18.0999546485' '0.0800453515000008']
 ['2' '18.18' '18.1347845805' '0.045215419499999854']
 ['2' '18.18' '18.1580045351' '0.02199546489999804']
 ['-1' '18.18' '18.1928344671' '0.012834467099999358']
 ['2' '18.479' '18.1928344671' '0.28616553290000013']
 ['2' '18.479' '18.2160544218' '0.2629455782000001']
 ['2' '18.479' '18.2508843537' '0.22811564630000092']
 ['2' '18.479' '18.2741043084' '0.20489569160000087']
 ['2' '18.479' '18.3089342404' '0.17006575959999992']
 ['2' '18.479' '18.332154195' '0.1468458049999981']
 ['2' '18.479' '18.366984127' '0.11201587300000071']
 ['2' '18.479' '18.401814059' '0.07718594099999976']
 ['2' '18.479' '18.4366439909' '0.04235600910000059']
 ['2' '18.479' '18.4598639456' '0.019136054400000546']
 ['0' '18.479' '18.4830839002' '0.004083900200001267']
 ['2' '18.791' '18.5063038549' '0.28469614509999985']
 ['2' '18.791' '18.5295238095' '0.2614761905000016']
 ['2' '18.791' '18.5875736961' '0.20342630389999883']
 ['2' '18.791' '18.6224036281' '0.16859637190000143']
 ['2' '18.791' '18.6572335601' '0.13376643990000048']
 ['2' '18.791' '18.7152834467' '0.07571655330000127']
 ['-1' '18.791' '18.8081632653' '0.017163265299998898']
 ['2' '19.647' '18.8081632653' '0.8388367346999992']
 ['2' '19.647' '18.8778231293' '0.7691768706999973']
 ['2' '19.647' '18.9010430839' '0.745956916099999']
 ['2' '19.647' '18.9358730159' '0.7111269840999981']
 ['-2' '19.647' '19.9923809524' '0.3453809524000029']
 ['0' '19.988' '19.9923809524' '0.004380952400001803']
 ['2' '21.025' '20.0272108844' '0.9977891155999998']
 ['-1' '21.025' '21.0372789116' '0.012278911600002829']
 ['2' '21.247' '21.0372789116' '0.20972108839999848']
 ['2' '21.247' '21.0953287982' '0.15167120179999927']
 ['2' '21.247' '21.1185487528' '0.128451247200001']
 ['2' '21.247' '21.1533786848' '0.09362131520000005']
 ['2' '21.247' '21.2114285714' '0.03557142860000084']
 ['-1' '21.247' '21.269478458' '0.02247845799999837']
 ['2' '21.612' '21.269478458' '0.34252154200000007']
 ['2' '21.612' '21.2926984127' '0.3193015873']
 ['2' '21.612' '21.3275283447' '0.28447165529999907']
 ['2' '21.612' '21.3507482993' '0.26125170069999726']
 ['2' '21.612' '21.3855782313' '0.22642176869999986']
 ['2' '21.612' '21.4087981859' '0.20320181409999805']
 ['2' '21.612' '21.4552380952' '0.15676190479999974']
 ['2' '21.612' '21.5132879819' '0.09871201809999874']
 ['2' '21.612' '21.5365079365' '0.07549206349999693']
 ['2' '21.612' '21.5713378685' '0.04066213149999953']
 ['-1' '21.612' '21.6293877551' '0.017387755100003233']
 ['2' '-1' '21.6642176871' '-1']
 ['2' '-1' '21.6874376417' '-1']
 ['2' '-1' '21.7222675737' '-1']
 ['2' '-1' '21.7570975057' '-1']
 ['2' '-1' '21.7919274376' '-1']
 ['2' '-1' '21.8151473923' '-1']
 ['2' '-1' '21.8499773243' '-1']
