# Track Results
There are 21 result entries compared to 21 annotations in track "038_phrase_disco_simple_slow_sticks".
Positives:	17
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.524' '0.522448979592' '0.0015510204080000367']
 ['0' '1.288' '1.28870748299' '0.0007074829900000079']
 ['0' '2.014' '2.02013605442' '0.006136054420000203']
 ['0' '2.756' '2.76317460317' '0.007174603170000182']
 ['-2' '3.073' '3.47138321995' '0.3983832199499999']
 ['0' '3.467' '3.47138321995' '0.004383219949999795']
 ['0' '4.193' '4.19120181406' '0.0017981859399993638']
 ['0' '4.908' '4.91102040816' '0.003020408159999377']
 ['0' '5.64' '5.64244897959' '0.002448979590000455']
 ['0' '6.361' '6.3622675737' '0.0012675736999998577']
 ['0' '7.096' '7.10530612245' '0.009306122449999954']
 ['-2' '7.404' '7.82512471655' '0.4211247165500005']
 ['0' '7.819' '7.82512471655' '0.006124716550000464']
 ['-2' '8.143' '8.55655328798' '0.41355328797999924']
 ['0' '8.549' '8.55655328798' '0.007553287980000434']
 ['0' '9.282' '9.28798185941' '0.005981859409999402']
 ['0' '10.03' '10.0310204082' '0.0010204082000004888']
 ['0' '10.755' '10.7624489796' '0.007448979599999461']
 ['0' '11.496' '11.493877551' '0.002122448999999804']
 ['-2' '11.829' '12.2136961451' '0.3846961450999995']
 ['0' '12.217' '12.2136961451' '0.0033038549000004025']]
