# Track Results
There are 17 result entries compared to 17 annotations in track "042_phrase_disco_complex_medium_sticks".
Positives:	17
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.546' '0.54566893424' '0.00033106576000008214']
 ['0' '1.185' '1.18421768707' '0.0007823129299999732']
 ['0' '1.808' '1.81115646259' '0.00315646259000002']
 ['0' '2.446' '2.44970521542' '0.0037052154199996856']
 ['0' '3.073' '3.07664399093' '0.0036439909300001183']
 ['0' '3.702' '3.70358276644' '0.001582766439999883']
 ['0' '4.353' '4.3537414966' '0.0007414965999998913']
 ['0' '4.998' '5.00390022676' '0.005900226759999683']
 ['0' '5.632' '5.63083900227' '0.0011609977299995577']
 ['0' '6.272' '6.28099773243' '0.008997732430000127']
 ['0' '6.908' '6.90793650794' '6.349206000066943e-05']
 ['0' '7.54' '7.53487528345' '0.00512471655000013']
 ['0' '8.178' '8.18503401361' '0.0070340136099993344']
 ['0' '8.806' '8.81197278912' '0.0059727891200012095']
 ['0' '9.455' '9.45052154195' '0.004478458050000356']
 ['0' '10.09' '10.0890702948' '0.0009297051999990202']
 ['0' '10.727' '10.7276190476' '0.0006190475999989786']]
