# Track Results
There are 26 result entries compared to 26 annotations in track "049_phrase_rock_complex_fast_sticks".
Positives:	26
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.263' '0.267029478458' '0.004029478458000002']
 ['0' '1.072' '1.06811791383' '0.0038820861699999654']
 ['0' '1.283' '1.28870748299' '0.005707482990000123']
 ['0' '1.877' '1.88081632653' '0.0038163265299999694']
 ['0' '2.686' '2.6819047619' '0.00409523810000012']
 ['0' '2.897' '2.90249433107' '0.005494331070000413']
 ['0' '3.491' '3.4946031746' '0.0036031745999998144']
 ['0' '4.307' '4.3073015873' '0.0003015872999991842']
 ['0' '4.525' '4.52789115646' '0.0028911564599996']
 ['0' '5.134' '5.13160997732' '0.0023900226800002145']
 ['0' '5.937' '5.94430839002' '0.0073083900199995']
 ['0' '6.15' '6.15328798186' '0.003287981859999789']
 ['0' '6.754' '6.75700680272' '0.0030068027200007563']
 ['0' '6.968' '6.96598639456' '0.002013605440000177']
 ['0' '7.584' '7.58131519274' '0.002684807259999644']
 ['0' '8.413' '8.41723356009' '0.00423356009000031']
 ['0' '8.621' '8.62621315193' '0.005213151929998716']
 ['0' '9.244' '9.24154195011' '0.0024580498900004244']
 ['0' '9.443' '9.43891156463' '0.004088435369999033']
 ['0' '9.784' '9.78721088435' '0.0032108843499987216']
 ['0' '10.072' '10.0658503401' '0.006149659899998383']
 ['0' '10.899' '10.9017687075' '0.002768707500001355']
 ['0' '11.11' '11.1107482993' '0.0007482993000014204']
 ['0' '11.732' '11.7260770975' '0.005922902500000049']
 ['0' '12.564' '12.5619954649' '0.002004535099999316']
 ['0' '12.784' '12.782585034' '0.0014149660000004616']]
