# Track Results
There are 48 result entries compared to 47 annotations in track "050_phrase_afro_simple_slow_sticks".
Positives:	47
False positives:	1

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.532' '0.534058956916' '0.0020589569159999987']
 ['0' '1.02' '1.02167800454' '0.0016780045399999999']
 ['0' '1.483' '1.48607709751' '0.0030770975099998488']
 ['0' '1.815' '1.81115646259' '0.0038435374099998754']
 ['0' '2.28' '2.27555555556' '0.004444444439999806']
 ['0' '2.737' '2.73995464853' '0.002954648529999826']
 ['0' '3.038' '3.04181405896' '0.0038140589600001995']
 ['0' '3.516' '3.51782312925' '0.001823129249999944']
 ['0' '3.949' '3.94739229025' '0.0016077097500000193']
 ['0' '4.263' '4.260861678' '0.002138321999999526']
 ['0' '4.74' '4.7368707483' '0.003129251699999891']
 ['0' '5.174' '5.17804988662' '0.004049886619999832']
 ['0' '5.497' '5.49151927438' '0.005480725620000015']
 ['0' '5.961' '5.95591836735' '0.0050816326500005005']
 ['0' '6.41' '6.40870748299' '0.001292517010000438']
 ['0' '6.727' '6.72217687075' '0.004823129250000058']
 ['0' '7.2' '7.19818594104' '0.0018140589599999757']
 ['0' '7.647' '7.65097505669' '0.003975056689999867']
 ['0' '7.964' '7.96444444444' '0.00044444443999935856']
 ['0' '8.437' '8.44045351474' '0.0034535147400003297']
 ['2' '8.89' '8.60299319728' '0.28700680272000056']
 ['0' '8.89' '8.89324263039' '0.0032426303899999454']
 ['0' '9.209' '9.20671201814' '0.002287981860000343']
 ['0' '9.67' '9.67111111111' '0.0011111111099992854']
 ['0' '10.121' '10.1239002268' '0.0029002267999995723']
 ['0' '10.434' '10.4373696145' '0.003369614500000395']
 ['0' '10.896' '10.8901587302' '0.005841269800001214']
 ['0' '11.37' '11.3661678005' '0.003832199499999689']
 ['0' '11.695' '11.6912471655' '0.0037528345000001906']
 ['0' '12.162' '12.1556462585' '0.006353741500001675']
 ['0' '12.613' '12.6084353741' '0.004564625899998731']
 ['0' '12.928' '12.9219047619' '0.006095238100000344']
 ['0' '13.395' '13.3979138322' '0.0029138322000008543']
 ['0' '13.849' '13.8507029478' '0.001702947800000132']
 ['0' '14.149' '14.1525623583' '0.0035623583000017334']
 ['0' '14.616' '14.6169614512' '0.0009614512000002406']
 ['0' '15.069' '15.0697505669' '0.0007505668999989723']
 ['0' '15.382' '15.3832199546' '0.0012199545999997952']
 ['0' '15.835' '15.8360090703' '0.0010090702999985268']
 ['0' '16.296' '16.3004081633' '0.004408163299999046']
 ['0' '16.608' '16.6022675737' '0.0057324262999998155']
 ['0' '17.055' '17.0550566893' '5.66892999991353e-05']
 ['0' '17.502' '17.4962358277' '0.005764172299997483']
 ['0' '17.816' '17.8097052154' '0.006294784599997882']
 ['0' '18.271' '18.2741043084' '0.003104308399997535']
 ['0' '18.727' '18.726893424' '0.00010657600000030243']
 ['0' '19.041' '19.0403628118' '0.0006371881999989171']
 ['0' '19.491' '19.4931519274' '0.00215192739999992']]
