# Track Results
There are 50 result entries compared to 49 annotations in track "053_phrase_afro_complex_slow_sticks".
Positives:	49
False positives:	1

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.45' '0.452789115646' '0.0027891156459999844']
 ['0' '0.943' '0.940408163265' '0.002591836734999964']
 ['0' '1.438' '1.43963718821' '0.00163718821000014']
 ['0' '1.745' '1.74149659864' '0.003503401360000158']
 ['0' '2.193' '2.19428571429' '0.0012857142899997953']
 ['0' '2.659' '2.65868480726' '0.0003151927400000254']
 ['0' '2.969' '2.97215419501' '0.003154195010000027']
 ['0' '3.419' '3.41333333333' '0.00566666666999982']
 ['0' '3.883' '3.88934240363' '0.00634240363000016']
 ['0' '4.188' '4.19120181406' '0.0032018140600005296']
 ['0' '4.633' '4.63238095238' '0.0006190476199998685']
 ['0' '5.078' '5.0735600907' '0.0044399093000002665']
 ['0' '5.408' '5.41024943311' '0.002249433109999366']
 ['0' '5.854' '5.85142857143' '0.002571428570000478']
 ['0' '6.3' '6.30421768707' '0.004217687070000586']
 ['0' '6.603' '6.60607709751' '0.003077097510000293']
 ['0' '7.047' '7.04725623583' '0.00025623583000022876']
 ['0' '7.49' '7.48843537415' '0.0015646258500003896']
 ['0' '7.792' '7.79029478458' '0.0017052154199994618']
 ['0' '8.23' '8.2314739229' '0.0014739228999989251']
 ['0' '8.66' '8.6610430839' '0.0010430838999990755']
 ['0' '8.964' '8.96290249433' '0.0010975056699997765']
 ['0' '9.374' '9.36925170068' '0.0047482993200009815']
 ['0' '9.837' '9.83365079365' '0.0033492063500002445']
 ['0' '10.129' '10.1239002268' '0.005099773199999547']
 ['0' '10.562' '10.5650793651' '0.0030793651000013966']
 ['0' '10.99' '10.9830385488' '0.006961451200000468']
 ['2' '11.3' '11.029478458' '0.2705215420000009']
 ['0' '11.3' '11.2965079365' '0.003492063500001308']
 ['0' '11.726' '11.7260770975' '7.709749999840199e-05']
 ['0' '12.172' '12.1672562358' '0.004743764200000555']
 ['0' '12.469' '12.4691156463' '0.00011564630000115983']
 ['0' '12.914' '12.9102947846' '0.003705215400000128']
 ['0' '13.35' '13.3514739229' '0.0014739229000007015']
 ['0' '13.65' '13.6533333333' '0.0033333333000005183']
 ['0' '14.083' '14.0829024943' '9.750569999944503e-05']
 ['0' '14.525' '14.5240816327' '0.000918367300000611']
 ['0' '14.824' '14.8259410431' '0.001941043100000428']
 ['0' '15.27' '15.2671201814' '0.0028798186000003057']
 ['0' '15.709' '15.7082993197' '0.0007006802999995898']
 ['0' '16.017' '16.0101587302' '0.006841269799998884']
 ['0' '16.453' '16.4513378685' '0.001662131499998054']
 ['0' '16.881' '16.8809070295' '9.297049999901219e-05']
 ['0' '17.184' '17.1827664399' '0.0012335601000010854']
 ['0' '17.625' '17.6239455782' '0.0010544217999992611']
 ['0' '18.064' '18.0651247166' '0.0011247165999996867']
 ['0' '18.361' '18.3553741497' '0.005625850299999513']
 ['0' '18.791' '18.7849433107' '0.006056689299999363']
 ['0' '19.224' '19.226122449' '0.002122448999998028']
 ['0' '19.546' '19.5395918367' '0.006408163299997938']]
