# Track Results
There are 53 result entries compared to 48 annotations in track "054_phrase_afro_complex_medium_sticks".
Positives:	47
False positives:	5

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.407' '0.406349206349' '0.000650793650999959']
 ['0' '0.812' '0.812698412698' '0.0006984126979999727']
 ['0' '1.368' '1.36997732426' '0.0019773242599998575']
 ['0' '1.718' '1.71827664399' '0.0002766439899999362']
 ['0' '2.067' '2.06657596372' '0.0004240362800000952']
 ['0' '2.302' '2.2987755102' '0.0032244898000000077']
 ['0' '2.633' '2.63546485261' '0.002464852610000179']
 ['0' '2.97' '2.97215419501' '0.002154195009999693']
 ['0' '3.215' '3.21596371882' '0.0009637188200000146']
 ['0' '3.549' '3.55265306122' '0.0036530612200000867']
 ['-2' '3.903' '4.14476190476' '0.24176190476000015']
 ['0' '4.143' '4.14476190476' '0.0017619047600003768']
 ['2' '4.477' '4.17959183673' '0.2974081632700001']
 ['0' '4.477' '4.48145124717' '0.0044512471699995615']
 ['0' '4.819' '4.81814058957' '0.0008594104300003735']
 ['0' '5.062' '5.06195011338' '4.988662000027233e-05']
 ['0' '5.407' '5.41024943311' '0.0032494331099997']
 ['0' '5.758' '5.75854875283' '0.0005487528300003319']
 ['0' '5.984' '5.979138322' '0.004861678000000147']
 ['0' '6.316' '6.3158276644' '0.00017233559999940695']
 ['0' '6.648' '6.64090702948' '0.007092970519999575']
 ['2' '6.892' '6.68734693878' '0.20465306122000015']
 ['0' '6.892' '6.88471655329' '0.007283446710000696']
 ['0' '7.229' '7.22140589569' '0.0075941043099998495']
 ['0' '7.577' '7.58131519274' '0.004315192740000029']
 ['0' '7.811' '7.81351473923' '0.002514739230000451']
 ['0' '8.157' '8.16181405896' '0.004814058959999201']
 ['0' '8.512' '8.51011337868' '0.0018866213200006143']
 ['0' '8.75' '8.74231292517' '0.00768707483000064']
 ['0' '9.093' '9.0906122449' '0.0023877550999991115']
 ['0' '9.437' '9.43891156463' '0.0019115646300011946']
 ['0' '9.669' '9.67111111111' '0.002111111109998731']
 ['0' '10.007' '10.0078004535' '0.0008004535000001312']
 ['0' '10.353' '10.3560997732' '0.003099773200000655']
 ['0' '10.592' '10.5882993197' '0.0037006802999997035']
 ['0' '10.932' '10.9249886621' '0.007011337899999859']
 ['0' '11.28' '11.2732879819' '0.0067120180999999945']
 ['0' '11.51' '11.5054875283' '0.00451247170000002']
 ['0' '11.85' '11.8537868481' '0.0037868481000007392']
 ['0' '12.194' '12.1904761905' '0.003523809500000752']
 ['0' '12.436' '12.4458956916' '0.009895691600000589']
 ['2' '12.783' '12.4807256236' '0.30227437639999977']
 ['0' '12.783' '12.782585034' '0.00041496599999923944']
 ['0' '13.113' '13.1192743764' '0.006274376400000392']
 ['0' '13.353' '13.3514739229' '0.0015260770999994122']
 ['0' '13.689' '13.6881632653' '0.000836734700000008']
 ['0' '14.033' '14.036462585' '0.0034625850000011837']
 ['0' '14.259' '14.2570521542' '0.0019478458000001808']
 ['2' '14.596' '14.3267120181' '0.2692879818999998']
 ['2' '14.596' '14.3731519274' '0.22284807259999972']
 ['0' '14.596' '14.5937414966' '0.0022585034000002224']
 ['0' '14.949' '14.9420408163' '0.006959183699999372']
 ['0' '15.181' '15.1742403628' '0.006759637199998281']]
