# Track Results
There are 21 result entries compared to 21 annotations in track "070_phrase_shuffle-blues_simple_medium_sticks".
Positives:	21
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.253' '0.255419501134' '0.002419501134000024']
 ['0' '0.696' '0.696598639456' '0.0005986394560000274']
 ['0' '1.366' '1.36997732426' '0.003977324259999859']
 ['0' '1.627' '1.6253968254' '0.0016031746000000346']
 ['0' '2.068' '2.06657596372' '0.001424036279999985']
 ['0' '2.752' '2.75156462585' '0.00043537414999983426']
 ['0' '3.008' '3.00698412698' '0.0010158730200000576']
 ['0' '3.454' '3.45977324263' '0.005773242629999675']
 ['0' '4.152' '4.15637188209' '0.0043718820900000566']
 ['0' '4.404' '4.4001814059' '0.0038185941000001833']
 ['0' '4.86' '4.86458049887' '0.004580498869999339']
 ['0' '5.568' '5.57278911565' '0.004789115650000397']
 ['0' '5.838' '5.8398185941' '0.0018185940999995154']
 ['0' '6.564' '6.55963718821' '0.004362811790000087']
 ['0' '7.272' '7.26784580499' '0.004154195009999917']
 ['0' '8.004' '8.01088435374' '0.006884353740000293']
 ['0' '8.715' '8.71909297052' '0.00409297052000035']
 ['0' '9.447' '9.45052154195' '0.0035215419500005396']
 ['0' '10.164' '10.1703401361' '0.006340136100000393']
 ['0' '10.903' '10.9017687075' '0.0012312924999999808']
 ['0' '11.609' '11.6099773243' '0.0009773243000008591']]
