# Track Results
There are 35 result entries compared to 35 annotations in track "071_phrase_shuffle-blues_simple_fast_sticks".
Positives:	26
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.18' '0.185759637188' '0.005759637188000016']
 ['0' '0.455' '0.464399092971' '0.009399092971']
 ['-2' '0.912' '1.05650793651' '0.14450793651000005']
 ['0' '1.049' '1.05650793651' '0.007507936510000146']
 ['0' '1.33' '1.33514739229' '0.00514739228999983']
 ['-2' '1.781' '1.92725623583' '0.14625623583000014']
 ['0' '1.921' '1.92725623583' '0.006256235830000012']
 ['0' '2.208' '2.20589569161' '0.002104308390000309']
 ['-2' '2.639' '2.78639455782' '0.14739455782000022']
 ['0' '2.786' '2.78639455782' '0.0003945578199999744']
 ['0' '3.066' '3.06503401361' '0.0009659863899997845']
 ['-2' '3.512' '3.65714285714' '0.1451428571400002']
 ['0' '3.654' '3.65714285714' '0.003142857140000288']
 ['0' '3.931' '3.93578231293' '0.004782312929999755']
 ['-2' '4.381' '4.52789115646' '0.14689115645999973']
 ['0' '4.523' '4.52789115646' '0.004891156460000268']
 ['0' '4.814' '4.81814058957' '0.00414058956999952']
 ['0' '5.265' '5.27092970522' '0.005929705220000692']
 ['0' '5.408' '5.41024943311' '0.002249433109999366']
 ['0' '5.683' '5.68888888889' '0.005888888890000388']
 ['-2' '6.127' '6.2693877551' '0.14238775510000057']
 ['0' '6.27' '6.2693877551' '0.0006122448999992258']
 ['0' '6.558' '6.55963718821' '0.00163718821000014']
 ['-2' '7.007' '7.15174603175' '0.14474603175000045']
 ['0' '7.148' '7.15174603175' '0.0037460317500004336']
 ['0' '7.437' '7.44199546485' '0.004995464849999465']
 ['-2' '7.89' '8.03410430839' '0.1441043083900011']
 ['0' '8.035' '8.03410430839' '0.0008956916099993606']
 ['0' '8.324' '8.3243537415' '0.0003537414999996713']
 ['-2' '8.781' '8.92807256236' '0.14707256236']
 ['0' '8.919' '8.92807256236' '0.009072562360000092']
 ['0' '9.209' '9.20671201814' '0.002287981860000343']
 ['0' '9.658' '9.65950113379' '0.0015011337900006083']
 ['0' '9.8' '9.810430839' '0.010430838999999636']
 ['0' '10.093' '10.1006802721' '0.007680272099999996']]
