# Track Results
There are 53 result entries compared to 52 annotations in track "073_phrase_shuffle-blues_complex_medium_sticks".
Positives:	42
False positives:	2

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.662' '0.661768707483' '0.00023129251700004794']
 ['0' '1.049' '1.04489795918' '0.004102040819999875']
 ['0' '1.609' '1.61378684807' '0.0047868480699999605']
 ['0' '1.813' '1.81115646259' '0.0018435374099998736']
 ['-1' '2.158' '2.17106575964' '0.013065759639999897']
 ['2' '2.696' '2.17106575964' '0.5249342403600004']
 ['0' '2.696' '2.69351473923' '0.0024852607700003304']
 ['0' '2.879' '2.87927437642' '0.0002743764200001664']
 ['0' '3.202' '3.2043537415' '0.002353741499999895']
 ['0' '3.737' '3.73841269841' '0.001412698409999802']
 ['0' '3.921' '3.9241723356' '0.0031723355999999647']
 ['0' '4.261' '4.27247165533' '0.011471655330000274']
 ['0' '4.778' '4.7833106576' '0.005310657600000823']
 ['0' '4.94' '4.94585034014' '0.00585034013999941']
 ['0' '5.261' '5.25931972789' '0.0016802721099997697']
 ['-2' '5.772' '5.95591836735' '0.18391836734999956']
 ['0' '5.958' '5.95591836735' '0.0020816326500003868']
 ['0' '6.293' '6.29260770975' '0.0003922902499997605']
 ['-2' '6.793' '6.96598639456' '0.17298639455999965']
 ['0' '6.967' '6.96598639456' '0.0010136054399998429']
 ['0' '7.306' '7.30267573696' '0.003324263039999664']
 ['0' '7.798' '7.8019047619' '0.003904761900000331']
 ['0' '7.971' '7.97605442177' '0.005054421769999706']
 ['0' '9.024' '9.02095238095' '0.003047619049999284']
 ['0' '9.351' '9.34603174603' '0.004968253970000447']
 ['-2' '9.87' '10.0542403628' '0.18424036280000067']
 ['0' '10.049' '10.0542403628' '0.005240362800000398']
 ['0' '10.384' '10.3909297052' '0.006929705199999248']
 ['-2' '10.907' '11.0759183673' '0.16891836729999987']
 ['0' '11.077' '11.0759183673' '0.001081632700000057']
 ['0' '11.414' '11.4126077098' '0.0013922902000000903']
 ['-2' '11.938' '12.1092063492' '0.17120634920000022']
 ['0' '12.113' '12.1092063492' '0.0037936507999987157']
 ['0' '12.446' '12.4458956916' '0.00010430839999919783']
 ['0' '12.95' '12.9567346939' '0.006734693900000366']
 ['0' '13.127' '13.1308843537' '0.003884353700000176']
 ['0' '13.449' '13.4559637188' '0.006963718799999796']
 ['-2' '13.978' '14.1525623583' '0.1745623583000011']
 ['0' '14.148' '14.1525623583' '0.004562358300001179']
 ['0' '14.508' '14.5124716553' '0.004471655300001487']
 ['-2' '15.017' '15.1858503401' '0.16885034010000055']
 ['0' '15.19' '15.1858503401' '0.004149659899999492']
 ['0' '15.542' '15.5457596372' '0.0037596371999999434']
 ['-2' '16.045' '16.219138322' '0.17413832199999746']
 ['0' '16.219' '16.219138322' '0.00013832199999797012']
 ['0' '16.546' '16.5442176871' '0.0017823128999978621']
 ['0' '17.236' '17.2408163265' '0.0048163264999985245']
 ['0' '17.593' '17.6007256236' '0.007725623599998954']
 ['-2' '18.149' '18.332154195' '0.1831541950000002']
 ['0' '18.328' '18.332154195' '0.0041541950000016925']
 ['0' '18.683' '18.6920634921' '0.009063492100001014']
 ['0' '19.203' '19.2029024943' '9.750569999766867e-05']
 ['0' '19.378' '19.3770521542' '0.0009478457999989587']]
