# Track Results
There are 88 result entries compared to 84 annotations in track "074_phrase_shuffle-blues_complex_fast_sticks".
Positives:	67
False positives:	8

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.262' '0.267029478458' '0.005029478458000003']
 ['0' '0.502' '0.499229024943' '0.0027709750570000247']
 ['-2' '0.851' '0.963628117914' '0.11262811791400007']
 ['0' '0.954' '0.963628117914' '0.00962811791400009']
 ['0' '1.199' '1.1958276644' '0.0031723355999999647']
 ['-2' '1.568' '1.69505668934' '0.12705668934000003']
 ['0' '1.689' '1.69505668934' '0.006056689340000032']
 ['0' '1.93' '1.92725623583' '0.002743764169999885']
 ['-2' '2.304' '2.42648526077' '0.12248526076999999']
 ['0' '2.418' '2.42648526077' '0.00848526076999967']
 ['0' '2.673' '2.6819047619' '0.00890476189999978']
 ['-2' '3.046' '3.16952380952' '0.12352380951999997']
 ['-1' '3.157' '3.16952380952' '0.012523809519999762']
 ['2' '3.412' '3.16952380952' '0.24247619048000013']
 ['0' '3.412' '3.41333333333' '0.001333333330000297']
 ['0' '3.792' '3.79646258503' '0.004462585030000188']
 ['0' '3.898' '3.90095238095' '0.0029523809500000553']
 ['0' '4.147' '4.15637188209' '0.00937188208999995']
 ['-2' '4.527' '4.65560090703' '0.12860090703000004']
 ['-1' '4.639' '4.65560090703' '0.016600907029999945']
 ['2' '4.889' '4.65560090703' '0.23339909297000005']
 ['0' '4.889' '4.88780045351' '0.001199546490000536']
 ['0' '5.271' '5.27092970522' '7.02947799995357e-05']
 ['0' '5.38' '5.38702947846' '0.007029478459999794']
 ['0' '5.626' '5.63083900227' '0.0048390022699997814']
 ['-2' '5.994' '6.10684807256' '0.11284807256000029']
 ['0' '6.099' '6.10684807256' '0.007848072559999864']
 ['0' '6.336' '6.33904761905' '0.003047619049999284']
 ['0' '6.72' '6.72217687075' '0.0021768707500005036']
 ['0' '6.832' '6.83827664399' '0.0062766439899997195']
 ['0' '7.083' '7.0820861678' '0.0009138322000001864']
 ['-2' '7.447' '7.56970521542' '0.1227052154199999']
 ['0' '7.571' '7.56970521542' '0.0012947845799997637']
 ['0' '7.817' '7.82512471655' '0.008124716550000244']
 ['-2' '8.203' '8.3243537415' '0.12135374150000011']
 ['0' '8.319' '8.3243537415' '0.0053537414999986765']
 ['0' '8.568' '8.56816326531' '0.00016326531000032674']
 ['0' '8.947' '8.95129251701' '0.004292517010000552']
 ['0' '9.074' '9.07900226757' '0.0050022675700009955']
 ['0' '9.322' '9.32281179138' '0.0008117913800003151']
 ['-2' '9.723' '9.84526077098' '0.12226077097999877']
 ['0' '9.84' '9.84526077098' '0.005260770979999663']
 ['0' '10.088' '10.0890702948' '0.0010702948000016477']
 ['0' '10.485' '10.4838095238' '0.0011904761999996794']
 ['0' '10.608' '10.6115192744' '0.0035192744000003273']
 ['0' '10.86' '10.8669387755' '0.006938775500000105']
 ['0' '11.235' '11.2384580499' '0.003458049900000759']
 ['0' '11.36' '11.3661678005' '0.006167800500000098']
 ['0' '11.617' '11.6215873016' '0.004587301599999094']
 ['-2' '11.985' '12.0975963719' '0.11259637190000049']
 ['0' '12.096' '12.0975963719' '0.0015963718999998378']
 ['0' '12.366' '12.3646258503' '0.0013741497000001601']
 ['0' '12.747' '12.747755102' '0.0007551019999993969']
 ['-1' '12.862' '12.8754648526' '0.013464852600000299']
