# Track Results
There are 40 result entries compared to 40 annotations in track "077_phrase_hard-rock_simple_fast_sticks".
Positives:	36
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.38' '0.383129251701' '0.00312925170099998']
 ['0' '1.185' '1.18421768707' '0.0007823129299999732']
 ['0' '1.671' '1.67183673469' '0.0008367346900000072']
 ['0' '2.322' '2.32199546485' '4.535149999984611e-06']
 ['0' '2.49' '2.49614512472' '0.006145124719999728']
 ['0' '2.977' '2.98376417234' '0.006764172340000041']
 ['0' '3.769' '3.77324263039' '0.004242630389999835']
 ['-2' '4.112' '4.260861678' '0.14886167800000027']
 ['0' '4.266' '4.260861678' '0.00513832199999964']
 ['0' '4.909' '4.91102040816' '0.0020204081599999313']
 ['0' '5.077' '5.0735600907' '0.0034399092999999326']
 ['0' '5.549' '5.549569161' '0.0005691609999995961']
 ['0' '6.357' '6.3622675737' '0.005267573699999417']
 ['0' '6.681' '6.68734693878' '0.006346938780000144']
 ['0' '6.857' '6.86149659864' '0.004496598639999405']
 ['0' '7.492' '7.48843537415' '0.0035646258500001693']
 ['0' '7.668' '7.67419501134' '0.006195011340000001']
 ['0' '8.137' '8.13859410431' '0.0015941043099996222']
 ['0' '8.79' '8.78875283447' '0.0012471655299997053']
 ['0' '8.958' '8.96290249433' '0.004902494330000451']
 ['0' '9.593' '9.58984126984' '0.0031587301599991235']
 ['0' '10.082' '10.0890702948' '0.007070294800000099']
 ['0' '10.253' '10.2516099773' '0.0013900227000007703']
 ['-2' '10.57' '10.7276190476' '0.157619047599999']
 ['0' '10.729' '10.7276190476' '0.001380952399999913']
 ['0' '11.358' '11.3545578231' '0.003442176900000149']
 ['0' '11.865' '11.8653968254' '0.000396825399999301']
 ['0' '12.023' '12.0279365079' '0.004936507900000109']
 ['0' '12.664' '12.6664852608' '0.002485260800000333']
 ['0' '12.831' '12.8290249433' '0.0019750566999992003']
 ['0' '13.15' '13.1541043084' '0.004104308399998757']
 ['0' '13.309' '13.3050340136' '0.003965986399999011']
 ['0' '13.941' '13.9435827664' '0.0025827663999997696']
 ['0' '14.582' '14.5821315193' '0.00013151929999999368']
 ['0' '15.212' '15.2090702948' '0.002929705199999688']
 ['-2' '15.715' '15.8824489796' '0.1674489795999996']
 ['0' '15.886' '15.8824489796' '0.0035510203999997714']
 ['0' '16.525' '16.5209977324' '0.004002267599997111']
 ['-2' '17.023' '17.1943764172' '0.17137641720000119']
 ['0' '17.188' '17.1943764172' '0.006376417200002038']]
