# Track Results
There are 29 result entries compared to 28 annotations in track "079_phrase_hard-rock_complex_medium_sticks".
Positives:	26
False positives:	1

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.402' '0.406349206349' '0.00434920634899999']
 ['0' '1.549' '1.54412698413' '0.004873015869999886']
 ['0' '1.833' '1.83437641723' '0.0013764172299999267']
 ['0' '2.624' '2.62385487528' '0.00014512471999994503']
 ['0' '3.736' '3.73841269841' '0.0024126984099996918']
 ['0' '4.013' '4.0170521542' '0.0040521542000000466']
 ['0' '4.833' '4.82975056689' '0.003249433110000588']
 ['0' '5.947' '5.94430839002' '0.002691609980000287']
 ['0' '7.445' '7.44199546485' '0.0030045351500005424']
 ['2' '7.989' '7.58131519274' '0.4076848072599999']
 ['0' '7.989' '7.98766439909' '0.0013356009100000676']
 ['0' '8.501' '8.49850340136' '0.002496598639998737']
 ['-2' '8.898' '9.21832199546' '0.3203219954600005']
 ['0' '9.216' '9.21832199546' '0.002321995460000892']
 ['0' '9.513' '9.50857142857' '0.004428571429999195']
 ['0' '10.352' '10.3560997732' '0.004099773200000101']
 ['0' '11.49' '11.493877551' '0.003877551000000423']
 ['0' '12.024' '12.0279365079' '0.003936507900000663']
 ['-2' '12.406' '12.5387755102' '0.1327755102000001']
 ['0' '12.533' '12.5387755102' '0.0057755102000012215']
 ['0' '12.929' '12.9219047619' '0.00709523809999979']
 ['0' '13.059' '13.0612244898' '0.00222448980000145']
 ['0' '13.452' '13.4559637188' '0.003963718799999683']
 ['0' '13.588' '13.5836734694' '0.004326530599998435']
 ['0' '14.653' '14.6517913832' '0.0012086167999996178']
 ['0' '14.94' '14.9420408163' '0.0020408163000009694']
 ['0' '15.769' '15.7663492063' '0.0026507937000008752']
 ['0' '16.883' '16.8809070295' '0.0020929704999979037']
 ['0' '18.018' '18.0186848073' '0.000684807300000756']]
