# Track Results
There are 32 result entries compared to 32 annotations in track "080_phrase_hard-rock_complex_fast_sticks".
Positives:	31
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.257' '0.255419501134' '0.0015804988659999797']
 ['0' '1.076' '1.07972789116' '0.00372789115999983']
 ['0' '1.281' '1.27709750567' '0.003902494329999895']
 ['0' '1.864' '1.86920634921' '0.00520634920999985']
 ['0' '2.687' '2.6819047619' '0.00509523810000001']
 ['0' '2.89' '2.89088435374' '0.0008843537400000656']
 ['0' '3.48' '3.48299319728' '0.002993197279999915']
 ['0' '4.303' '4.3073015873' '0.004301587299999632']
 ['0' '4.508' '4.50467120181' '0.003328798190000093']
 ['0' '5.13' '5.13160997732' '0.0016099773200002332']
 ['0' '6.466' '6.46675736961' '0.0007573696099996141']
 ['0' '6.718' '6.72217687075' '0.004176870750000283']
 ['0' '7.549' '7.54648526077' '0.002514739230000451']
 ['0' '7.766' '7.76707482993' '0.0010748299300002984']
 ['0' '8.365' '8.35918367347' '0.005816326530000637']
 ['0' '9.192' '9.19510204082' '0.003102040819999985']
 ['0' '9.391' '9.39247165533' '0.0014716553300004875']
 ['0' '10.007' '10.0078004535' '0.0008004535000001312']
 ['0' '10.84' '10.8437188209' '0.003718820899999642']
 ['0' '11.665' '11.6680272109' '0.0030272109000009095']
 ['0' '12.469' '12.4691156463' '0.00011564630000115983']
 ['0' '12.664' '12.6664852608' '0.002485260800000333']
 ['0' '13.257' '13.2585941043' '0.0015941043000005095']
 ['0' '14.07' '14.071292517' '0.001292516999999549']
 ['0' '14.274' '14.2686621315' '0.005337868499999843']
 ['-2' '14.613' '14.8723809524' '0.2593809524000008']
 ['0' '14.868' '14.8723809524' '0.004380952400000027']
 ['0' '15.699' '15.6966893424' '0.0023106576000007095']
 ['0' '15.906' '15.9056689342' '0.00033106580000108465']
 ['0' '16.517' '16.5209977324' '0.003997732400002008']
 ['0' '17.331' '17.3336961451' '0.002696145099999825']
 ['0' '18.165' '18.1696145125' '0.004614512500001666']]
