# Track Results
There are 22 result entries compared to 22 annotations in track "090_phrase_waltz_complex_slow_brushes".
Positives:	11
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.384' '0.383129251701' '0.0008707482990000237']
 ['-2' '2.044' '7.5116553288' '5.467655328799999']
 ['-2' '2.22' '7.5116553288' '5.291655328799999']
 ['-2' '3.825' '7.5116553288' '3.6866553287999997']
 ['-2' '4.009' '7.5116553288' '3.5026553287999995']
 ['0' '7.513' '7.5116553288' '0.001344671200000036']
 ['0' '9.25' '9.25315192744' '0.003151927439999369']
 ['-2' '10.121' '10.8901587302' '0.7691587301999991']
 ['-2' '10.687' '10.8901587302' '0.2031587302000002']
 ['0' '10.891' '10.8901587302' '0.0008412698000004326']
 ['0' '11.8' '11.8073469388' '0.007346938799999592']
 ['-2' '12.415' '12.6084353741' '0.19343537410000167']
 ['0' '12.6' '12.6084353741' '0.00843537410000117']
 ['-2' '14.123' '14.3034920635' '0.1804920635000009']
 ['0' '14.298' '14.3034920635' '0.005492063500000199']
 ['-2' '15.841' '16.0217687075' '0.18076870750000218']
 ['0' '16.018' '16.0217687075' '0.003768707500000801']
 ['0' '17.715' '17.7168253968' '0.0018253968000010445']
 ['-2' '19.227' '19.4118820862' '0.18488208619999824']
 ['0' '19.411' '19.4118820862' '0.0008820861999971896']
 ['-2' '20.9' '21.0604988662' '0.1604988662000011']
 ['0' '21.061' '21.0604988662' '0.0005011338000002752']]
