# Track Results
There are 38 result entries compared to 38 annotations in track "091_phrase_waltz_complex_medium_brushes".
Positives:	26
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.225' '0.232199546485' '0.007199546484999986']
 ['-2' '1.49' '5.23609977324' '3.74609977324']
 ['-2' '1.64' '5.23609977324' '3.5960997732400006']
 ['-2' '2.882' '5.23609977324' '2.35409977324']
 ['-2' '3.021' '5.23609977324' '2.2150997732400004']
 ['0' '5.233' '5.23609977324' '0.0030997732400006583']
 ['-2' '5.719' '5.8862585034' '0.16725850339999937']
 ['0' '5.881' '5.8862585034' '0.005258503399999448']
 ['0' '6.65' '6.6525170068' '0.002517006799999777']
 ['-2' '7.169' '7.30267573696' '0.1336757369600008']
 ['0' '7.302' '7.30267573696' '0.0006757369600007834']
 ['0' '8.057' '8.05732426304' '0.00032426303999955053']
 ['-2' '8.574' '8.73070294785' '0.15670294785000038']
 ['0' '8.727' '8.73070294785' '0.0037029478499999158']
 ['0' '9.978' '9.98458049887' '0.006580498870000895']
 ['0' '11.733' '11.7376870748' '0.004687074799999635']
 ['-2' '13.051' '13.212154195' '0.16115419499999994']
 ['0' '13.202' '13.212154195' '0.010154195000000144']
 ['0' '13.997' '14.0016326531' '0.004632653099999828']
 ['0' '14.609' '14.6053514739' '0.0036485260999992164']
 ['0' '15.382' '15.3832199546' '0.0012199545999997952']
 ['0' '15.857' '15.8592290249' '0.0022290249000000983']
 ['-2' '17.377' '17.5194557823' '0.14245578230000078']
 ['0' '17.518' '17.5194557823' '0.0014557822999989867']
 ['0' '18.293' '18.297324263' '0.004324263000000883']
 ['-2' '18.763' '18.9242630385' '0.16126303849999957']
 ['0' '18.917' '18.9242630385' '0.007263038499999652']
 ['0' '19.247' '19.2493424036' '0.0023424036000001536']
 ['-2' '20.173' '20.3290702948' '0.15607029480000278']
 ['0' '20.332' '20.3290702948' '0.002929705199999688']
 ['0' '21.065' '21.0721088435' '0.0071088434999992955']
 ['0' '21.999' '22.0009070295' '0.0019070294999998794']
 ['0' '22.479' '22.4769160998' '0.0020839001999988227']
 ['0' '22.973' '22.9761451247' '0.0031451247000013893']
 ['0' '23.112' '23.1154648526' '0.003464852600000512']
 ['-2' '24.361' '24.5318820862' '0.1708820861999989']
 ['0' '24.524' '24.5318820862' '0.007882086199998639']
 ['0' '25.269' '25.2749206349' '0.005920634900000721']]
