# Track Results
There are 25 result entries compared to 24 annotations in track "096_phrase_funk_complex_slow_sticks".
Positives:	21
False positives:	1

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.5' '0.499229024943' '0.0007709750570000229']
 ['0' '1.982' '1.98530612245' '0.0033061224499999486']
 ['0' '2.59' '2.58902494331' '0.0009750566899997537']
 ['0' '2.922' '2.92571428571' '0.003714285709999654']
 ['0' '3.399' '3.40172335601' '0.0027233560100001775']
 ['0' '4.007' '4.00544217687' '0.001557823129999747']
 ['-2' '5.01' '5.14321995465' '0.13321995465000036']
 ['0' '5.141' '5.14321995465' '0.0022199546500001333']
 ['0' '5.825' '5.82820861678' '0.003208616779999396']
 ['0' '6.165' '6.16489795918' '0.00010204081999987125']
 ['-2' '7.483' '7.60453514739' '0.12153514739000038']
 ['0' '7.606' '7.60453514739' '0.001464852609999845']
 ['0' '7.943' '7.9412244898' '0.0017755101999998857']
 ['0' '8.983' '8.98612244898' '0.0031224489799992483']
 ['0' '9.557' '9.56662131519' '0.009621315189999535']
 ['0' '10.717' '10.7160090703' '0.0009909297000003647']
 ['2' '11.741' '11.4009977324' '0.3400022675999992']
 ['0' '11.741' '11.7376870748' '0.0033129251999994835']
 ['0' '13.175' '13.177324263' '0.0023242629999984388']
 ['0' '13.529' '13.5372335601' '0.008233560100000759']
 ['0' '14.604' '14.6053514739' '0.0013514739000015652']
 ['0' '15.2' '15.1974603175' '0.00253968250000014']
 ['-2' '16.209' '16.3468480726' '0.13784807260000065']
 ['0' '16.349' '16.3468480726' '0.00215192739999992']
 ['0' '17.397' '17.4033560091' '0.00635600910000278']]
