# Track Results
There are 47 result entries compared to 46 annotations in track "097_phrase_funk_complex_medium_sticks".
Positives:	42
False positives:	2

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.55' '0.557278911565' '0.007278911564999935']
 ['0' '1.654' '1.66022675737' '0.006226757370000113']
 ['0' '2.096' '2.10140589569' '0.005405895690000051']
 ['0' '2.491' '2.49614512472' '0.0051451247199998384']
 ['0' '2.771' '2.7747845805' '0.0037845805000000787']
 ['0' '3.928' '3.9241723356' '0.0038276644000001525']
 ['0' '4.384' '4.38857142857' '0.0045714285699993695']
 ['0' '4.672' '4.67882086168' '0.006820861680000512']
 ['0' '5.069' '5.0735600907' '0.0045600907000000745']
 ['0' '5.531' '5.53795918367' '0.006959183670000257']
 ['0' '5.899' '5.89786848073' '0.0011315192700003252']
 ['0' '6.198' '6.19972789116' '0.0017278911599998281']
 ['0' '6.647' '6.6525170068' '0.005517006799999891']
 ['-2' '7.036' '7.34911564626' '0.31311564626']
 ['0' '7.348' '7.34911564626' '0.0011156462599997141']
 ['0' '7.805' '7.8019047619' '0.0030952380999993423']
 ['0' '8.199' '8.19664399093' '0.002356009070000553']
 ['0' '8.477' '8.47528344671' '0.0017165532900005331']
 ['0' '8.927' '8.92807256236' '0.0010725623600009726']
 ['-2' '9.314' '9.62467120181' '0.3106712018099991']
 ['0' '9.619' '9.62467120181' '0.00567120180999936']
 ['0' '10.06' '10.0658503401' '0.005850340100000295']
 ['0' '10.478' '10.4838095238' '0.005809523799999994']
 ['0' '10.78' '10.7740589569' '0.0059410430999999875']
 ['0' '11.247' '11.2500680272' '0.0030680271999994346']
 ['0' '11.646' '11.6448072562' '0.001192743800000784']
 ['0' '11.935' '11.9350566893' '5.66892999991353e-05']
 ['-1' '12.411' '12.422675737' '0.011675737000000908']
 ['2' '12.689' '12.422675737' '0.26632426299999956']
 ['0' '12.689' '12.6897052154' '0.0007052154000000144']
 ['0' '13.08' '13.0844444444' '0.004444444400000691']
 ['0' '13.559' '13.5604535147' '0.0014535147000014348']
 ['0' '13.962' '13.9668027211' '0.004802721100000795']
 ['0' '14.238' '14.2338321995' '0.00416780049999943']
 ['-2' '15.585' '15.6966893424' '0.11168934239999828']
 ['0' '15.7' '15.6966893424' '0.0033106576000001553']
 ['0' '16.595' '16.5906575964' '0.004342403599999045']
 ['0' '17.198' '17.1943764172' '0.003623582799999525']
 ['0' '17.781' '17.7864852608' '0.005485260800000447']
 ['0' '18.079' '18.0767346939' '0.0022653060999999752']
 ['0' '18.977' '18.9823129252' '0.005312925199998375']
 ['0' '19.462' '19.4583219955' '0.003678004499999332']
 ['0' '19.749' '19.7485714286' '0.0004285714000005214']
 ['0' '20.158' '20.1549206349' '0.0030793650999996203']
 ['0' '20.635' '20.6425396825' '0.007539682499999145']
 ['0' '21.044' '21.0488888889' '0.004888888899998278']
 ['0' '21.343' '21.339138322' '0.003861677999999813']]
