# Track Results
There are 52 result entries compared to 52 annotations in track "098_phrase_funk_complex_fast_sticks".
Positives:	43
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.109' '0.116099773243' '0.007099773242999999']
 ['0' '1.238' '1.2422675737' '0.004267573699999971']
 ['-2' '1.641' '1.93886621315' '0.29786621315000006']
 ['0' '1.935' '1.93886621315' '0.0038662131500000196']
 ['0' '2.287' '2.28716553288' '0.00016553288000009658']
 ['0' '2.608' '2.61224489796' '0.004244897960000049']
 ['0' '2.843' '2.84444444444' '0.0014444444400001366']
 ['-2' '3.186' '3.98222222222' '0.7962222222199999']
 ['0' '3.984' '3.98222222222' '0.0017777777800001004']
 ['0' '4.341' '4.34213151927' '0.001131519269999437']
 ['0' '4.662' '4.66721088435' '0.005210884350000278']
 ['0' '5.014' '5.01551020408' '0.0015102040799996885']
 ['0' '5.803' '5.80498866213' '0.0019886621300004848']
 ['-2' '6.191' '6.48997732426' '0.29897732426']
 ['0' '6.487' '6.48997732426' '0.0029773242599997474']
 ['0' '6.827' '6.82666666667' '0.0003333333299995189']
 ['-2' '7.249' '7.36072562358' '0.11172562357999993']
 ['0' '7.354' '7.36072562358' '0.006725623579999507']
 ['0' '8.497' '8.49850340136' '0.0015034013600008223']
 ['-2' '8.895' '9.18349206349' '0.28849206349000056']
 ['0' '9.178' '9.18349206349' '0.00549206348999931']
 ['0' '9.541' '9.54340136054' '0.0024013605400003968']
 ['0' '10.321' '10.3212698413' '0.00026984129999974016']
 ['-2' '10.713' '11.0062585034' '0.2932585034000006']
 ['0' '11.011' '11.0062585034' '0.004741496599999451']
 ['0' '11.331' '11.3313378685' '0.00033786850000083746']
 ['0' '11.554' '11.5519274376' '0.0020725624000004217']
 ['0' '11.889' '11.88861678' '0.0003832199999997954']
 ['0' '12.246' '12.2485260771' '0.002526077099998858']
 ['0' '13.015' '13.0147845805' '0.00021541949999992482']
 ['0' '13.246' '13.246984127' '0.0009841269999988356']
 ['0' '13.672' '13.676553288' '0.004553287999998545']
 ['0' '14.117' '14.1177324263' '0.0007324262999990339']
 ['-2' '14.414' '14.5240816327' '0.11008163270000004']
 ['0' '14.522' '14.5240816327' '0.0020816326999995027']
 ['0' '15.642' '15.6502494331' '0.008249433100001369']
 ['-2' '16.211' '16.3236281179' '0.11262811790000171']
 ['0' '16.32' '16.3236281179' '0.0036281178999999497']
 ['0' '16.669' '16.6719274376' '0.00292743760000036']
 ['0' '17.443' '17.438185941' '0.004814059000000981']
 ['-2' '18.013' '18.1115646259' '0.09856462589999992']
 ['0' '18.11' '18.1115646259' '0.00156462590000217']
 ['0' '18.46' '18.4598639456' '0.0001360544000021946']
 ['0' '18.793' '18.796553288' '0.0035532879999990996']
 ['0' '19.343' '19.3422222222' '0.0007777777999997681']
 ['0' '19.681' '19.6789115646' '0.002088435400001032']
 ['0' '19.901' '19.8995011338' '0.0014988661999986164']
 ['0' '20.236' '20.2361904762' '0.00019047620000023358']
 ['0' '20.561' '20.5612698413' '0.00026984129999974016']
 ['0' '21.111' '21.1185487528' '0.007548752799998226']
 ['0' '21.43' '21.4320181406' '0.0020181406000006064']
 ['0' '21.653' '21.6526077098' '0.0003922901999970918']]
