# Track Results
There are 26 result entries compared to 25 annotations in track "101_phrase_country_simple_fast_brushes".
Positives:	24
False positives:	2

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.175' '0.174149659864' '0.000850340135999994']
 ['0' '0.609' '0.615328798186' '0.006328798185999962']
 ['0' '1.03' '1.03328798186' '0.003287981860000011']
 ['0' '1.454' '1.46285714286' '0.008857142859999945']
 ['0' '1.882' '1.89242630385' '0.010426303850000096']
 ['0' '2.312' '2.31038548753' '0.0016145124699997737']
 ['0' '2.744' '2.75156462585' '0.007564625849999729']
 ['0' '3.169' '3.16952380952' '0.0005238095199997517']
 ['-1' '3.587' '3.59909297052' '0.012092970519999913']
 ['2' '4.023' '3.59909297052' '0.4239070294799996']
 ['0' '4.023' '4.02866213152' '0.00566213152000028']
 ['0' '4.453' '4.45823129252' '0.005231292519999542']
 ['0' '4.884' '4.88780045351' '0.0038004535099993575']
 ['0' '5.31' '5.31736961451' '0.0073696145099999555']
 ['0' '5.738' '5.73532879819' '0.0026712018100001345']
 ['0' '6.168' '6.17650793651' '0.008507936510000036']
 ['0' '6.598' '6.60607709751' '0.008077097510000186']
 ['0' '7.021' '7.02403628118' '0.003036281179999989']
 ['0' '7.442' '7.44199546485' '4.5351500004287e-06']
 ['0' '7.879' '7.88317460317' '0.0041746031700000685']
 ['0' '8.303' '8.30113378685' '0.001866213150000462']
 ['0' '8.722' '8.73070294785' '0.008702947850000697']
 ['0' '9.148' '9.14866213152' '0.0006621315200003863']
 ['0' '9.571' '9.57823129252' '0.00723129252000021']
 ['0' '9.995' '9.99619047619' '0.0011904761900005667']
 ['0' '10.417' '10.4141496599' '0.0028503401000001816']]
