# Track Results
There are 17 result entries compared to 17 annotations in track "102_phrase_country_simple_very-fast_brushes".
Positives:	17
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.308' '0.313469387755' '0.005469387754999999']
 ['0' '0.674' '0.684988662132' '0.010988662132000004']
 ['0' '1.046' '1.04489795918' '0.0011020408199999832']
 ['0' '1.406' '1.40480725624' '0.0011927437599998925']
 ['0' '1.777' '1.77632653061' '0.0006734693899999034']
 ['0' '2.141' '2.14784580499' '0.006845804990000204']
 ['0' '2.509' '2.50775510204' '0.0012448979599999355']
 ['0' '2.875' '2.87927437642' '0.00427437642000017']
 ['0' '3.25' '3.25079365079' '0.0007936507899999334']
 ['0' '3.616' '3.62231292517' '0.006312925170000039']
 ['0' '3.99' '3.99383219955' '0.003832199549999693']
 ['0' '4.349' '4.3537414966' '0.004741496599999451']
 ['0' '4.712' '4.71365079365' '0.0016507936500005371']
 ['0' '5.075' '5.0735600907' '0.0014399093000001528']
 ['0' '5.445' '5.44507936508' '7.936507999950493e-05']
 ['0' '5.813' '5.81659863946' '0.0035986394600007188']
 ['0' '6.195' '6.19972789116' '0.004727891159999942']]
