# Track Results
There are 29 result entries compared to 29 annotations in track "103_phrase_country_complex_slow_brushes".
Positives:	29
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.193' '0.197369614512' '0.004369614511999992']
 ['0' '0.942' '0.940408163265' '0.001591836734999963']
 ['0' '1.651' '1.64861678005' '0.002383219950000015']
 ['0' '2.359' '2.35682539683' '0.0021746031699998447']
 ['0' '3.024' '3.03020408163' '0.006204081629999969']
 ['0' '3.747' '3.75002267574' '0.003022675740000036']
 ['0' '4.425' '4.42340136054' '0.0015986394600000509']
 ['0' '5.119' '5.12' '0.001000000000000334']
 ['0' '5.79' '5.79337868481' '0.0033786848100003652']
 ['0' '6.485' '6.48997732426' '0.004977324259999527']
 ['0' '7.18' '7.18657596372' '0.006575963720000466']
 ['0' '7.87' '7.87156462585' '0.0015646258499995014']
 ['0' '8.563' '8.56816326531' '0.005163265309999332']
 ['0' '9.247' '9.25315192744' '0.006151927439999483']
 ['0' '9.93' '9.93814058957' '0.008140589570000856']
 ['0' '10.618' '10.6231292517' '0.005129251699999671']
 ['0' '11.3' '11.2965079365' '0.003492063500001308']
 ['0' '12.019' '12.0279365079' '0.008936507899999668']
 ['0' '12.712' '12.7129251701' '0.000925170100000372']
 ['0' '13.395' '13.3979138322' '0.0029138322000008543']
 ['0' '13.743' '13.7462131519' '0.003213151899998934']
 ['0' '14.083' '14.0829024943' '9.750569999944503e-05']
 ['0' '14.788' '14.7911111111' '0.0031111110999990643']
 ['0' '15.474' '15.4760997732' '0.002099773199999433']
 ['0' '16.151' '16.149478458' '0.0015215419999989876']
 ['0' '16.49' '16.4977777778' '0.007777777800001218']
 ['0' '16.838' '16.8344671202' '0.0035328798000016093']
 ['0' '17.531' '17.5310657596' '6.575960000176906e-05']
 ['0' '18.225' '18.2276643991' '0.0026643990999986045']]
