# Track Results
There are 21 result entries compared to 21 annotations in track "104_phrase_country_complex_medium_brushes".
Positives:	21
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.1' '0.104489795918' '0.004489795918']
 ['0' '0.636' '0.638548752834' '0.002548752834000023']
 ['0' '1.175' '1.17260770975' '0.0023922902499999843']
 ['0' '1.706' '1.70666666667' '0.0006666666700001489']
 ['0' '2.238' '2.24072562358' '0.0027256235799999473']
 ['0' '2.764' '2.76317460317' '0.0008253968299998249']
 ['0' '3.297' '3.29723356009' '0.00023356008999986244']
 ['0' '3.83' '3.83129251701' '0.0012925170099999939']
 ['0' '4.361' '4.36535147392' '0.004351473919999904']
 ['0' '4.903' '4.91102040816' '0.008020408160000159']
 ['0' '5.445' '5.44507936508' '7.936507999950493e-05']
 ['0' '5.976' '5.979138322' '0.00313832199999986']
 ['0' '6.521' '6.52480725624' '0.003807256240000001']
 ['0' '7.05' '7.04725623583' '0.002743764169999885']
 ['0' '7.581' '7.58131519274' '0.0003151927399995813']
 ['0' '8.109' '8.11537414966' '0.006374149659999162']
 ['0' '8.644' '8.64943310658' '0.005433106579999958']
 ['0' '9.193' '9.19510204082' '0.002102040820000539']
 ['0' '9.741' '9.74077097506' '0.00022902493999943374']
 ['0' '10.279' '10.2864399093' '0.00743990930000038']
 ['0' '10.816' '10.8204988662' '0.00449886619999873']]
