# Track Results
There are 29 result entries compared to 29 annotations in track "105_phrase_country_complex_fast_brushes".
Positives:	29
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.196' '0.197369614512' '0.0013696145119999892']
 ['0' '0.62' '0.615328798186' '0.004671201814000048']
 ['0' '1.01' '1.01006802721' '6.80272099999879e-05']
 ['0' '1.42' '1.41641723356' '0.003582766439999885']
 ['0' '1.82' '1.82276643991' '0.002766439910000029']
 ['0' '2.22' '2.21750566893' '0.0024943310700002996']
 ['0' '2.618' '2.62385487528' '0.005854875280000282']
 ['0' '3.024' '3.01859410431' '0.005405895690000051']
 ['0' '3.412' '3.41333333333' '0.001333333330000297']
 ['0' '3.82' '3.81968253968' '0.00031746031999979607']
 ['0' '4.229' '4.22603174603' '0.002968253969999779']
 ['0' '4.632' '4.63238095238' '0.0003809523800004655']
 ['0' '5.038' '5.03873015873' '0.0007301587299997081']
 ['0' '5.448' '5.44507936508' '0.0029206349200006088']
 ['0' '5.873' '5.87464852608' '0.001648526079999435']
 ['0' '6.277' '6.28099773243' '0.003997732430000234']
 ['0' '6.682' '6.68734693878' '0.00534693877999981']
 ['0' '7.109' '7.10530612245' '0.0036938775499999466']
 ['0' '7.51' '7.5116553288' '0.0016553288000000776']
 ['0' '7.919' '7.91800453515' '0.0009954648499999053']
 ['0' '8.318' '8.31274376417' '0.005256235830000122']
 ['0' '8.724' '8.71909297052' '0.004907029479999991']
 ['0' '9.134' '9.1370521542' '0.0030521541999988244']
 ['0' '9.542' '9.54340136054' '0.001401360540000951']
 ['0' '9.95' '9.94975056689' '0.0002494331099995861']
 ['0' '10.36' '10.3560997732' '0.003900226799999018']
 ['0' '10.768' '10.7624489796' '0.005551020400000439']
 ['0' '11.178' '11.1804081633' '0.002408163299998378']
 ['0' '11.576' '11.5751473923' '0.0008526077000006183']]
