# Track Results
There are 124 result entries compared to 121 annotations in track "117_minus-one_metal_sticks".
Positives:	102
False positives:	5

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.109' '0.104489795918' '0.004510204081999994']
 ['-2' '1.257' '1.39319727891' '0.1361972789100001']
 ['0' '1.386' '1.39319727891' '0.0071972789100001044']
 ['0' '1.714' '1.71827664399' '0.00427664398999994']
 ['0' '2.676' '2.67029478458' '0.0057052154200003535']
 ['0' '5.321' '5.31736961451' '0.0036303854900001653']
 ['0' '5.672' '5.67727891156' '0.005278911560000488']
 ['0' '6.681' '6.68734693878' '0.006346938780000144']
 ['0' '7.03' '7.02403628118' '0.005963718820000352']
 ['0' '7.716' '7.72063492063' '0.004634920630000039']
 ['0' '8.06' '8.05732426304' '0.002675736960000563']
 ['0' '8.4' '8.39401360544' '0.0059863945600007185']
 ['-2' '9.242' '9.41569160998' '0.17369160997999877']
 ['0' '9.418' '9.41569160998' '0.0023083900199996066']
 ['0' '9.762' '9.76399092971' '0.001990929709998923']
 ['0' '10.423' '10.4257596372' '0.0027596372000004976']
 ['0' '10.74' '10.7392290249' '0.0007709751000000153']
 ['0' '11.058' '11.0526984127' '0.005301587299999966']
 ['-2' '11.884' '12.0511564626' '0.1671564625999995']
 ['0' '12.049' '12.0511564626' '0.002156462600000353']
 ['0' '12.385' '12.387845805' '0.002845804999999757']
 ['0' '12.552' '12.5503854875' '0.0016145124999997762']
 ['0' '13.383' '13.3863038549' '0.0033038549000004025']
 ['0' '13.713' '13.71138322' '0.0016167799999990962']
 ['-2' '14.56' '14.7214512472' '0.1614512471999987']
 ['0' '14.717' '14.7214512472' '0.004451247199998676']
 ['0' '15.081' '15.0813605442' '0.00036054420000120047']
 ['0' '15.252' '15.2555102041' '0.00351020409999947']
 ['0' '15.571' '15.5689795918' '0.0020204081999999346']
 ['0' '16.052' '16.0565986395' '0.00459863949999928']
 ['0' '16.389' '16.3932879819' '0.004287981899999238']
 ['0' '16.571' '16.5674376417' '0.0035623583000017334']
 ['0' '17.215' '17.2175963719' '0.00259637190000106']
 ['0' '17.723' '17.7168253968' '0.006174603199998074']
