# Track Results
There are 131 result entries compared to 131 annotations in track "124_minus-one_bossa_sticks".
Positives:	112
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.04' '0.0464399092971' '0.006439909297099998']
 ['0' '0.795' '0.801088435374' '0.006088435373999945']
 ['0' '1.057' '1.05650793651' '0.000492063489999861']
 ['0' '1.814' '1.82276643991' '0.008766439910000035']
 ['0' '2.048' '2.05496598639' '0.006965986390000012']
 ['0' '2.8' '2.80961451247' '0.009614512470000225']
 ['0' '3.044' '3.04181405896' '0.002185941040000028']
 ['0' '3.802' '3.80807256236' '0.006072562359999978']
 ['0' '4.049' '4.05188208617' '0.0028820861699996314']
 ['-2' '4.802' '5.06195011338' '0.2599501133800004']
 ['0' '5.06' '5.06195011338' '0.0019501133800003956']
 ['0' '5.827' '5.82820861678' '0.0012086167799996161']
 ['0' '6.074' '6.07201814059' '0.001981859409999842']
 ['0' '6.811' '6.81505668934' '0.004056689340000474']
 ['0' '7.055' '7.05886621315' '0.0038662131500002417']
 ['0' '8.062' '8.06893424036' '0.0069342403600014535']
 ['0' '8.817' '8.82358276644' '0.006582766439999332']
 ['0' '9.061' '9.06739229025' '0.006392290249999988']
 ['-2' '9.814' '10.0658503401' '0.25185034010000074']
 ['0' '10.063' '10.0658503401' '0.0028503401000001816']
 ['-2' '10.825' '11.0759183673' '0.2509183673000006']
 ['0' '11.073' '11.0759183673' '0.0029183672999995025']
 ['-2' '11.838' '12.0743764172' '0.2363764172000007']
 ['0' '12.075' '12.0743764172' '0.0006235827999994115']
 ['-2' '12.822' '13.0728344671' '0.2508344671000007']
 ['0' '13.071' '13.0728344671' '0.0018344671000001256']
 ['0' '13.827' '13.8274829932' '0.00048299320000033674']
 ['0' '14.079' '14.0829024943' '0.0039024943000001144']
 ['-2' '14.828' '15.0813605442' '0.2533605442000013']
 ['0' '15.075' '15.0813605442' '0.006360544200001428']
 ['-2' '15.813' '16.0798185941' '0.2668185941000001']
 ['0' '16.08' '16.0798185941' '0.00018140589999759982']
 ['-2' '16.825' '17.078276644' '0.2532766439999996']
 ['0' '17.072' '17.078276644' '0.00627664399999972']
 ['0' '17.808' '17.8097052154' '0.0017052154000012365']
 ['0' '18.057' '18.0651247166' '0.008124716600001136']
 ['0' '18.795' '18.796553288' '0.0015532879999966553']
 ['0' '19.044' '19.0519727891' '0.007972789099998323']
 ['-2' '19.801' '20.0620408163' '0.2610408163000031']
 ['0' '20.056' '20.0620408163' '0.006040816300000529']
 ['-2' '20.809' '21.0604988662' '0.2514988661999986']
 ['0' '21.054' '21.0604988662' '0.006498866200001174']
 ['0' '21.788' '21.7919274376' '0.003927437599998029']
 ['0' '22.054' '22.0589569161' '0.004956916100002928']
 ['-2' '22.803' '23.057414966' '0.2544149659999988']
 ['0' '23.051' '23.057414966' '0.006414966000001243']
 ['0' '23.779' '23.7888435374' '0.009843537399998326']
 ['0' '24.044' '24.0442630385' '0.0002630384999982027']
 ['-2' '24.789' '25.0427210884' '0.25372108839999896']
 ['0' '25.035' '25.0427210884' '0.007721088400000298']
 ['0' '25.774' '25.7741496599' '0.00014965989999993212']
 ['0' '26.022' '26.029569161' '0.007569161000002822']
 ['0' '26.76' '26.7609977324' '0.0009977323999983412']
 ['0' '27.009' '27.0164172336' '0.007417233599998241']
 ['0' '27.751' '27.7594557823' '0.008455782300000436']
 ['0' '28.016' '28.0148752834' '0.0011247165999996867']
 ['0' '28.767' '28.7695238095' '0.002523809500001306']
 ['0' '29.024' '29.0249433107' '0.0009433106999985341']
 ['-2' '29.805' '30.0698412698' '0.26484126980000156']
 ['0' '30.065' '30.0698412698' '0.004841269799999992']
 ['0' '30.807' '30.8128798186' '0.005879818600000419']
 ['0' '31.059' '31.0682993197' '0.00929931969999842']
 ['0' '31.799' '31.7997278912' '0.0007278912000003857']
 ['0' '32.047' '32.0551473923' '0.008147392300003276']
 ['0' '32.783' '32.7865759637' '0.003575963700001239']
 ['0' '33.041' '33.0419954649' '0.0009954649000007976']
 ['0' '33.803' '33.8082539683' '0.005253968300003464']
 ['0' '34.058' '34.0636734694' '0.005673469400001352']
 ['0' '34.797' '34.7951020408' '0.0018979591999936929']
 ['0' '35.05' '35.050521542' '0.0005215420000013182']
 ['0' '35.791' '35.7935600907' '0.002560090700001183']
 ['0' '36.055' '36.0605895692' '0.005589569199997868']
 ['0' '36.79' '36.7920181406' '0.0020181406000006064']
 ['0' '37.052' '37.059047619' '0.007047618999997951']
 ['0' '37.794' '37.8020861678' '0.008086167800001931']
 ['0' '38.046' '38.0458956916' '0.00010430839999742147']
 ['0' '38.784' '38.7889342404' '0.004934240400004342']
 ['0' '39.039' '39.0443537415' '0.005353741499995124']
 ['0' '39.76' '39.7641723356' '0.004172335600003407']
 ['0' '40.022' '40.0195918367' '0.002408163299996602']
 ['0' '40.742' '40.7510204082' '0.009020408200001384']
 ['0' '41.0' '41.0064399093' '0.006439909299999158']
 ['-2' '41.754' '42.0281179138' '0.27411791380000494']
 ['0' '42.029' '42.0281179138' '0.0008820862000007423']
 ['0' '42.781' '42.7827664399' '0.001766439900002581']
 ['0' '43.04' '43.038185941' '0.0018140589999973145']
 ['-2' '43.794' '44.0598639456' '0.26586394560000315']
 ['0' '44.059' '44.0598639456' '0.0008639456000025802']
 ['0' '44.809' '44.8145124717' '0.005512471700001242']
 ['0' '45.069' '45.0699319728' '0.0009319727999965721']
 ['0' '45.826' '45.8361904762' '0.010190476200001797']
 ['0' '46.078' '46.08' '0.001999999999995339']
 ['0' '46.806' '46.8114285714' '0.005428571400003079']
 ['0' '47.072' '47.0784580499' '0.00645804989999732']
 ['0' '47.798' '47.798276644' '0.00027664399999594025']
 ['0' '48.062' '48.0653061224' '0.0033061224000050515']
 ['0' '48.803' '48.8083446712' '0.0053446711999995955']
 ['0' '49.059' '49.0637641723' '0.004764172299999814']
 ['0' '49.797' '49.7951927438' '0.001807256199995777']
 ['0' '50.055' '50.0622222222' '0.007222222199999351']
 ['0' '50.779' '50.7820408163' '0.0030408162999933097']
 ['0' '51.034' '51.0374603175' '0.0034603175000000874']
 ['0' '51.77' '51.7688888889' '0.0011111111000019491']
 ['0' '52.037' '52.0359183673' '0.001081632700000057']
 ['0' '52.785' '52.7905668934' '0.0055668934000010495']
 ['0' '53.049' '53.0575963719' '0.008596371899997735']
 ['0' '53.792' '53.8006349206' '0.008634920599995155']
 ['0' '54.057' '54.0560544218' '0.0009455782000031832']
 ['0' '54.784' '54.7874829932' '0.003482993200002227']
 ['0' '55.055' '55.0545124717' '0.00048752829999898495']
 ['0' '55.789' '55.7975510204' '0.008551020399998777']
 ['0' '56.047' '56.0529705215' '0.005970521500003656']
 ['0' '56.764' '56.7727891156' '0.008789115599995512']
 ['0' '57.019' '57.0165986395' '0.0024013604999950644']
 ['0' '57.751' '57.7596371882' '0.008637188200005141']
 ['0' '58.009' '58.0150566893' '0.006056689300002915']
 ['0' '60.06' '60.0700226757' '0.01002267570000015']
 ['-2' '60.763' '61.0336507937' '0.2706507936999998']
 ['0' '61.025' '61.0336507937' '0.008650793699999326']
 ['-2' '61.778' '62.0437188209' '0.2657188208999983']
 ['0' '62.035' '62.0437188209' '0.008718820900000424']
 ['0' '62.771' '62.7751473923' '0.004147392299998387']
 ['0' '63.03' '63.0305668934' '0.0005668933999984915']
 ['-2' '63.771' '64.0406349206' '0.26963492059999794']
 ['0' '64.035' '64.0406349206' '0.005634920600002147']
 ['0' '64.791' '64.7952834467' '0.004283446700000582']
 ['0' '65.055' '65.0623129252' '0.007312925199997267']
 ['0' '65.787' '65.7937414966' '0.006741496600000119']
 ['0' '66.049' '66.0491609977' '0.00016099769999300406']
 ['-2' '66.787' '67.0476190476' '0.2606190475999881']
 ['0' '67.049' '67.0476190476' '0.0013809524000123474']]
