# Track Results
There are 60 result entries compared to 60 annotations in track "130_MIDI-minus-one_bigband_sticks".
Positives:	32
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.862' '0.87074829932' '0.008748299319999986']
 ['0' '4.651' '4.65560090703' '0.0046009070300003785']
 ['0' '5.593' '5.59600907029' '0.003009070290000082']
 ['0' '6.511' '6.51319727891' '0.002197278909999767']
 ['0' '7.455' '7.45360544218' '0.0013945578200003084']
 ['0' '8.877' '8.88163265306' '0.004632653059999825']
 ['0' '9.796' '9.79882086168' '0.002820861680000064']
 ['0' '10.74' '10.7392290249' '0.0007709751000000153']
 ['0' '11.673' '11.6796371882' '0.0066371881999991444']
 ['0' '12.583' '12.5852154195' '0.0022154195000005927']
 ['-2' '13.865' '14.0016326531' '0.1366326530999995']
 ['0' '13.995' '14.0016326531' '0.006632653100000496']
 ['0' '17.775' '17.7748752834' '0.00012471659999846452']
 ['0' '18.261' '18.2624943311' '0.0014943311000017445']
 ['-2' '18.743' '20.1317006803' '1.3887006803000013']
 ['-2' '19.197' '20.1317006803' '0.9347006803000006']
 ['-2' '19.657' '20.1317006803' '0.4747006802999998']
 ['0' '20.13' '20.1317006803' '0.001700680300000812']
 ['-2' '20.59' '21.0604988662' '0.4704988661999998']
 ['0' '21.055' '21.0604988662' '0.005498866199999952']
 ['-2' '21.499' '22.4536961451' '0.9546961451000016']
 ['-2' '21.98' '22.4536961451' '0.4736961450999999']
 ['0' '22.452' '22.4536961451' '0.0016961450999986027']
 ['0' '22.927' '22.9297052154' '0.002705215399998906']
 ['-2' '23.393' '24.346122449' '0.9531224489999985']
 ['-2' '23.864' '24.346122449' '0.48212244899999845']
 ['0' '24.345' '24.346122449' '0.0011224490000003584']
 ['-2' '24.799' '25.2749206349' '0.4759206348999996']
 ['0' '25.273' '25.2749206349' '0.001920634899999385']
 ['0' '25.732' '25.7393197279' '0.007319727900000572']
 ['-2' '26.196' '26.6681179138' '0.47211791379999823']
 ['0' '26.667' '26.6681179138' '0.0011179137999981492']
 ['-2' '27.128' '31.3585487528' '4.230548752800001']
 ['-2' '27.602' '31.3585487528' '3.7565487528000006']
 ['-2' '28.072' '31.3585487528' '3.2865487528000017']
 ['-2' '28.552' '31.3585487528' '2.8065487528000013']
 ['-2' '29.022' '31.3585487528' '2.3365487528000024']
 ['-2' '29.502' '31.3585487528' '1.856548752800002']
 ['-2' '29.969' '31.3585487528' '1.3895487527999997']
 ['-2' '30.424' '31.3585487528' '0.9345487528000014']
 ['-2' '30.884' '31.3585487528' '0.47454875280000053']
 ['0' '31.353' '31.3585487528' '0.005548752799999335']
 ['-2' '31.816' '32.7633560091' '0.9473560091000017']
 ['-2' '32.291' '32.7633560091' '0.47235600910000386']
 ['0' '32.763' '32.7633560091' '0.00035600910000255226']
 ['0' '33.248' '33.2509750567' '0.002975056700002199']
 ['-2' '33.717' '35.1201814059' '1.4031814058999998']
 ['-2' '34.188' '35.1201814059' '0.9321814058999962']
 ['-2' '34.653' '35.1201814059' '0.4671814058999999']
 ['0' '35.115' '35.1201814059' '0.005181405899996605']
 ['0' '35.598' '35.5961904762' '0.001809523799998658']
 ['0' '35.886' '35.8864399093' '0.0004399092999989307']
 ['0' '36.512' '36.5133786848' '0.001378684800002361']
 ['-2' '37.005' '38.4058049887' '1.4008049886999956']
 ['-2' '37.471' '38.4058049887' '0.9348049887000016']
 ['-2' '37.932' '38.4058049887' '0.473804988699996']
 ['0' '38.406' '38.4058049887' '0.00019501130000065814']
 ['0' '38.88' '38.881814059' '0.0018140589999973145']
 ['0' '39.36' '39.3694331066' '0.009433106599999519']
 ['0' '39.819' '39.8222222222' '0.0032222221999944622']]
