# Track Results
There are 56 result entries compared to 56 annotations in track "136_MIDI-minus-one_disco-108_sticks".
Positives:	52
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '3.019' '3.01859410431' '0.00040589569000015757']
 ['0' '3.535' '3.52943310658' '0.005566893420000163']
 ['0' '4.069' '4.07510204082' '0.006102040820000099']
 ['0' '4.608' '4.60916099773' '0.001160997730000446']
 ['0' '5.192' '5.18965986395' '0.0023401360499999413']
 ['0' '5.75' '5.74693877551' '0.003061224489999681']
 ['0' '6.307' '6.30421768707' '0.002782312929999975']
 ['0' '6.851' '6.84988662132' '0.0011133786800003875']
 ['0' '7.405' '7.40716553288' '0.0021655328799994322']
 ['0' '8.229' '8.2314739229' '0.0024739229000001473']
 ['0' '8.501' '8.49850340136' '0.002496598639998737']
 ['0' '9.61' '9.61306122449' '0.003061224490000569']
 ['-2' '10.4' '10.7276190476' '0.32761904759999894']
 ['0' '10.722' '10.7276190476' '0.00561904759999976']
 ['0' '11.565' '11.5751473923' '0.01014739230000039']
 ['0' '11.844' '11.8421768707' '0.0018231292999999482']
 ['0' '12.947' '12.9451247166' '0.0018752833999986507']
 ['0' '14.043' '14.0480725624' '0.005072562400000535']
 ['0' '15.172' '15.1742403628' '0.002240362800000284']
 ['0' '16.01' '16.0101587302' '0.00015873019999901317']
 ['0' '16.284' '16.2887981859' '0.004798185900000362']
 ['0' '17.396' '17.3917460317' '0.004253968300002242']
 ['0' '18.501' '18.5063038549' '0.005303854899999294']
 ['0' '18.784' '18.7849433107' '0.0009433107000020868']
 ['0' '19.606' '19.6092517007' '0.003251700699998139']
 ['0' '20.168' '20.1665306122' '0.001469387800000277']
 ['-2' '20.428' '20.7354195011' '0.30741950110000005']
 ['0' '20.736' '20.7354195011' '0.0005804988999997818']
 ['0' '21.311' '21.3159183673' '0.00491836730000017']
 ['0' '21.873' '21.8731972789' '0.00019727889999998638']
 ['-2' '22.634' '22.9645351474' '0.3305351473999991']
 ['0' '22.965' '22.9645351474' '0.0004648526000003983']
 ['-2' '23.703' '24.0442630385' '0.3412630384999993']
 ['0' '24.041' '24.0442630385' '0.0032630384999983164']
 ['0' '24.88' '24.8801814059' '0.00018140590000115253']
 ['0' '25.168' '25.170430839' '0.002430839000002294']
 ['0' '26.276' '26.2733786848' '0.0026213151999989748']
 ['0' '27.117' '27.1209070295' '0.003907029499998771']
 ['0' '27.396' '27.3995464853' '0.003546485299999347']
 ['0' '28.5' '28.5024943311' '0.002494331099999414']
 ['0' '29.343' '29.3500226757' '0.007022675700000036']
 ['0' '29.619' '29.6170521542' '0.0019478458000001808']
 ['0' '30.202' '30.2091609977' '0.007160997699998006']
 ['0' '30.756' '30.754829932' '0.0011700680000004127']
 ['0' '31.3' '31.3004988662' '0.000498866200000947']
 ['0' '31.855' '31.8577777778' '0.0027777777999986597']
 ['0' '32.414' '32.4150566893' '0.0010566893000003574']
 ['0' '32.971' '32.9723356009' '0.001335600900006284']
 ['0' '33.517' '33.5180045351' '0.0010045350999945413']
 ['0' '34.066' '34.0636734694' '0.0023265306000013197']
 ['0' '34.611' '34.6093424036' '0.0016575963999940768']
 ['0' '35.164' '35.1666213152' '0.002621315199995422']
 ['0' '35.725' '35.7239002268' '0.0010997732000035398']
 ['0' '36.283' '36.2811791383' '0.0018208617000041727']
 ['0' '36.841' '36.8384580499' '0.002541950100003021']
 ['0' '37.394' '37.3957369615' '0.0017369615000006888']]
