# Track Results
There are 70 result entries compared to 69 annotations in track "142_MIDI-minus-one_nu-soul_sticks".
Positives:	49
False positives:	2

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '2.483' '2.48453514739' '0.0015351473899998247']
 ['0' '4.783' '4.7833106576' '0.0003106576000000416']
 ['0' '6.231' '6.23455782313' '0.003557823130000415']
 ['-2' '6.74' '7.09369614512' '0.3536961451199998']
 ['0' '7.092' '7.09369614512' '0.0016961451200003808']
 ['0' '8.82' '8.82358276644' '0.0035827664399992187']
 ['0' '9.094' '9.10222222222' '0.008222222220000575']
 ['0' '9.389' '9.39247165533' '0.0034716553300011554']
 ['0' '11.12' '11.1223582766' '0.0023582766000007638']
 ['0' '12.309' '12.3065759637' '0.0024240362999989884']
 ['0' '13.463' '13.4675736961' '0.0045736961000013565']
 ['0' '14.596' '14.5937414966' '0.0022585034000002224']
 ['0' '15.752' '15.754739229' '0.0027392289999994546']
 ['0' '16.903' '16.9041269841' '0.001126984100000783']
 ['0' '18.067' '18.0651247166' '0.001875283400000427']
 ['0' '18.346' '18.3553741497' '0.009374149700001055']
 ['0' '18.634' '18.6340136054' '1.3605399999505607e-05']
 ['-2' '19.451' '19.7717913832' '0.32079138319999956']
 ['0' '19.77' '19.7717913832' '0.0017913832000004959']
 ['0' '20.935' '20.9327891156' '0.002210884400000168']
 ['0' '22.098' '22.0937868481' '0.004213151900000156']
 ['0' '23.24' '23.2431746032' '0.0031746032000015134']
 ['0' '24.406' '24.4041723356' '0.0018276644000003728']
 ['0' '25.557' '25.5535600907' '0.0034399092999990444']
 ['-2' '26.353' '26.7029478458' '0.34994784579999916']
 ['0' '26.697' '26.7029478458' '0.005947845800001517']
 ['0' '26.983' '26.9815873016' '0.001412698399999357']
 ['-2' '27.508' '27.8523356009' '0.34433560089999915']
 ['-1' '27.84' '27.8523356009' '0.012335600899998411']
 ['2' '28.72' '27.8523356009' '0.8676643991000006']
 ['0' '28.72' '28.7230839002' '0.003083900200000045']
 ['0' '29.016' '29.0133333333' '0.0026666666999979327']
 ['0' '30.183' '30.1859410431' '0.00294104310000165']
 ['-2' '30.987' '31.3237188209' '0.3367188209000034']
 ['0' '31.325' '31.3237188209' '0.001281179099997587']
 ['0' '32.472' '32.473106576' '0.0011065759999979718']
 ['-2' '33.29' '33.6224943311' '0.33249433110000126']
 ['0' '33.621' '33.6224943311' '0.0014943310999981918']
 ['-2' '34.453' '34.7834920635' '0.33049206349999594']
 ['0' '34.778' '34.7834920635' '0.005492063500000199']
 ['-2' '35.598' '35.9328798186' '0.33487981860000104']
 ['0' '35.934' '35.9328798186' '0.0011201813999974775']
 ['0' '36.22' '36.2231292517' '0.0031292517000025555']
 ['-2' '36.783' '37.1054875283' '0.3224875283000017']
 ['0' '37.099' '37.1054875283' '0.006487528300006318']
 ['0' '37.381' '37.3841269841' '0.0031269840999996745']
 ['-2' '37.647' '37.9646258503' '0.31762585030000423']
 ['0' '37.957' '37.9646258503' '0.007625850300001957']
 ['0' '38.251' '38.2548752834' '0.0038752833999993186']
 ['0' '38.536' '38.5335147392' '0.002485260800000333']
 ['-2' '39.082' '39.3926530612' '0.3106530612']
 ['0' '39.392' '39.3926530612' '0.0006530611999977509']
 ['0' '39.687' '39.6945124717' '0.007512471700003687']
 ['-2' '40.527' '40.8206802721' '0.2936802720999978']
 ['0' '40.823' '40.8206802721' '0.002319727900001567']
 ['-2' '41.391' '41.7030385488' '0.3120385488000039']
 ['0' '41.699' '41.7030385488' '0.004038548800004094']
 ['-2' '42.539' '42.8640362812' '0.32503628119999917']
 ['0' '42.865' '42.8640362812' '0.0009637188000013452']
 ['0' '43.155' '43.1542857143' '0.0007142856999990954']
 ['-2' '43.693' '44.0250340136' '0.3320340136000013']
 ['0' '44.019' '44.0250340136' '0.006034013600000776']
 ['-2' '44.841' '45.1744217687' '0.3334217686999992']
 ['0' '45.175' '45.1744217687' '0.0005782312999969008']
 ['-2' '45.715' '46.0335600907' '0.3185600906999966']
 ['0' '46.035' '46.0335600907' '0.0014399092999966001']
 ['0' '46.325' '46.3238095238' '0.0011904762000014557']
 ['-2' '46.873' '47.4964172336' '0.6234172336000015']
 ['-2' '47.198' '47.4964172336' '0.2984172335999986']
 ['0' '47.498' '47.4964172336' '0.0015827663999985475']]
