# Track Results
There are 46 result entries compared to 46 annotations in track "144_MIDI-minus-one_rock-113_sticks".
Positives:	45
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.082' '0.0812698412698' '0.0007301587302000062']
 ['0' '0.547' '0.557278911565' '0.010278911564999937']
 ['0' '1.031' '1.03328798186' '0.002287981860000121']
 ['0' '1.465' '1.46285714286' '0.002142857140000176']
 ['0' '9.04' '9.0441723356' '0.004172335600001631']
 ['0' '10.106' '10.1006802721' '0.005319727899999904']
 ['0' '10.364' '10.3677097506' '0.0037097505999987845']
 ['0' '11.139' '11.133968254' '0.005031746000000226']
 ['0' '12.221' '12.2253061224' '0.004306122399999168']
 ['0' '12.489' '12.4923356009' '0.0033356008999998465']
 ['0' '13.301' '13.3050340136' '0.004034013600000108']
 ['0' '14.374' '14.3731519274' '0.0008480726000001937']
 ['0' '15.444' '15.4412698413' '0.0027301587000003735']
 ['0' '16.505' '16.4977777778' '0.007222222199999351']
 ['0' '17.541' '17.542675737' '0.0016757369999993443']
 ['0' '18.617' '18.6107936508' '0.006206349199999295']
 ['-2' '19.335' '19.6440816327' '0.3090816326999999']
 ['0' '19.641' '19.6440816327' '0.0030816327000025012']
 ['0' '20.729' '20.7238095238' '0.005190476199999239']
 ['0' '21.815' '21.8151473923' '0.00014739229999705117']
 ['0' '22.863' '22.8600453515' '0.0029546485000011558']
 ['0' '23.914' '23.916553288' '0.0025532879999978775']
 ['0' '24.987' '24.9846712018' '0.0023287981999970953']
 ['0' '26.05' '26.0527891156' '0.002789115599998837']
 ['0' '27.121' '27.1209070295' '9.297049999901219e-05']
 ['0' '27.918' '27.9219954649' '0.003995464900000911']
 ['0' '28.18' '28.177414966' '0.002585033999999098']
 ['0' '29.231' '29.2339229025' '0.0029229024999999353']
 ['0' '30.291' '30.290430839' '0.0005691610000013725']
 ['0' '31.345' '31.3469387755' '0.0019387755000010998']
 ['0' '32.407' '32.403446712' '0.0035532879999990996']
 ['0' '33.476' '33.4715646259' '0.004435374099998057']
 ['0' '34.534' '34.5280725624' '0.005927437600000474']
 ['0' '35.593' '35.5961904762' '0.0031904761999967945']
 ['0' '36.385' '36.3856689342' '0.0006689342000001375']
 ['0' '36.659' '36.6526984127' '0.006301587300001188']
 ['0' '37.712' '37.7092063492' '0.0027936508000010463']
 ['0' '38.771' '38.7657142857' '0.005285714300001132']
 ['0' '39.84' '39.8338321995' '0.006167800500001874']
 ['0' '40.632' '40.6349206349' '0.002920634900000607']
 ['0' '40.905' '40.9019501134' '0.003049886600003049']
 ['0' '41.973' '41.9700680272' '0.0029319727999990164']
 ['0' '43.038' '43.038185941' '0.0001859410000051298']
 ['0' '43.838' '43.8392743764' '0.0012743763999978341']
 ['0' '44.114' '44.1179138322' '0.003913832200005629']
 ['0' '44.874' '44.8725623583' '0.0014376417000008246']]
