# Track Results
There are 55 result entries compared to 56 annotations in track "146_MIDI-minus-one_rock'n'roll-188_sticks".
Positives:	55
False positives:	0

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.682' '0.684988662132' '0.0029886621319999973']
 ['0' '3.239' '3.23918367347' '0.0001836734700000342']
 ['0' '3.891' '3.88934240363' '0.0016575963699998475']
 ['0' '4.54' '4.53950113379' '0.0004988662100000596']
 ['0' '5.175' '5.17804988662' '0.003049886620000386']
 ['0' '5.801' '5.80498866213' '0.0039886621300002645']
 ['0' '6.451' '6.45514739229' '0.0041473922900001625']
 ['0' '7.083' '7.0820861678' '0.0009138322000001864']
 ['0' '7.724' '7.72063492063' '0.003365079369999968']
 ['0' '8.37' '8.37079365079' '0.0007936507900012657']
 ['0' '9.01' '9.00934240363' '0.0006575963699990695']
 ['0' '9.631' '9.63628117914' '0.005281179139998926']
 ['0' '10.267' '10.2632199546' '0.00378004539999921']
 ['0' '10.9' '10.9017687075' '0.0017687075000001329']
 ['0' '11.539' '11.5403174603' '0.0013174603000010165']
 ['0' '12.189' '12.1904761905' '0.0014761905000000297']
 ['0' '12.825' '12.8290249433' '0.004024943300001027']
 ['0' '13.465' '13.4675736961' '0.0025736961000006886']
 ['0' '14.099' '14.106122449' '0.007122449000000586']
 ['0' '14.749' '14.7446712018' '0.004328798200001316']
 ['0' '15.394' '15.394829932' '0.0008299320000002552']
 ['0' '15.721' '15.7199092971' '0.001090702900000906']
 ['0' '16.036' '16.0333786848' '0.0026213152000025275']
 ['0' '18.526' '18.5295238095' '0.0035238094999989755']
 ['0' '19.182' '19.191292517' '0.00929251700000222']
 ['0' '19.835' '19.8414512472' '0.006451247199997567']
 ['0' '20.477' '20.48' '0.0030000000000001137']
 ['0' '21.122' '21.1185487528' '0.0034512472000010064']
 ['0' '21.771' '21.768707483' '0.002292517000000771']
 ['0' '22.405' '22.4072562358' '0.0022562357999973415']
 ['0' '23.03' '23.0341950113' '0.004195011299998441']
 ['0' '23.669' '23.6727437642' '0.003743764199999333']
 ['0' '24.307' '24.311292517' '0.004292516999999663']
 ['0' '24.945' '24.9498412698' '0.004841269799999992']
 ['0' '25.581' '25.5767800454' '0.004219954599999909']
 ['0' '26.222' '26.2269387755' '0.004938775499997661']
 ['0' '26.866' '26.8654875283' '0.0005124716999986845']
 ['0' '27.506' '27.5040362812' '0.0019637187999990147']
 ['0' '28.137' '28.142585034' '0.005585033999999212']
 ['0' '28.765' '28.7695238095' '0.004523809500000198']
 ['0' '29.414' '29.4196825397' '0.00568253969999688']
 ['0' '30.057' '30.0582312925' '0.0012312925000017572']
 ['0' '30.709' '30.7083900227' '0.0006099772999981212']
 ['0' '31.343' '31.3469387755' '0.003938775499999991']
 ['0' '31.631' '31.6371882086' '0.006188208600001133']
 ['0' '31.938' '31.939047619' '0.0010476190000012764']
 ['0' '32.244' '32.2525170068' '0.008517006799998228']
 ['0' '32.569' '32.5659863946' '0.0030136053999996193']
 ['0' '32.874' '32.8794557823' '0.00545578229999677']
 ['0' '33.2' '33.2045351474' '0.004535147399998607']
 ['0' '33.5' '33.5063945578' '0.0063945578000002']
 ['0' '33.814' '33.8198639456' '0.005863945599998033']
 ['0' '34.141' '34.1449433107' '0.0039433107000022005']
 ['0' '34.462' '34.4584126984' '0.0035873016000067537']
 ['0' '35.115' '35.1201814059' '0.005181405899996605']]
