# Track Results
There are 26 result entries compared to 18 annotations in track "061_phrase_rock_simple_slow_sticks".
Positives:	18
False positives:	8

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '1.031' '1.03328798186' '0.002287981860000121']
 ['0' '2.353' '2.35682539683' '0.0038253968299999386']
 ['0' '3.299' '3.29723356009' '0.0017664399099999173']
 ['0' '3.622' '3.62231292517' '0.00031292517000025555']
 ['2' '4.893' '3.65714285714' '1.2358571428599996']
 ['0' '4.893' '4.88780045351' '0.005199546490000095']
 ['0' '6.152' '6.15328798186' '0.0012879818600000092']
 ['2' '7.435' '6.18811791383' '1.2468820861699994']
 ['0' '7.435' '7.43038548753' '0.004614512469999887']
 ['2' '8.377' '7.4652154195' '0.9117845805000009']
 ['0' '8.377' '8.37079365079' '0.006206349210000184']
 ['0' '8.683' '8.68426303855' '0.0012630385500003172']
 ['0' '9.931' '9.92653061224' '0.004469387759998611']
 ['2' '10.851' '9.96136054422' '0.8896394557800011']
 ['0' '10.851' '10.8553287982' '0.0043287981999995395']
 ['2' '11.165' '10.8785487528' '0.2864512471999987']
 ['0' '11.165' '11.1571882086' '0.00781179139999999']
 ['0' '12.426' '12.422675737' '0.003324262999999661']
 ['2' '13.339' '12.4575056689' '0.8814943311000007']
 ['0' '13.339' '13.3398639456' '0.0008639455999990275']
 ['0' '13.653' '13.6533333333' '0.0003333333000004046']
 ['2' '14.887' '13.6881632653' '1.1988367347000004']
 ['0' '14.887' '14.8839909297' '0.003009070300000971']
 ['0' '15.199' '15.1974603175' '0.0015396825000006942']
 ['0' '16.139' '16.1378684807' '0.0011315192999994395']
 ['2' '-1' '16.1726984127' '-1']]
