# Track Results
There are 29 result entries compared to 25 annotations in track "063_phrase_rock_simple_fast_sticks".
Positives:	24
False positives:	4

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.553' '0.557278911565' '0.004278911564999932']
 ['0' '1.009' '1.01006802721' '0.0010680272100000998']
 ['0' '1.29' '1.28870748299' '0.0012925170099999939']
 ['0' '1.728' '1.72988662132' '0.0018866213199999482']
 ['2' '2.288' '1.75310657596' '0.5348934240399998']
 ['0' '2.288' '2.28716553288' '0.0008344671199997933']
 ['0' '2.441' '2.4380952381' '0.002904761899999997']
 ['0' '2.727' '2.7283446712' '0.001344671200000036']
 ['0' '2.868' '2.86766439909' '0.0003356009099997337']
 ['0' '3.303' '3.30884353741' '0.005843537410000099']
 ['0' '3.595' '3.59909297052' '0.004092970519999906']
 ['0' '4.024' '4.0170521542' '0.006947845800000074']
 ['0' '4.721' '4.72526077098' '0.004260770980000217']
 ['0' '5.007' '5.01551020408' '0.00851020408000025']
 ['0' '5.162' '5.15482993197' '0.007170068029999754']
 ['0' '5.596' '5.59600907029' '9.070289999968395e-06']
 ['2' '5.876' '5.63083900227' '0.24516099773000022']
 ['0' '5.876' '5.87464852608' '0.0013514739200006787']
 ['0' '6.309' '6.30421768707' '0.004782312929999755']
 ['0' '7.029' '7.02403628118' '0.004963718820000018']
 ['-2' '7.305' '7.45360544218' '0.14860544218000005']
 ['0' '7.452' '7.45360544218' '0.0016054421799998053']
 ['0' '7.881' '7.88317460317' '0.0021746031699994006']
 ['2' '8.178' '7.90639455782' '0.27160544218000116']
 ['0' '8.178' '8.17342403628' '0.004575963720000686']
 ['0' '8.594' '8.59138321995' '0.0026167800499994343']
 ['2' '9.128' '8.62621315193' '0.501786848070001']
 ['0' '9.128' '9.1370521542' '0.009052154199999052']
 ['0' '9.698' '9.69433106576' '0.0036689342400002545']]
