# Track Results
There are 30 result entries compared to 27 annotations in track "080_phrase_salsa_simple_medium_sticks".
Positives:	22
False positives:	5

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '2.199' '2.20589569161' '0.006895691610000032']
 ['-2' '2.589' '3.30884353741' '0.7198435374100001']
 ['0' '3.304' '3.30884353741' '0.004843537410000209']
 ['0' '3.711' '3.71519274376' '0.004192743760000006']
 ['-2' '3.991' '4.58594104308' '0.59494104308']
 ['0' '4.583' '4.58594104308' '0.002941043079999872']
 ['0' '4.922' '4.92263038549' '0.0006303854900000516']
 ['2' '5.569' '4.96907029478' '0.5999297052200001']
 ['0' '5.569' '5.57278911565' '0.0037891156500000633']
 ['0' '5.917' '5.92108843537' '0.004088435369999921']
 ['-1' '6.548' '6.55963718821' '0.011637188209999927']
 ['2' '6.921' '6.55963718821' '0.3613628117900003']
 ['0' '6.921' '6.93115646259' '0.010156462589999471']
 ['-1' '7.546' '7.5580952381' '0.012095238099999683']
 ['2' '7.92' '7.5580952381' '0.3619047619']
 ['0' '7.92' '7.92961451247' '0.00961451246999978']
 ['0' '8.537' '8.54494331066' '0.00794331065999998']
 ['0' '8.918' '8.92807256236' '0.010072562360001314']
 ['0' '9.55' '9.55501133787' '0.005011337870000077']
 ['0' '9.908' '9.91492063492' '0.006920634920000168']
 ['0' '10.517' '10.5186394558' '0.0016394558000012438']
 ['0' '10.913' '10.9133786848' '0.00037868479999936255']
 ['0' '11.541' '11.5519274376' '0.010927437599999479']
 ['0' '11.877' '11.8770068027' '6.802699999752804e-06']
 ['0' '12.123' '12.1324263039' '0.009426303900001543']
 ['-2' '12.509' '12.747755102' '0.23875510199999894']
 ['0' '12.747' '12.747755102' '0.0007551019999993969']
 ['0' '13.114' '13.1192743764' '0.00527437639999917']
 ['0' '13.482' '13.4907936508' '0.008793650800001274']
 ['0' '13.828' '13.8390929705' '0.011092970500000021']]
