# Track Results
There are 41 result entries compared to 37 annotations in track "084_phrase_salsa_complex_fast_sticks".
Positives:	37
False positives:	4

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '1.982' '1.98530612245' '0.0033061224499999486']
 ['0' '2.313' '2.32199546485' '0.008995464849999912']
 ['0' '2.629' '2.63546485261' '0.006464852610000182']
 ['0' '3.209' '3.21596371882' '0.006963718819999798']
 ['0' '3.54' '3.5410430839' '0.0010430838999999636']
 ['0' '3.759' '3.76163265306' '0.0026326530600000453']
 ['0' '4.103' '4.10993197279' '0.006931972790000351']
 ['0' '4.417' '4.42340136054' '0.006401360539999956']
 ['0' '4.956' '4.95746031746' '0.0014603174599994162']
 ['0' '5.275' '5.28253968254' '0.007539682540000037']
 ['0' '5.506' '5.5031292517' '0.0028707483000003364']
 ['0' '5.834' '5.8398185941' '0.005818594099999963']
 ['0' '6.168' '6.17650793651' '0.008507936510000036']
 ['0' '6.722' '6.72217687075' '0.00017687074999983565']
 ['0' '7.043' '7.04725623583' '0.004256235829999788']
 ['0' '7.611' '7.61614512472' '0.0051451247200002825']
 ['0' '7.942' '7.9412244898' '0.0007755102000004399']
 ['0' '8.521' '8.52172335601' '0.0007233560099990655']
 ['0' '8.854' '8.85841269841' '0.00441269841000036']
 ['0' '9.416' '9.41569160998' '0.000308390020000715']
 ['0' '9.739' '9.74077097506' '0.0017709750599994578']
 ['2' '10.301' '9.78721088435' '0.5137891156500007']
 ['0' '10.301' '10.3096598639' '0.008659863900000175']
 ['0' '10.633' '10.634739229' '0.0017392290000000088']
 ['2' '11.208' '10.6579591837' '0.550040816300001']
 ['0' '11.208' '11.2152380952' '0.007238095199999961']
 ['2' '11.527' '11.2384580499' '0.28854195009999906']
 ['0' '11.527' '11.528707483' '0.0017074830000005647']
 ['0' '12.083' '12.0859863946' '0.002986394600000608']
 ['0' '12.418' '12.422675737' '0.004675737000001234']
 ['0' '12.98' '12.9799546485' '4.535150000073429e-05']
 ['0' '13.292' '13.2934240363' '0.0014240362999995426']
 ['0' '13.855' '13.8623129252' '0.007312925199999043']
 ['0' '14.18' '14.1873922902' '0.007392290200000318']
 ['0' '14.41' '14.4079818594' '0.0020181406000006064']
 ['0' '14.87' '14.8723809524' '0.002380952400001135']
 ['0' '15.311' '15.3135600907' '0.0025600906999994066']
 ['0' '15.738' '15.7431292517' '0.005129251699999671']
 ['2' '16.041' '15.7663492063' '0.2746507937000011']
 ['0' '16.041' '16.0449886621' '0.003988662099999374']
 ['0' '16.16' '16.1610884354' '0.0010884353999998098']]
