# Track Results
There are 57 result entries compared to 55 annotations in track "090_phrase_shuffle-blues_complex_fast_sticks".
Positives:	38
False positives:	2

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '2.38' '2.38004535147' '4.535147000028772e-05']
 ['0' '3.109' '3.1114739229' '0.0024739229000001473']
 ['-2' '3.381' '3.48299319728' '0.10199319728000011']
 ['0' '3.478' '3.48299319728' '0.004993197279999695']
 ['0' '3.662' '3.66875283447' '0.006752834469999858']
 ['0' '4.032' '4.04027210884' '0.008272108839999959']
 ['0' '4.207' '4.21442176871' '0.007421768710000443']
 ['0' '4.568' '4.57433106576' '0.0063310657600004205']
 ['0' '5.293' '5.29414965986' '0.0011496598600002628']
 ['-2' '5.556' '5.65405895692' '0.0980589569200001']
 ['0' '5.651' '5.65405895692' '0.0030589569200003552']
 ['0' '5.831' '5.8398185941' '0.008818594099999189']
 ['0' '6.38' '6.38548752834' '0.00548752833999977']
 ['-2' '6.633' '6.7453968254' '0.11239682540000029']
 ['0' '6.744' '6.7453968254' '0.0013968254000005231']
 ['0' '7.25' '7.25623582766' '0.006235827660000304']
 ['-2' '7.496' '7.87156462585' '0.37556462584999917']
 ['0' '7.868' '7.87156462585' '0.003564625849999281']
 ['0' '8.336' '8.33596371882' '3.6281179999875235e-05']
 ['0' '8.607' '8.6146031746' '0.007603174599999818']
 ['-2' '8.892' '8.9977324263' '0.10573242630000124']
 ['0' '8.989' '8.9977324263' '0.00873242629999993']
 ['0' '9.268' '9.26476190476' '0.003238095240000405']
 ['1' '9.57' '9.29959183673' '0.27040816326999995']
 ['-2' '9.57' '10.0658503401' '0.4958503401000005']
 ['0' '10.064' '10.0658503401' '0.0018503401000007358']
 ['-2' '10.434' '11.1223582766' '0.6883582766000007']
 ['0' '11.123' '11.1223582766' '0.0006417233999993499']
 ['0' '11.869' '11.8770068027' '0.008006802700000648']
 ['-2' '12.139' '12.2369160998' '0.09791609980000082']
 ['0' '12.236' '12.2369160998' '0.0009160997999995146']
 ['0' '12.431' '12.4342857143' '0.003285714300000464']
 ['0' '12.97' '12.9799546485' '0.009954648499999053']
 ['0' '13.068' '13.0728344671' '0.004834467100000239']
 ['0' '13.266' '13.2702040816' '0.004204081599999299']
 ['0' '13.371' '13.3746938776' '0.0036938775999999507']
 ['0' '13.525' '13.5256235828' '0.0006235827999994115']
 ['-2' '13.624' '14.106122449' '0.48212244900000023']
 ['-2' '13.815' '14.106122449' '0.2911224490000013']
 ['-2' '13.907' '14.106122449' '0.19912244900000076']
 ['0' '14.097' '14.106122449' '0.009122449000001254']
 ['0' '14.183' '14.1873922902' '0.004392290200000204']
 ['0' '14.378' '14.3847619048' '0.006761904799999385']
 ['-2' '14.478' '14.6517913832' '0.1737913832000011']
 ['0' '14.651' '14.6517913832' '0.0007913832000010501']
 ['0' '14.75' '14.7562811791' '0.006281179100000145']
 ['-2' '14.941' '15.0117006803' '0.07070068029999987']
 ['0' '15.014' '15.0117006803' '0.0022993196999987475']
 ['-2' '15.211' '15.3019501134' '0.09095011339999992']
 ['0' '15.292' '15.3019501134' '0.009950113400000404']
 ['-2' '15.496' '15.5573696145' '0.061369614500000225']
 ['0' '15.557' '15.5573696145' '0.0003696145000002815']
 ['-2' '16.138' '16.4745578231' '0.33655782309999793']
 ['-2' '16.394' '16.4745578231' '0.08055782310000126']
 ['0' '16.475' '16.4745578231' '0.00044217690000181165']
 ['0' '16.778' '16.7764172336' '0.0015827663999985475']
 ['2' '-1' '16.8112471655' '-1']]
