# Track Results
There are 35 result entries compared to 34 annotations in track "094_phrase_reggae_complex_slow_sticks".
Positives:	33
False positives:	1

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.137' '0.139319727891' '0.0023197278909999897']
 ['0' '0.637' '0.638548752834' '0.0015487528340000223']
 ['0' '1.137' '1.13777777778' '0.0007777777799999885']
 ['0' '1.629' '1.63700680272' '0.008006802719999984']
 ['0' '2.1' '2.10140589569' '0.0014058956900000474']
 ['0' '2.606' '2.61224489796' '0.006244897960000273']
 ['0' '3.108' '3.1114739229' '0.003473922900000037']
 ['0' '3.604' '3.61070294785' '0.0067029478500000295']
 ['0' '4.085' '4.08671201814' '0.0017120181400001044']
 ['0' '4.575' '4.57433106576' '0.0006689342400001408']
 ['0' '5.071' '5.0735600907' '0.002560090700000295']
 ['0' '5.559' '5.56117913832' '0.0021791383199998293']
 ['0' '6.045' '6.04879818594' '0.0037981859400000317']
 ['0' '6.535' '6.53641723356' '0.0014172335599997865']
 ['0' '7.014' '7.02403628118' '0.010036281179999662']
 ['0' '7.495' '7.50004535147' '0.005045351469999737']
 ['-2' '7.83' '7.95283446712' '0.12283446711999968']
 ['0' '7.95' '7.95283446712' '0.002834467119999573']
 ['2' '8.438' '7.97605442177' '0.4619455782300008']
 ['0' '8.438' '8.44045351474' '0.0024535147399991075']
 ['0' '8.94' '8.93968253968' '0.00031746031999979607']
 ['0' '9.428' '9.4273015873' '0.0006984127000002616']
 ['0' '9.883' '9.89170068027' '0.00870068027000137']
 ['0' '10.365' '10.3677097506' '0.0027097505999993388']
 ['0' '10.857' '10.8553287982' '0.0016712017999989115']
 ['0' '11.353' '11.3545578231' '0.0015578231000006326']
 ['0' '11.849' '11.8537868481' '0.004786848100000185']
 ['0' '12.34' '12.3414058957' '0.0014058956999996042']
 ['0' '12.831' '12.8290249433' '0.0019750566999992003']
 ['0' '13.323' '13.3282539683' '0.0052539682999999116']
 ['0' '13.798' '13.8042630385' '0.0062630385000002065']
 ['0' '14.291' '14.2918820862' '0.000882086199998966']
 ['0' '14.785' '14.7911111111' '0.006111111099999178']
 ['0' '15.021' '15.0233106576' '0.002310657599998933']
 ['0' '15.256' '15.2555102041' '0.0004897959000000895']]
