# Track Results
There are 25 result entries compared to 24 annotations in track "109_phrase_oriental_simple_slow_sticks".
Positives:	24
False positives:	1

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.132' '0.139319727891' '0.007319727890999994']
 ['0' '0.926' '0.928798185941' '0.0027981859410000087']
 ['0' '1.197' '1.1958276644' '0.001172335599999963']
 ['0' '2.299' '2.2987755102' '0.00022448979999989405']
 ['2' '3.129' '2.33360544218' '0.7953945578199999']
 ['0' '3.129' '3.13469387755' '0.00569387755000017']
 ['0' '3.408' '3.40172335601' '0.0062766439899997195']
 ['0' '4.514' '4.51628117914' '0.0022811791399997006']
 ['0' '5.344' '5.35219954649' '0.008199546489999321']
 ['0' '5.626' '5.63083900227' '0.0048390022699997814']
 ['0' '6.735' '6.73378684807' '0.0012131519300000448']
 ['0' '7.58' '7.58131519274' '0.0013151927399999153']
 ['0' '7.865' '7.87156462585' '0.006564625849999395']
 ['0' '8.945' '8.93968253968' '0.005317460320000578']
 ['0' '9.771' '9.77560090703' '0.00460090702999949']
 ['0' '10.049' '10.0426303855' '0.0063696144999987325']
 ['0' '11.129' '11.1223582766' '0.006641723399999577']
 ['0' '11.944' '11.9466666667' '0.002666666699999709']
 ['0' '12.222' '12.2253061224' '0.0033061223999997225']
 ['0' '13.321' '13.3282539683' '0.0072539683000005795']
 ['0' '14.147' '14.1525623583' '0.005562358300000625']
 ['0' '14.421' '14.4195918367' '0.0014081632999989324']
 ['0' '15.508' '15.5109297052' '0.0029297052000014645']
 ['0' '16.322' '16.3236281179' '0.0016281179000010582']
 ['0' '16.594' '16.5906575964' '0.0033424036000013757']]
