# Track Results
There are 27 result entries compared to 25 annotations in track "112_phrase_oriental_complex_slow_sticks".
Positives:	24
False positives:	3

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.091' '0.0928798185941' '0.0018798185940999967']
 ['0' '0.891' '0.893968253968' '0.0029682539679999342']
 ['0' '1.148' '1.1493877551' '0.0013877551000001098']
 ['0' '2.225' '2.21750566893' '0.007494331070000193']
 ['0' '3.009' '3.01859410431' '0.009594104310000073']
 ['0' '3.28' '3.28562358277' '0.005623582770000191']
 ['0' '4.359' '4.36535147392' '0.006351473919999684']
 ['-1' '5.152' '5.1664399093' '0.014439909300000053']
 ['2' '5.419' '5.1664399093' '0.2525600906999994']
 ['0' '5.419' '5.42185941043' '0.0028594104300001533']
 ['0' '6.487' '6.48997732426' '0.0029773242599997474']
 ['0' '7.26' '7.26784580499' '0.007845804990000538']
 ['0' '7.531' '7.52326530612' '0.00773469387999981']
 ['0' '8.581' '8.57977324263' '0.0012267573699986656']
 ['0' '9.354' '9.35764172336' '0.0036417233600012366']
 ['0' '9.627' '9.62467120181' '0.0023287981900015353']
 ['0' '10.685' '10.6811791383' '0.003820861700001288']
 ['0' '11.475' '11.4822675737' '0.007267573700000085']
 ['0' '11.74' '11.7376870748' '0.0023129252000000378']
 ['0' '12.786' '12.782585034' '0.003414965999999353']
 ['2' '13.562' '12.817414966' '0.744585034']
 ['0' '13.562' '13.5604535147' '0.001546485299998679']
 ['0' '13.823' '13.8274829932' '0.004482993199999896']
 ['0' '14.878' '14.8723809524' '0.00561904759999976']
 ['0' '15.661' '15.6618594104' '0.0008594104000003711']
 ['0' '16.649' '16.648707483' '0.0002925170000018795']
 ['0' '16.922' '16.9157369615' '0.006263038500001983']]
