# Track Results
There are 39 result entries compared to 37 annotations in track "113_phrase_oriental_complex_medium_sticks".
Positives:	35
False positives:	2

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.177' '0.174149659864' '0.002850340135999996']
 ['0' '0.705' '0.70820861678' '0.003208616780000062']
 ['0' '1.228' '1.23065759637' '0.0026575963699999594']
 ['0' '1.752' '1.75310657596' '0.001106575959999967']
 ['0' '2.271' '2.27555555556' '0.004555555560000091']
 ['0' '2.791' '2.79800453515' '0.007004535150000102']
 ['0' '3.304' '3.30884353741' '0.004843537410000209']
 ['0' '3.813' '3.81968253968' '0.006682539679999877']
 ['0' '4.062' '4.06349206349' '0.001492063489999751']
 ['0' '4.32' '4.31891156463' '0.0010884353700006955']
 ['0' '4.84' '4.84136054422' '0.0013605442199997597']
 ['0' '5.349' '5.35219954649' '0.0031995464899994275']
 ['0' '5.86' '5.86303854875' '0.0030385487499993147']
 ['0' '6.38' '6.38548752834' '0.00548752833999977']
 ['0' '6.88' '6.88471655329' '0.004716553289999759']
 ['0' '7.355' '7.36072562358' '0.005725623579999173']
 ['0' '7.859' '7.85995464853' '0.0009546485299996021']
 ['2' '8.193' '7.90639455782' '0.28660544217999995']
 ['-2' '8.193' '8.31274376417' '0.11974376416999988']
 ['0' '8.317' '8.31274376417' '0.004256235830000676']
 ['0' '8.827' '8.82358276644' '0.0034172335600004544']
 ['0' '9.341' '9.34603174603' '0.005031746030001116']
 ['0' '9.844' '9.84526077098' '0.0012607709800001032']
 ['0' '10.329' '10.3328798186' '0.0038798185999997514']
 ['0' '10.84' '10.8437188209' '0.003718820899999642']
 ['0' '11.333' '11.3313378685' '0.0016621314999998305']
 ['0' '11.818' '11.8189569161' '0.0009569160999998161']
 ['0' '12.291' '12.2833560091' '0.007643990900000119']
 ['0' '12.804' '12.8058049887' '0.0018049887000000098']
 ['0' '13.305' '13.3050340136' '3.401360000054865e-05']
 ['0' '13.791' '13.7926530612' '0.001653061199998973']
 ['0' '14.028' '14.0248526077' '0.0031473923000007176']
 ['0' '14.287' '14.2918820862' '0.0048820861999985254']
 ['0' '14.757' '14.7678911565' '0.01089115649999961']
 ['0' '15.243' '15.2439002268' '0.0009002267999989044']
 ['0' '15.719' '15.7199092971' '0.0009092970999997618']
 ['2' '16.053' '15.7779591837' '0.27504081630000066']
 ['-2' '16.053' '16.18430839' '0.13130839000000094']
 ['0' '16.178' '16.18430839' '0.006308390000000941']]
