# Track Results
There are 24 result entries compared to 19 annotations in track "115_phrase_cha-cha_simple_slow_sticks".
Positives:	17
False positives:	6

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '1.884' '1.89242630385' '0.008426303850000094']
 ['0' '3.914' '3.9241723356' '0.010172335599999638']
 ['0' '4.194' '4.19120181406' '0.0027981859399996978']
 ['0' '4.95' '4.95746031746' '0.007460317459999644']
 ['0' '5.212' '5.21287981859' '0.0008798185900005251']
 ['-2' '5.93' '6.18811791383' '0.2581179138300005']
 ['0' '6.194' '6.18811791383' '0.005882086169999745']
 ['0' '6.936' '6.94276643991' '0.006766439909999811']
 ['0' '7.438' '7.44199546485' '0.003995464850000019']
 ['2' '7.929' '7.48843537415' '0.44056462585000045']
 ['-1' '7.929' '7.9412244898' '0.01222448979999946']
 ['2' '8.194' '7.9412244898' '0.2527755102000011']
 ['0' '8.194' '8.19664399093' '0.002643990929998452']
 ['0' '8.932' '8.93968253968' '0.007682539679999323']
 ['0' '9.199' '9.19510204082' '0.0038979591799996882']
 ['2' '9.936' '9.24154195011' '0.6944580498900006']
 ['0' '9.936' '9.93814058957' '0.0021405895700006283']
 ['0' '10.186' '10.1935600907' '0.007560090700000188']
 ['0' '10.937' '10.9365986395' '0.00040136049999972556']
 ['2' '11.425' '10.9830385488' '0.44196145120000097']
 ['0' '11.425' '11.4242176871' '0.0007823129000001927']
 ['2' '11.912' '11.4706575964' '0.4413424036000002']
 ['0' '11.912' '11.9118367347' '0.0001632653000012141']
 ['0' '12.181' '12.1788662132' '0.0021337867999999816']]
