# Track Results
There are 37 result entries compared to 33 annotations in track "116_phrase_cha-cha_complex_slow_sticks".
Positives:	31
False positives:	5

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '4.191' '4.19120181406' '0.0002018140600004159']
 ['2' '4.915' '4.22603174603' '0.6889682539699997']
 ['0' '4.915' '4.92263038549' '0.007630385489999725']
 ['0' '5.159' '5.1664399093' '0.00743990930000038']
 ['0' '6.126' '6.13006802721' '0.004068027209999769']
 ['-1' '6.849' '6.86149659864' '0.012496598639999412']
 ['2' '7.096' '6.86149659864' '0.23450340136000047']
 ['0' '7.096' '7.09369614512' '0.002303854880000067']
 ['0' '7.819' '7.82512471655' '0.006124716550000464']
 ['0' '8.068' '8.06893424036' '0.0009342403600012261']
 ['0' '8.796' '8.80036281179' '0.0043628117900009755']
 ['0' '9.275' '9.27637188209' '0.0013718820899999429']
 ['0' '9.753' '9.75238095238' '0.0006190476200007566']
 ['0' '9.995' '9.99619047619' '0.0011904761900005667']
 ['0' '10.708' '10.7160090703' '0.008009070299999976']
 ['0' '10.939' '10.9365986395' '0.0024013605000003935']
 ['0' '11.658' '11.6564172336' '0.0015827664000003239']
 ['0' '11.896' '11.9002267574' '0.00422675739999967']
 ['0' '12.625' '12.6316553288' '0.006655328800000859']
 ['0' '13.116' '13.1192743764' '0.0032743764000002784']
 ['0' '13.586' '13.5952834467' '0.009283446699999587']
 ['0' '13.83' '13.8274829932' '0.002517006799999777']
 ['2' '14.528' '13.8623129252' '0.665687074800001']
 ['0' '14.528' '14.53569161' '0.007691610000000182']
 ['0' '15.026' '15.0233106576' '0.002689342400000072']
 ['0' '15.504' '15.5109297052' '0.006929705200001024']
 ['0' '15.743' '15.7431292517' '0.00012925169999888908']
 ['2' '16.443' '15.7779591837' '0.6650408163000012']
 ['0' '16.443' '16.4513378685' '0.008337868499999956']
 ['0' '16.931' '16.9389569161' '0.00795691609999949']
 ['0' '17.41' '17.4149659864' '0.004965986399998457']
 ['0' '17.65' '17.6471655329' '0.002834467099997795']
 ['0' '18.374' '18.3785941043' '0.004594104300000623']
 ['0' '18.856' '18.8546031746' '0.0013968254000005231']
 ['0' '19.091' '19.0984126984' '0.007412698399999584']
 ['-2' '19.419' '19.5744217687' '0.15542176869999835']
 ['0' '19.577' '19.5744217687' '0.002578231300002898']]
