# Track Results
There are 46 result entries compared to 45 annotations in track "117_solo_afro_sticks".
Positives:	41
False positives:	2

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '0.458' '0.464399092971' '0.006399092970999998']
 ['0' '0.824' '0.824308390023' '0.00030839002300009355']
 ['0' '1.477' '1.47446712018' '0.0025328798200001668']
 ['0' '1.868' '1.86920634921' '0.0012063492099998463']
 ['0' '2.48' '2.48453514739' '0.004535147389999938']
 ['0' '2.872' '2.87927437642' '0.007274376420000284']
 ['0' '3.496' '3.4946031746' '0.001396825400000079']
 ['0' '3.865' '3.86612244898' '0.0011224489799999127']
 ['0' '4.486' '4.49306122449' '0.007061224490000129']
 ['0' '4.868' '4.87619047619' '0.008190476189999352']
 ['0' '5.46' '5.46829931973' '0.008299319729999866']
 ['0' '5.829' '5.82820861678' '0.0007913832200001636']
 ['0' '6.455' '6.45514739229' '0.00014739228999971488']
 ['0' '6.828' '6.82666666667' '0.0013333333299998529']
 ['0' '7.437' '7.44199546485' '0.004995464849999465']
 ['-2' '7.919' '8.41723356009' '0.49823356009000097']
 ['-1' '8.404' '8.41723356009' '0.013233560090000651']
 ['2' '8.78' '8.41723356009' '0.3627664399099988']
 ['0' '8.78' '8.78875283447' '0.008752834470000082']
 ['0' '9.387' '9.39247165533' '0.005471655330000047']
 ['0' '9.767' '9.77560090703' '0.008600907030000826']
 ['0' '10.355' '10.3560997732' '0.0010997731999999871']
 ['0' '10.719' '10.7276190476' '0.008619047599999874']
 ['0' '11.285' '11.2848979592' '0.00010204079999986959']
 ['0' '11.763' '11.7609070295' '0.00209297049999968']
 ['0' '12.254' '12.2601360544' '0.006136054400000646']
 ['0' '12.626' '12.6316553288' '0.0056553288000014135']
 ['0' '13.231' '13.2353741497' '0.004374149700000274']
 ['0' '13.598' '13.5952834467' '0.002716553300000868']
 ['0' '14.188' '14.1873922902' '0.0006077098000005776']
 ['0' '14.542' '14.5473015873' '0.005301587299999966']
 ['0' '15.134' '15.1394104308' '0.005410430799999588']
 ['0' '15.611' '15.6154195011' '0.0044195010999992235']
 ['0' '15.735' '15.7315192744' '0.003480725599999346']
 ['0' '16.082' '16.0914285714' '0.009428571400000862']
 ['-2' '19.441' '19.5744217687' '0.1334217686999999']
 ['0' '19.575' '19.5744217687' '0.0005782313000004535']
 ['0' '19.905' '19.9111111111' '0.006111111099997402']
 ['0' '20.283' '20.2826303855' '0.00036961450000205787']
 ['0' '20.886' '20.8863492063' '0.0003492063000010148']
 ['0' '21.241' '21.2462585034' '0.005258503400000336']
 ['0' '21.824' '21.8267573696' '0.0027573695999976167']
 ['0' '22.175' '22.1750566893' '5.66892999991353e-05']
 ['0' '22.747' '22.7439455782' '0.0030544217999981527']
 ['-2' '23.216' '23.3476643991' '0.13166439909999994']
 ['0' '23.343' '23.3476643991' '0.004664399100001049']]
