# Track Results
There are 185 result entries compared to 180 annotations in track "121_solo_jazz-funk_sticks".
Positives:	145
False positives:	6

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '2.192' '2.19428571429' '0.002285714289999685']
 ['0' '2.222' '2.21750566893' '0.004494331070000079']
 ['-2' '4.39' '4.63238095238' '0.24238095238000046']
 ['0' '4.633' '4.63238095238' '0.0006190476199998685']
 ['0' '4.996' '5.00390022676' '0.007900226759999462']
 ['-2' '6.042' '6.16489795918' '0.12289795918000035']
 ['0' '6.164' '6.16489795918' '0.0008979591800004627']
 ['0' '6.426' '6.43192743764' '0.005927437639999589']
 ['-2' '7.986' '10.4141496599' '2.4281496599']
 ['0' '10.414' '10.4141496599' '0.00014965989999993212']
 ['0' '10.852' '10.8553287982' '0.0033287982000000937']
 ['0' '10.965' '10.9598185941' '0.005181405900000158']
 ['2' '12.018' '10.9946485261' '1.0233514739']
 ['0' '12.018' '12.0279365079' '0.009936507899999114']
 ['0' '12.125' '12.1324263039' '0.007426303900000875']
 ['0' '12.247' '12.2485260771' '0.0015260770999994122']
 ['0' '12.344' '12.3414058957' '0.0025941042999999553']
 ['0' '12.476' '12.4691156463' '0.00688435370000029']
 ['0' '14.167' '14.1641723356' '0.0028276643999998186']
 ['0' '14.255' '14.2570521542' '0.0020521541999993786']
 ['0' '14.396' '14.3963718821' '0.00037188209999960975']
 ['-2' '14.487' '14.6401814059' '0.15318140589999985']
 ['0' '14.641' '14.6401814059' '0.0008185941000000696']
 ['-2' '14.72' '14.8839909297' '0.16399092969999884']
 ['0' '14.881' '14.8839909297' '0.0029909296999992563']
 ['-2' '14.998' '15.5921995465' '0.5941995465000005']
 ['-2' '15.128' '15.5921995465' '0.4641995464999997']
 ['-2' '15.364' '15.5921995465' '0.22819954649999907']
 ['0' '15.594' '15.5921995465' '0.001800453499999577']
 ['0' '15.83' '15.8360090703' '0.006009070299999308']
 ['0' '16.072' '16.0798185941' '0.007818594100001519']
 ['0' '16.304' '16.3004081633' '0.003591836700000073']
 ['0' '16.531' '16.5326077098' '0.0016077098000017997']
 ['0' '16.767' '16.7648072562' '0.0021927437999984534']
 ['0' '17.003' '17.00861678' '0.005616780000000432']
 ['0' '17.234' '17.2408163265' '0.006816326499997416']
 ['0' '17.468' '17.473015873' '0.005015873000001392']
 ['0' '17.701' '17.7052154195' '0.004215419499999484']
 ['0' '17.788' '17.7864852608' '0.001514739200001003']
 ['0' '19.409' '19.4118820862' '0.002882086199999634']
 ['-2' '19.5' '19.65569161' '0.15569161000000165']
 ['0' '19.655' '19.65569161' '0.0006916100000005088']
 ['-2' '19.742' '19.8995011338' '0.1575011338000003']
 ['0' '19.902' '19.8995011338' '0.0024988661999998385']
 ['-2' '19.988' '20.1549206349' '0.16692063490000209']
 ['0' '20.15' '20.1549206349' '0.004920634900003051']
 ['0' '20.227' '20.2361904762' '0.009190476200000575']
 ['-2' '20.397' '20.4683900227' '0.07139002270000105']
 ['0' '20.47' '20.4683900227' '0.0016099772999993434']
 ['0' '20.643' '20.6425396825' '0.00046031749999997373']
 ['0' '20.695' '20.7005895692' '0.005589569200001421']
 ['0' '20.881' '20.874739229' '0.0062607710000008865']
 ['0' '20.95' '20.944399093' '0.005600906999998045']
 ['-2' '21.131' '21.1649886621' '0.03398866210000051']
 ['0' '21.165' '21.1649886621' '1.1337899998409284e-05']
 ['0' '21.255' '21.2578684807' '0.0028684807000018964']
 ['0' '23.257' '23.2547845805' '0.0022154195000005927']
 ['-2' '24.574' '24.6944217687' '0.12042176869999821']
 ['0' '24.693' '24.6944217687' '0.001421768699998438']
 ['0' '26.327' '26.3314285714' '0.0044285713999983045']
 ['0' '27.417' '27.4227664399' '0.005766439899996811']
 ['0' '28.479' '28.4792743764' '0.0002743764000001647']
 ['0' '29.574' '29.5822222222' '0.00822222219999702']
 ['0' '29.967' '29.9653514739' '0.0016485260999985485']
 ['0' '30.334' '30.3368707483' '0.0028707483000012246']
 ['2' '30.71' '30.3600907029' '0.34990929710000174']
 ['0' '30.71' '30.7083900227' '0.0016099772999993434']
 ['0' '31.361' '31.3585487528' '0.0024512471999997842']
 ['0' '31.718' '31.7184580499' '0.0004580499000006455']
 ['0' '31.849' '31.8461678005' '0.0028321994999984668']
 ['0' '32.115' '32.1131972789' '0.0018027210999989052']
 ['0' '32.241' '32.2525170068' '0.011517006799998342']
 ['-2' '33.188' '33.9243537415' '0.7363537414999968']
 ['0' '33.928' '33.9243537415' '0.003646258499998112']
 ['0' '34.178' '34.1797732426' '0.0017732426000023338']
 ['0' '34.439' '34.4351927438' '0.0038072561999982213']
 ['0' '34.809' '34.8067120181' '0.002287981899996794']
 ['0' '35.788' '35.7935600907' '0.005560090700001297']
 ['-1' '35.888' '35.9096598639' '0.021659863900005405']
 ['2' '36.167' '35.9096598639' '0.25734013609999806']
 ['0' '36.167' '36.1650793651' '0.0019206349000029377']
 ['0' '37.192' '37.1983673469' '0.006367346899999404']
 ['-2' '37.284' '37.9414058957' '0.657405895700002']
