# Track Results
There are 170 result entries compared to 157 annotations in track "130_minus-one_funky_sticks".
Positives:	116
False positives:	14

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '10.302' '10.3096598639' '0.00765986390000073']
 ['-2' '10.82' '11.1223582766' '0.3023582765999997']
 ['0' '11.122' '11.1223582766' '0.00035827660000009587']
 ['-2' '11.563' '12.6200453515' '1.0570453514999993']
 ['-2' '12.511' '12.6200453515' '0.10904535150000072']
 ['0' '12.618' '12.6200453515' '0.002045351499999626']
 ['-2' '12.885' '13.0263945578' '0.1413945578']
 ['0' '13.017' '13.0263945578' '0.009394557800000314']
 ['0' '13.299' '13.3050340136' '0.006034013600000776']
 ['0' '13.715' '13.7229931973' '0.007993197299999366']
 ['-2' '14.533' '14.6634013605' '0.1304013605000005']
 ['0' '14.663' '14.6634013605' '0.00040136049999972556']
 ['0' '15.084' '15.0813605442' '0.0026394557999989132']
 ['-2' '15.31' '15.4877097506' '0.17770975060000005']
 ['0' '15.487' '15.4877097506' '0.0007097506000004472']
 ['-2' '16.445' '16.8576870748' '0.4126870748000009']
 ['-2' '16.71' '16.8576870748' '0.14768707480000032']
 ['0' '16.85' '16.8576870748' '0.007687074799999749']
 ['-2' '17.238' '17.3685260771' '0.13052607710000075']
 ['0' '17.363' '17.3685260771' '0.005526077100000748']
 ['0' '17.646' '17.6471655329' '0.001165532899999988']
 ['0' '18.076' '18.0767346939' '0.0007346939000001385']
 ['-2' '18.65' '19.0403628118' '0.3903628118000029']
 ['-2' '18.917' '19.0403628118' '0.12336281179999986']
 ['0' '19.044' '19.0403628118' '0.0036371881999990308']
 ['0' '19.45' '19.4583219955' '0.008321995500001123']
 ['0' '19.579' '19.586031746' '0.007031745999999117']
 ['0' '19.862' '19.8646712018' '0.00267120180000191']
 ['0' '20.286' '20.2942403628' '0.008240362799998735']
 ['-2' '20.809' '21.0953287982' '0.28632879819999957']
 ['0' '21.091' '21.0953287982' '0.0043287981999995395']
 ['0' '21.221' '21.2230385488' '0.0020385488000016494']
 ['0' '21.631' '21.6293877551' '0.0016122448999986716']
 ['0' '21.75' '21.7570975057' '0.007097505699999118']
 ['0' '22.041' '22.0357369615' '0.005263038500000761']
 ['2' '23.008' '22.0705668934' '0.9374331066000003']
 ['-2' '23.008' '23.2780045351' '0.2700045351']
 ['0' '23.272' '23.2780045351' '0.006004535100000652']
 ['0' '23.4' '23.3941043084' '0.005895691599999253']
 ['-2' '23.971' '24.2184126984' '0.24741269840000157']
 ['0' '24.209' '24.2184126984' '0.009412698400002029']
 ['0' '24.48' '24.4854421769' '0.005442176900000817']
 ['0' '25.021' '25.0195011338' '0.001498866200002169']
 ['0' '25.389' '25.3910204082' '0.0020204081999999346']
 ['0' '25.522' '25.5303401361' '0.008340136100002837']
 ['0' '25.804' '25.8089795918' '0.004979591800001515']
 ['0' '26.09' '26.0992290249' '0.009229024900001548']
 ['0' '26.362' '26.3546485261' '0.00735147389999824']
 ['0' '27.375' '27.3763265306' '0.0013265306000000976']
 ['-2' '27.631' '27.7710657596' '0.14006575959999878']
 ['0' '27.767' '27.7710657596' '0.004065759599999552']
 ['0' '28.601' '28.606984127' '0.0059841270000013935']
 ['0' '28.864' '28.8624036281' '0.0015963718999998378']
 ['0' '29.546' '29.5473922902' '0.0013922902000018667']
 ['-2' '29.801' '29.930521542' '0.12952154200000265']
 ['0' '29.929' '29.930521542' '0.0015215420000025404']
 ['0' '30.776' '30.7780498866' '0.0020498866000018268']
 ['2' '31.05' '30.8012698413' '0.24873015869999904']
 ['0' '31.05' '31.0566893424' '0.006689342399997855']
 ['0' '31.17' '31.1727891156' '0.002789115599998837']
 ['0' '31.709' '31.7184580499' '0.009458049900000987']
 ['-2' '31.976' '32.1015873016' '0.12558730159999953']
 ['0' '32.101' '32.1015873016' '0.0005873015999995346']
 ['0' '32.94' '32.9375056689' '0.0024943310999958612']
 ['-2' '33.214' '33.3554648526' '0.1414648526000022']
 ['0' '33.351' '33.3554648526' '0.004464852600001734']
 ['0' '33.887' '33.8895238095' '0.0025238094999977534']
 ['-2' '34.143' '34.2726530612' '0.12965306120000264']
 ['0' '34.271' '34.2726530612' '0.0016530612000025258']
 ['-2' '34.571' '35.1317913832' '0.5607913832000051']
 ['-2' '34.831' '35.1317913832' '0.3007913832']
 ['0' '35.129' '35.1317913832' '0.0027913832000052707']
 ['2' '36.083' '35.1550113379' '0.9279886620999989']
 ['0' '36.083' '36.0838095238' '0.0008095238000009886']
 ['-2' '36.341' '36.4669387755' '0.12593877549999632']
 ['0' '36.471' '36.4669387755' '0.004061224499999128']
 ['-2' '37.021' '37.3028571429' '0.28185714290000163']
 ['0' '37.305' '37.3028571429' '0.0021428570999972862']
 ['2' '37.712' '37.3376870748' '0.3743129252000017']
 ['0' '37.712' '37.7208163265' '0.008816326499996308']
 ['-2' '38.273' '38.5335147392' '0.2605147391999978']
 ['-1' '38.519' '38.5335147392' '0.01451473920000268']
 ['2' '38.665' '38.5335147392' '0.13148526079999812']
 ['0' '38.665' '38.6728344671' '0.007834467100003906']
 ['2' '39.077' '38.6960544218' '0.38094557819999864']
 ['0' '39.077' '39.0791836735' '0.0021836734999993723']
 ['0' '39.496' '39.4971428571' '0.0011428570999996168']
 ['0' '39.889' '39.8918820862' '0.002882086199996081']
 ['-2' '40.397' '40.8322902494' '0.4352902494000048']
 ['-2' '40.693' '40.8322902494' '0.13929024940000545']
 ['0' '40.823' '40.8322902494' '0.009290249400002892']
 ['0' '41.67' '41.6682086168' '0.0017913832000004959']
 ['0' '42.071' '42.0745578231' '0.003557823100003077']
 ['0' '42.344' '42.3415873016' '0.002412698400000579']
 ['0' '42.604' '42.60861678' '0.00461677999999921']
 ['-2' '43.005' '43.2819954649' '0.27699546489999705']
 ['0' '43.281' '43.2819954649' '0.0009954649000007976']
 ['-2' '43.668' '43.8160544218' '0.14805442179999773']
 ['1' '43.829' '43.8160544218' '0.012945578200003638']
 ['-2' '43.829' '44.8145124717' '0.9855124716999981']
 ['-2' '44.269' '44.8145124717' '0.5455124717000004']
 ['0' '44.807' '44.8145124717' '0.007512471699996581']
 ['-2' '45.077' '45.220861678' '0.14386167800000038']
 ['0' '45.218' '45.220861678' '0.002861677999995038']
 ['0' '45.621' '45.6272108844' '0.006210884399997951']
 ['-2' '45.901' '46.0335600907' '0.13256009069999664']
 ['0' '46.028' '46.0335600907' '0.005560090700001297']
 ['0' '46.3' '46.3005895692' '0.0005895692000024155']
 ['0' '47.0' '46.9971882086' '0.0028117913999992084']
 ['-2' '47.266' '47.403537415' '0.13753741500000416']
 ['0' '47.399' '47.403537415' '0.004537415000001488']
 ['0' '47.931' '47.9375963719' '0.006596371900002396']
 ['0' '48.222' '48.227845805' '0.005845804999999871']
 ['0' '49.19' '49.1914739229' '0.0014739229000042542']
 ['0' '49.457' '49.4585034014' '0.0015034014000008256']
 ['0' '49.583' '49.5862131519' '0.003213151899998934']
 ['0' '50.393' '50.3989115646' '0.005911564599998087']
 ['2' '50.674' '50.4221315193' '0.2518684806999971']
 ['0' '50.674' '50.6775510204' '0.003551020400003324']
 ['0' '51.197' '51.2' '0.0030000000000001137']
 ['0' '51.836' '51.8385487528' '0.0025487528000027737']
 ['-2' '52.134' '52.4074376417' '0.2734376416999993']
 ['0' '52.401' '52.4074376417' '0.006437641699996277']
 ['0' '52.544' '52.5467573696' '0.002757369600004722']
 ['0' '52.832' '52.8370068027' '0.005006802700002311']
 ['0' '53.539' '53.5452154195' '0.0062154195000019286']
 ['-2' '53.811' '53.9515646259' '0.14056462589999796']
 ['0' '53.947' '53.9515646259' '0.004564625899995178']
 ['0' '54.376' '54.3811337868' '0.005133786800001872']
 ['-2' '54.638' '54.7758730159' '0.13787301589999856']
 ['0' '54.771' '54.7758730159' '0.004873015899995892']
 ['2' '55.037' '54.8107029478' '0.22629705219999607']
 ['0' '55.037' '55.0429024943' '0.005902494300002559']
 ['0' '55.726' '55.7278911565' '0.0018911565000010455']
 ['-2' '55.993' '56.1226303855' '0.1296303855000005']
 ['0' '56.117' '56.1226303855' '0.005630385500005275']
 ['0' '56.531' '56.5289795918' '0.002020408199996382']
 ['0' '56.792' '56.7960090703' '0.004009070300000417']
 ['0' '56.924' '56.9237188209' '0.0002811790999999175']
 ['0' '57.201' '57.2023582766' '0.001358276600001318']
 ['0' '57.902' '57.8989569161' '0.003043083900003296']
 ['-2' '58.174' '58.3053061224' '0.13130612239999806']
 ['0' '58.295' '58.3053061224' '0.010306122399995843']
 ['0' '58.7' '58.7000453515' '4.5351499998957934e-05']
 ['0' '59.118' '59.1180045351' '4.53509999687185e-06']
 ['2' '60.04' '59.1528344671' '0.8871655328999992']
 ['0' '60.04' '60.0351927438' '0.004807256199995891']
 ['2' '60.592' '60.0700226757' '0.5219773242999963']
 ['0' '60.592' '60.5924716553' '0.0004716553000037038']
 ['0' '60.987' '60.9872108844' '0.0002108843999977239']
 ['2' '61.248' '61.0220408163' '0.2259591836999988']
 ['0' '61.248' '61.2426303855' '0.00536961449999751']
 ['0' '62.244' '62.2526984127' '0.00869841269999938']
 ['0' '62.666' '62.6706575964' '0.004657596400001296']
 ['0' '63.474' '63.4717460317' '0.002253968299996245']
 ['0' '63.892' '63.8897052154' '0.002294784600003652']
 ['0' '64.395' '64.4005442177' '0.0055442177000060155']
 ['0' '64.806' '64.806893424' '0.000893423999997367']
 ['-2' '65.318' '65.6544217687' '0.3364217687000064']
 ['0' '65.659' '65.6544217687' '0.004578231300001789']
 ['0' '66.074' '66.0723809524' '0.0016190476000019771']
 ['0' '66.616' '66.6180498866' '0.0020498866000053795']
 ['0' '67.015' '67.0127891156' '0.002210884400000168']
 ['0' '67.543' '67.5468480726' '0.003848072599993202']
 ['0' '67.824' '67.8254875283' '0.0014875283000037598']
 ['0' '68.374' '68.3827664399' '0.008766439900000478']
 ['0' '68.773' '68.7775056689' '0.004505668900009141']
 ['2' '69.148' '68.8007256236' '0.34727437639999437']
 ['-2' '69.148' '69.2883446712' '0.1403446711999976']
 ['0' '69.282' '69.2883446712' '0.006344671199997265']]
