# Track Results
There are 72 result entries compared to 67 annotations in track "148_MIDI-minus-one_funk-101_sticks".
Positives:	52
False positives:	5

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '1.227' '1.23065759637' '0.0036575963699998493']
 ['0' '2.712' '2.71673469388' '0.004734693879999696']
 ['-2' '3.277' '3.61070294785' '0.33370294785']
 ['0' '3.608' '3.61070294785' '0.002702947850000026']
 ['0' '5.123' '5.13160997732' '0.008609977319999906']
 ['0' '5.704' '5.71210884354' '0.008108843540000521']
 ['0' '6.012' '6.01396825397' '0.001968253970000333']
 ['0' '7.636' '7.63936507937' '0.003365079369999968']
 ['0' '8.059' '8.05732426304' '0.001675736959999341']
 ['0' '8.351' '8.35918367347' '0.008183673469998709']
 ['0' '9.577' '9.57823129252' '0.0012312925199999825']
 ['0' '10.022' '10.0310204082' '0.009020408199999608']
 ['-2' '10.429' '10.7160090703' '0.2870090702999999']
 ['0' '10.719' '10.7160090703' '0.0029909296999992563']
 ['0' '11.616' '11.6215873016' '0.005587301600000316']
 ['0' '11.933' '11.9350566893' '0.002056689299999803']
 ['-2' '12.708' '13.1308843537' '0.42288435370000066']
 ['-2' '12.996' '13.1308843537' '0.1348843537000004']
 ['0' '13.125' '13.1308843537' '0.005884353700000844']
 ['0' '13.415' '13.4211337868' '0.006133786800001317']
 ['0' '13.873' '13.8739229025' '0.0009229025000010438']
 ['0' '14.311' '14.3151020408' '0.004102040799999429']
 ['0' '14.596' '14.5937414966' '0.0022585034000002224']
 ['-2' '15.161' '15.4760997732' '0.31509977320000004']
 ['0' '15.483' '15.4760997732' '0.006900226800000908']
 ['0' '16.682' '16.683537415' '0.0015374150000013742']
 ['2' '17.447' '16.7067573696' '0.7402426304000009']
 ['-2' '17.447' '17.8793650794' '0.43236507940000024']
 ['-2' '17.747' '17.8793650794' '0.13236507939999953']
 ['0' '17.874' '17.8793650794' '0.0053650794000006385']
 ['0' '18.172' '18.1696145125' '0.0023854874999997833']
 ['0' '18.758' '18.761723356' '0.003723356000001843']
 ['0' '19.062' '19.0635827664' '0.0015827663999985475']
 ['2' '20.228' '19.0984126984' '1.1295873016000009']
 ['0' '20.228' '20.2361904762' '0.008190476199999353']
 ['0' '21.116' '21.1185487528' '0.002548752799999221']
 ['0' '21.432' '21.4320181406' '1.81406000017148e-05']
 ['-2' '21.881' '22.6162358277' '0.7352358276999986']
 ['-2' '22.487' '22.6162358277' '0.12923582770000053']
 ['0' '22.622' '22.6162358277' '0.005764172300001036']
 ['0' '22.912' '22.9180952381' '0.0060952381000021205']
 ['0' '23.705' '23.7075736961' '0.0025736961000006886']
 ['0' '24.107' '24.1139229025' '0.006922902500001271']
 ['0' '24.41' '24.4157823129' '0.005782312899999198']
 ['0' '24.992' '24.9846712018' '0.007328798199999653']
 ['0' '26.188' '26.1921088435' '0.004108843500002735']
 ['-2' '27.248' '27.3763265306' '0.128326530599999']
 ['0' '27.381' '27.3763265306' '0.00467346940000013']
 ['0' '27.67' '27.6665759637' '0.0034240363000002105']
 ['0' '28.568' '28.572154195' '0.00415419499999814']
 ['2' '29.756' '28.606984127' '1.1490158729999997']
 ['0' '29.756' '29.7563718821' '0.0003718821000013861']
 ['2' '30.643' '29.7912018141' '0.8517981859000017']
 ['0' '30.643' '30.6503401361' '0.0073401360999980625']
 ['0' '30.946' '30.9405895692' '0.0054104308000013646']
 ['-2' '31.712' '32.1248072562' '0.4128072562000007']
 ['-2' '31.997' '32.1248072562' '0.12780725620000055']
 ['0' '32.124' '32.1248072562' '0.0008072561999981076']
 ['0' '32.416' '32.4150566893' '0.0009433106999949814']
 ['0' '33.016' '33.0187755102' '0.002775510200002884']
 ['0' '33.319' '33.3206349206' '0.0016349205999972583']
 ['0' '33.79' '33.7966439909' '0.00664399090000245']
 ['-2' '34.193' '34.4932426304' '0.30024263039999965']
 ['0' '34.494' '34.4932426304' '0.0007573696000022778']
 ['2' '35.397' '34.5280725624' '0.8689274376']
 ['0' '35.397' '35.3988208617' '0.0018208617000041727']
 ['0' '35.712' '35.7122902494' '0.00029024939999544586']
 ['-2' '36.866' '37.163537415' '0.29753741500000075']
 ['0' '37.168' '37.163537415' '0.004462584999998853']
 ['-2' '37.776' '38.0691156463' '0.2931156462999951']
 ['0' '38.063' '38.0691156463' '0.006115646299996058']
 ['0' '38.361' '38.3593650794' '0.0016349205999972583']]
