# Track Results
There are 57 result entries compared to 54 annotations in track "160_MIDI-minus-one_soul-98_sticks".
Positives:	26
False positives:	5

## Result legend
List entries:
	[RESULT, annotated time, estimated time, difference]
RESULT mapping:
	UNDERFLOW	= -2	Estimation doesn't have a corresponding annotation
	LOWER		= -1	Estimation lies beneath its annotation
	EQUAL		=  0	Estimation equals its annotation
	UPPER		=  1	Estimation lies above its annotation
	OVERFLOW	=  2	Annotation doesn't have a corresponding Estimation

## Entries
[['0' '9.79' '9.79882086168' '0.008820861680000291']
 ['0' '10.993' '10.9946485261' '0.0016485261000003248']
 ['0' '12.221' '12.2253061224' '0.004306122399999168']
 ['-2' '13.297' '13.4559637188' '0.15896371879999904']
 ['0' '13.461' '13.4559637188' '0.0050362812000006585']
 ['-2' '13.903' '14.6750113379' '0.7720113378999987']
 ['-2' '14.34' '14.6750113379' '0.33501133789999926']
 ['0' '14.674' '14.6750113379' '0.0010113378999996314']
 ['-2' '15.742' '15.9172789116' '0.17527891159999953']
 ['0' '15.913' '15.9172789116' '0.004278911600000157']
 ['-2' '17.157' '18.9823129252' '1.8253129251999987']
 ['-2' '18.231' '18.9823129252' '0.751312925199997']
 ['-2' '18.813' '18.9823129252' '0.16931292519999985']
 ['0' '18.982' '18.9823129252' '0.00031292519999936985']
 ['0' '19.575' '19.5744217687' '0.0005782313000004535']
 ['-2' '20.628' '22.0125170068' '1.3845170067999995']
 ['-2' '20.783' '22.0125170068' '1.2295170067999983']
 ['0' '22.007' '22.0125170068' '0.005517006799998114']
 ['-2' '23.068' '23.2431746032' '0.17517460319999856']
 ['0' '23.239' '23.2431746032' '0.004174603199999183']
 ['-2' '23.717' '24.1951927438' '0.4781927438000011']
 ['0' '24.188' '24.1951927438' '0.007192743800001011']
 ['0' '24.49' '24.4970521542' '0.00705215420000016']
 ['-2' '25.517' '25.7160997732' '0.19909977320000039']
 ['0' '25.712' '25.7160997732' '0.004099773200000101']
 ['-1' '26.911' '26.923537415' '0.012537414999997054']
 ['2' '27.374' '26.923537415' '0.45046258500000036']
 ['0' '27.374' '27.3763265306' '0.0023265306000013197']
 ['-2' '27.975' '28.142585034' '0.16758503399999825']
 ['0' '28.14' '28.142585034' '0.002585033999999098']
 ['-2' '28.458' '29.3848526077' '0.9268526077000026']
 ['-2' '29.062' '29.3848526077' '0.3228526076999998']
 ['0' '29.377' '29.3848526077' '0.007852607700002068']
 ['-2' '30.44' '30.6039002268' '0.16390022679999916']
 ['0' '30.598' '30.6039002268' '0.005900226800001462']
 ['-2' '31.039' '31.509478458' '0.47047845799999877']
 ['0' '31.502' '31.509478458' '0.007478458000001353']
 ['0' '31.811' '31.8113378685' '0.00033786850000083746']
 ['-1' '32.433' '32.4498866213' '0.016886621300002957']
 ['2' '32.902' '32.4498866213' '0.45211337869999824']
 ['-2' '32.902' '33.0652154195' '0.1632154194999984']
 ['0' '33.064' '33.0652154195' '0.0012154194999993706']
 ['-2' '33.505' '33.9824036281' '0.47740362809999937']
 ['0' '33.981' '33.9824036281' '0.001403628100000276']
 ['0' '34.276' '34.2842630385' '0.008263038499997322']
 ['-2' '34.882' '35.5381405896' '0.6561405895999997']
 ['-2' '35.359' '35.5381405896' '0.1791405895999958']
 ['0' '35.528' '35.5381405896' '0.010140589599998862']
 ['-2' '35.938' '37.7672562358' '1.8292562357999955']
 ['-2' '36.699' '37.7672562358' '1.0682562357999998']
 ['-2' '37.007' '37.7672562358' '0.7602562358']
 ['0' '37.758' '37.7672562358' '0.009256235799995238']
 ['0' '39.23' '39.2301133787' '0.00011337870000005523']
 ['-2' '40.04' '40.4259410431' '0.3859410431000043']
 ['-2' '40.273' '40.4259410431' '0.15294104310000023']
 ['0' '40.421' '40.4259410431' '0.004941043100004094']
 ['2' '-1' '40.4491609977' '-1']]
